Curvas do Poco 907
TDEP
ITTT
BHVT
AHVT
ITT
BHV
AHV
MMK
GR
SP
BSZ
TENS
CALI
DRHO
WF11
PE
HMRS
HDRS
DTC
RHOB
NPHI
