Curvas do Poco 900
TDEP
GR
TENS
LSPD
BS
MMK
NPHI
NCPS
FCPS
CALI
BHVT
AHVT
RHOB
DRHO
PE
HDRS
HMRS
HDCN
HMCN
DTC
ITTT
