TDEP,GR,BSZ,CALI,DRHO,PE,HMRS,HDRS,DTC,RHOB,NPHI,DCALI
39.3,79.38318634033203,,,,,,,,,,
39.4,74.8301773071289,,,,,,,,,,
39.5,58.54219436645508,,,,,,,,,,
39.6,50.82945251464844,,,,,,,,,,
39.7,43.241111755371094,,,,,,,,,,
39.8,38.16563034057617,,,,,,,,,,
39.9,34.93125534057617,,,,,,,,,,
40.0,34.53317642211914,,,,,,,,,,
40.1,34.732215881347656,,,,,,,,,,
40.2,41.27560806274414,,,,,,,,,,
40.3,47.843875885009766,,,,,,,,,,
40.4,55.979576110839844,,,,,,,,,,
40.5,72.12657165527344,,,,,,,,,,
40.6,80.66034698486328,,,,,,,,,,
40.7,86.8305435180664,,,,,,,,,,
40.8,93.59784698486328,,,,,,,,,,
40.9,95.31455993652344,,,,,,,,,,
41.0,98.67333221435547,,,,,,,,,,
41.1,99.69340515136719,,,,,,,,,,
41.2,96.38439178466797,,,,,,,,,,
41.3,90.13955688476562,,,,,,,,,,
41.4,83.52152252197266,,,,,,,,,,
41.5,74.34087371826172,,,,,,,,,,
41.6,73.3456802368164,,,,,,,,,,
41.7,75.8585433959961,,,,,,,,,,
41.8,87.10421752929688,,,,,,,,,,
41.9,93.9212875366211,,,,,,,,,,
42.0,98.25037384033203,,,,,,,,,,
42.1,100.6885986328125,,,,,,,,,,
42.2,98.7728500366211,,,,,,,,,,
42.3,95.36929321289062,,,,,,,,,,
42.4,86.25332641601562,,,,,,,,,,
42.5,83.06539916992188,,,,,,,,,,
42.6,82.66566467285156,,,,,,,,,,
42.7,80.11796569824219,,,,,,,,,,
42.8,77.59847259521484,,,,,,,,,,
42.9,76.25662231445312,,,,,,,,,,
43.0,77.22195434570312,,,,,,,,,,
43.1,84.98445892333984,,,,,,,,,,
43.2,85.73583221435547,,,,,,,,,,
43.3,84.56316375732422,,,,,,,,,,
43.4,76.22676849365234,,,,,,,,,,
43.5,75.17352294921875,,,,,,,,,,
43.6,75.87015533447266,,,,,,,,,,
43.7,82.07518005371094,,,,,,,,,,
43.8,82.51140594482422,,,,,,,,,,
43.9,80.53263092041016,,,,,,,,,,
44.0,71.22592163085938,,,,,,,,,,
44.1,67.73114013671875,,,,,,,,,,
44.2,67.42428588867188,,,,,,,,,,
44.3,74.97282409667969,,,,,,,,,,
44.4,80.21417236328125,,,,,,,,,,
44.5,85.69270324707031,,,,,,,,,,
44.6,92.5462646484375,,,,,,,,,,
44.7,105.36599731445312,,,,,,,,,,
44.8,109.4462890625,,,,,,,,,,
44.9,109.7448501586914,,,,,,,,,,
45.0,102.87802124023438,,,,,,,,,,
45.1,96.78246307373047,,,,,,,,,,
45.2,89.46780395507812,,,,,,,,,,
45.3,70.3352279663086,,,,,,,,,,
45.4,60.880897521972656,,,,,,,,,,
45.5,53.028831481933594,,,,,,,,,,
45.6,49.067962646484375,,,,,,,,,,
45.7,52.22272491455078,,,,,,,,,,
45.8,58.99998474121094,,,,,,,,,,
45.9,72.4068832397461,,,,,,,,,,
46.0,78.92539978027344,,,,,,,,,,
46.1,83.2445297241211,,,,,,,,,,
46.2,87.62669372558594,,,,,,,,,,
46.3,95.40910339355469,,,,,,,,,,
46.4,98.82758331298828,,,,,,,,,,
46.5,98.67830657958984,,,,,,,,,,
46.6,87.97003936767578,,,,,,,,,,
46.7,78.24202728271484,,,,,,,,,,
46.8,70.20584869384766,,,,,,,,,,
46.9,58.019718170166016,,,,,,,,,,
47.0,55.18342208862305,,,,,,,,,,
47.1,55.068973541259766,,,,,,,,,,
47.2,60.502723693847656,,,,,,,,,,
47.3,65.45878601074219,,,,,,,,,,
47.4,70.5243148803711,,,,,,,,,,
47.5,77.62998962402344,,,,,,,,,,
47.6,79.22229766845703,,,,,,,,,,
47.7,79.61539459228516,,,,,,,,,,
47.8,80.40657043457031,,,,,,,,,,
47.9,81.82969665527344,,,,,,,,,,
48.0,83.02393341064453,,,,,,,,,,
48.1,83.31751251220703,,,,,,,,,,
48.2,86.09907531738281,,,,,,,,,,
48.3,87.26842498779297,,,,,,,,,,
48.4,87.9600830078125,,,,,,,,,,
48.5,87.72123718261719,,,,,,,,,,
48.6,88.70648193359375,,,,,,,,,,
48.7,89.49268341064453,,,,,,,,,,
48.8,88.5522232055664,,,,,,,,,,
48.9,86.67131042480469,,,,,,,,,,
49.0,87.2286148071289,,,,,,,,,,
49.1,86.84546661376953,,,,,,,,,,
49.2,86.16376495361328,,,,,,,,,,
49.3,85.08895111083984,,,,,,,,,,
49.4,86.04434204101562,,,,,,,,,,
49.5,91.71195983886719,,,,,,,,,,
49.6,92.84481811523438,,,,,,,,,,
49.7,91.6605453491211,,,,,,,,,,
49.8,84.01746368408203,,,,,,,,,,
49.9,81.97068786621094,,,,,,,,,,
50.0,81.51289367675781,,,,,,,,,,
50.1,83.34689331054688,,,,,,,,,,
50.2,82.79705047607422,,,,,,,,,,
50.3,82.55488586425781,,,,,,,,,,
50.4,82.0456771850586,,,,,,,,,,
50.5,83.91130828857422,,,,,,,,,,
50.6,86.63237762451172,,,,,,,,,,
50.7,92.33175659179688,,,,,,,,,,
50.8,91.34883117675781,,,,,,,,,,
50.9,88.37361907958984,,,,,,,,,,
51.0,83.06585693359375,,,,,,,,,,
51.1,69.96534729003906,,,,,,,,,,
51.2,63.70061111450195,,,,,,,,,,
51.3,60.15938186645508,,,,,,,,,,
51.4,60.341835021972656,,,,,,,,,,
51.5,61.46142578125,,,,,,,,,,
51.6,61.31214904785156,,,,,,,,,,
51.7,59.18077850341797,,,,,,,,,,
51.8,59.47933578491211,,,,,,,,,,
51.9,60.13450241088867,,,,,,,,,,
52.0,66.2051773071289,,,,,,,,,,
52.1,70.72501373291016,,,,,,,,,,
52.2,75.7756118774414,,,,,,,,,,
52.3,83.13174438476562,,,,,,,,,,
52.4,84.4006118774414,,,,,,,,,,
52.5,83.75373840332031,,,,,,,,,,
52.6,82.55121612548828,,,,,,,,,,
52.7,77.8821029663086,,,,,,,,,,
52.8,73.1632308959961,,,,,,,,,,
52.9,65.50025177001953,,,,,,,,,,
53.0,47.5784912109375,,,,,,,,,,
53.1,40.48774719238281,,,,,,,,,,
53.2,35.11370849609375,,,,,,,,,,
53.3,29.184019088745117,,,,,,,,,,
53.4,28.362985610961914,,,,,,,,,,
53.5,29.383056640625,,,,,,,,,,
53.6,37.974884033203125,,,,,,,,,,
53.7,44.136783599853516,,,,,,,,,,
53.8,50.21575164794922,,,,,,,,,,
53.9,55.672725677490234,,,,,,,,,,
54.0,54.428733825683594,,,,,,,,,,
54.1,49.635223388671875,,,,,,,,,,
54.2,43.58113479614258,,,,,,,,,,
54.3,32.14471435546875,,,,,,,,,,
54.4,29.872360229492188,,,,,,,,,,
54.5,29.101085662841797,,,,,,,,,,
54.6,32.55937957763672,,,,,,,,,,
54.7,35.02248001098633,,,,,,,,,,
54.8,37.32801055908203,,,,,,,,,,
54.9,39.67500686645508,,,,,,,,,,
55.0,42.79327392578125,,,,,,,,,,
55.1,46.48377990722656,,,,,,,,,,
55.2,56.12055969238281,,,,,,,,,,
55.3,60.109622955322266,,,,,,,,,,
55.4,62.63077926635742,,,,,,,,,,
55.5,67.25012969970703,,,,,,,,,,
55.6,71.42993927001953,,,,,,,,,,
55.7,76.22344970703125,,,,,,,,,,
55.8,80.24568176269531,,,,,,,,,,
55.9,80.54424285888672,,,,,,,,,,
56.0,78.8772964477539,,,,,,,,,,
56.1,74.0257339477539,,,,,,,,,,
56.2,55.506858825683594,,,,,,,,,,
56.3,43.74700164794922,,,,,,,,,,
56.4,35.379093170166016,,,,,,,,,,
56.5,29.407936096191406,,,,,,,,,,
56.6,31.46466827392578,,,,,,,,,,
56.7,34.69904327392578,,,,,,,,,,
56.8,41.690269470214844,,,,,,,,,,
56.9,49.021522521972656,,,,,,,,,,
57.0,60.61551284790039,,,,,,,,,,
57.1,85.10553741455078,,,,,,,,,,
57.2,89.69171905517578,,,,,,,,,,
57.3,92.8929214477539,,,,,,,,,,
57.4,92.71876525878906,,,,,,,,,,
57.5,92.53630828857422,,,,,,,,,,
57.6,90.08150482177734,,,,,,,,,,
57.7,88.45602416992188,,,,,,,,,,
57.8,86.2417221069336,,,,,,,,,,
57.9,86.02609252929688,,,,,,,,,,
58.0,85.24652862548828,,,,,,,,,,
58.1,84.74893188476562,,,,,,,,,,
58.2,82.02873992919922,,,,,,,,,,
58.3,75.40241241455078,,,,,,,,,,
58.4,53.32572937011719,,,,,,,,,,
58.5,43.5230827331543,,,,,,,,,,
58.6,36.63137435913086,,,,,,,,,,
58.7,30.768033981323242,,,,,,,,,,
58.8,30.477767944335938,,,,,,,,,,
58.9,29.590389251708984,,,,,,,,,,
59.0,27.575124740600586,,,,,,,,,,
59.1,21.919113159179688,,,,,,,,,,
59.2,21.935699462890625,,,,,,,,,,
59.3,24.796878814697266,,,,,,,,,,
59.4,32.50132751464844,,,,,,,,,,
59.5,33.40529251098633,,,,,,,,,,
59.6,32.13642120361328,,,,,,,,,,
59.7,31.08317756652832,,,,,,,,,,
59.8,32.67548370361328,,,,,,,,,,
59.9,35.271278381347656,,,,,,,,,,
60.0,44.725608825683594,,,,,,,,,,
60.1,52.745201110839844,,,,,,,,,,
60.2,62.18294143676758,,,,,,,,,,
60.3,79.03486633300781,,,,,,,,,,
60.4,85.87681579589844,,,,,,,,,,
60.5,93.7056655883789,,,,,,,,,,
60.6,99.32020568847656,,,,,,,,,,
60.7,99.21239471435547,,,,,,,,,,
60.8,94.83354949951172,,,,,,,,,,
60.9,91.1181640625,,,,,,,,,,
61.0,94.28619384765625,,,,,,,,,,
61.1,96.87369537353516,,,,,,,,,,
61.2,98.03475189208984,,,,,,,,,,
61.3,92.17970275878906,,,,,,,,,,
61.4,87.1788558959961,,,,,,,,,,
61.5,80.27885437011719,,,,,,,,,,
61.6,63.26935958862305,,,,,,,,,,
61.7,54.27945327758789,,,,,,,,,,
61.8,47.08919143676758,,,,,,,,,,
61.9,38.207096099853516,,,,,,,,,,
62.0,35.354209899902344,,,,,,,,,,
62.1,33.836544036865234,,,,,,,,,,
62.2,32.30228805541992,,,,,,,,,,
62.3,33.71214294433594,,,,,,,,,,
62.4,36.72260284423828,,,,,,,,,,
62.5,40.5706787109375,,,,,,,,,,
62.6,45.024166107177734,,,,,,,,,,
62.7,46.30133056640625,,,,,,,,,,
62.8,49.220558166503906,,,,,,,,,,
62.9,60.764793395996094,,,,,,,,,,
63.0,68.95854187011719,,,,,,,,,,
63.1,75.70097351074219,,,,,,,,,,
63.2,84.61624145507812,,,,,,,,,,
63.3,86.58174133300781,,,,,,,,,,
63.4,87.91696166992188,,,,,,,,,,
63.5,92.10506439208984,,,,,,,,,,
63.6,92.01383209228516,,,,,,,,,,
63.7,93.44027709960938,,,,,,,,,,
63.8,93.98763275146484,,,,,,,,,,
63.9,95.28968048095703,,,,,,,,,,
64.0,91.93090057373047,,,,,,,,,,
64.1,85.38751220703125,,,,,,,,,,
64.2,68.56875610351562,,,,,,,,,,
64.3,60.05986404418945,,,,,,,,,,
64.4,52.65397262573242,,,,,,,,,,
64.5,39.31010055541992,,,,,,,,,,
64.6,34.88978958129883,,,,,,,,,,
64.7,32.459861755371094,,,,,,,,,,
64.8,30.8592586517334,,,,,,,,,,
64.9,30.801206588745117,,,,,,,,,,
65.0,31.671998977661133,,,,,,,,,,
65.1,36.85529327392578,,,,,,,,,,
65.2,38.6715202331543,,,,,,,,,,
65.3,38.6715202331543,,,,,,,,,,
65.4,38.008056640625,,,,,,,,,,
65.5,37.22019577026367,,,,,,,,,,
65.6,37.17873001098633,,,,,,,,,,
65.7,38.23197555541992,,,,,,,,,,
65.8,42.453250885009766,,,,,,,,,,
65.9,47.38774871826172,,,,,,,,,,
66.0,53.408660888671875,,,,,,,,,,
66.1,65.65782165527344,,,,,,,,,,
66.2,70.7913589477539,,,,,,,,,,
66.3,77.16888427734375,,,,,,,,,,
66.4,91.37525177001953,,,,,,,,,,
66.5,97.59520721435547,,,,,,,,,,
66.6,100.55590057373047,,,,,,,,,,
66.7,98.88066101074219,,,,,,,,,,
66.8,96.09412384033203,,,,,,,,,,
66.9,94.078857421875,,,,,,,,,,
67.0,90.70349884033203,,,,,,,,,,
67.1,82.36875915527344,,,,,,,,,,
67.2,75.56828308105469,,,,,,,,,,
67.3,69.31515502929688,,,,,,,,,,
67.4,54.727291107177734,,,,,,,,,,
67.5,49.97524642944336,,,,,,,,,,
67.6,48.15073013305664,,,,,,,,,,
67.7,47.19700241088867,,,,,,,,,,
67.8,45.83690643310547,,,,,,,,,,
67.9,44.27777099609375,,,,,,,,,,
68.0,46.765750885009766,,,,,,,,,,
68.1,52.67885208129883,,,,,,,,,,
68.2,60.043277740478516,,,,,,,,,,
68.3,76.11563873291016,,,,,,,,,,
68.4,83.33907318115234,,,,,,,,,,
68.5,87.86720275878906,,,,,,,,,,
68.6,90.9522933959961,,,,,,,,,,
68.7,92.95926666259766,,,,,,,,,,
