TDEP,GR,HMRS,HDRS,DTC,NPHI,DRHO,PE,RHOB,BSZ,CALI,DCALI
44.3,85.16238403320312,,,,,,,,,,
44.4,85.6050033569336,,,,,,,,,,
44.5,94.11304473876953,,,,,,,,,,
44.6,96.03104400634766,,,,,,,,,,
44.7,97.34249114990234,,,,,,,,,,
44.8,93.8179702758789,,,,,,,,,,
44.9,88.0147933959961,,,,,,,,,,
45.0,89.1787109375,,,,,,,,,,
45.1,92.53929901123047,,,,,,,,,,
45.2,91.86717987060547,,,,,,,,,,
45.3,87.14595794677734,,,,,,,,,,
45.4,79.24446105957031,,,,,,,,,,
45.5,68.35941314697266,,,,,,,,,,
45.6,65.0479965209961,,,,,,,,,,
45.7,64.90045928955078,,,,,,,,,,
45.8,69.11349487304688,,,,,,,,,,
45.9,72.76917266845703,,,,,,,,,,
46.0,74.35930633544922,,,,,,,,,,
46.1,73.34292602539062,,,,,,,,,,
46.2,73.60521697998047,,,,,,,,,,
46.3,73.719970703125,,,,,,,,,,
46.4,74.37569427490234,,,,,,,,,,
46.5,73.22817993164062,,,,,,,,,,
46.6,75.49043273925781,,,,,,,,,,
46.7,80.53952026367188,,,,,,,,,,
46.8,92.27700805664062,,,,,,,,,,
46.9,95.21138763427734,,,,,,,,,,
47.0,97.2933120727539,,,,,,,,,,
47.1,99.7686767578125,,,,,,,,,,
47.2,99.39163970947266,,,,,,,,,,
47.3,95.4081039428711,,,,,,,,,,
47.4,86.90006256103516,,,,,,,,,,
47.5,81.83457946777344,,,,,,,,,,
47.6,75.91665649414062,,,,,,,,,,
47.7,60.98249816894531,,,,,,,,,,
47.8,56.73667526245117,,,,,,,,,,
47.9,56.589134216308594,,,,,,,,,,
48.0,60.01530456542969,,,,,,,,,,
48.1,70.29380798339844,,,,,,,,,,
48.2,75.17896270751953,,,,,,,,,,
48.3,79.24446105957031,,,,,,,,,,
48.4,88.17872619628906,,,,,,,,,,
48.5,92.80158996582031,,,,,,,,,,
48.6,97.83428955078125,,,,,,,,,,
48.7,101.65389251708984,,,,,,,,,,
48.8,99.53917694091797,,,,,,,,,,
48.9,94.40811920166016,,,,,,,,,,
49.0,85.7525405883789,,,,,,,,,,
49.1,83.67060852050781,,,,,,,,,,
49.2,85.44107055664062,,,,,,,,,,
49.3,93.08027648925781,,,,,,,,,,
49.4,97.11299133300781,,,,,,,,,,
49.5,95.52285766601562,,,,,,,,,,
49.6,92.21144104003906,,,,,,,,,,
49.7,80.76902770996094,,,,,,,,,,
49.8,78.45758819580078,,,,,,,,,,
49.9,76.27730560302734,,,,,,,,,,
50.0,77.09696197509766,,,,,,,,,,
56.2,96.7523422241211,1.6833786964416504,0.0010000000474974513,73.16384887695312,55.04529571533203,-0.0819462388753891,4.101257801055908,1.8371639251708984,8.5,8.757562637329102,0.25756263732910156
56.3,95.65399932861328,1.5721654891967773,0.0010000000474974513,78.77237701416016,51.39470291137695,-0.02438775636255741,4.135601043701172,1.8354802131652832,8.5,8.691571235656738,0.19157123565673828
56.4,89.55574798583984,1.5512638092041016,0.0027007251046597958,88.81021118164062,48.766845703125,0.016342833638191223,4.209377288818359,1.8207870721817017,8.5,8.896258354187012,0.3962583541870117
56.5,84.70337677001953,2.0414793491363525,2.289865255355835,94.0992431640625,47.26254653930664,0.018510758876800537,4.152256488800049,1.8196418285369873,8.5,8.937185287475586,0.43718528747558594
56.6,79.42478942871094,2.478273868560791,0.00611213780939579,101.03057098388672,46.258689880371094,0.017640573903918266,4.07328462600708,1.8172013759613037,8.5,8.979750633239746,0.4797506332397461
56.7,69.31021881103516,8.706398963928223,8.132546424865723,105.6163558959961,44.705162048339844,0.02061801217496395,4.031819820404053,1.8282923698425293,8.5,9.327749252319336,0.8277492523193359
56.8,65.68733215332031,4.813320159912109,0.08026789128780365,108.46244049072266,42.37696838378906,0.02350928820669651,4.1056976318359375,1.8473585844039917,8.5,9.322528839111328,0.8225288391113281
56.9,61.408721923828125,5.455051898956299,0.296321839094162,110.54768371582031,38.52658462524414,0.02690190076828003,4.234654426574707,1.8761683702468872,8.5,9.2361478805542,0.7361478805541992
57.0,54.75310516357422,5.4857707023620605,5.395723342895508,112.22845458984375,34.55149459838867,0.03130863979458809,4.521594047546387,1.921899437904358,8.5,9.161683082580566,0.6616830825805664
57.1,51.75315856933594,5.2026286125183105,24.51161766052246,114.64498138427734,32.33879470825195,0.03235591575503349,4.606335163116455,1.9284756183624268,8.5,9.183877944946289,0.6838779449462891
57.2,50.98268127441406,4.970105171203613,103.13431549072266,117.19117736816406,31.763032913208008,0.033522412180900574,4.650421619415283,1.9261865615844727,8.5,9.340319633483887,0.8403196334838867
57.3,50.40892028808594,4.853677749633789,367.1510009765625,118.51339721679688,32.15924835205078,0.03516942262649536,4.61306619644165,1.9145088195800781,8.5,9.253827095031738,0.7538270950317383
57.4,52.55642318725586,4.953329563140869,2950.37451171875,119.45492553710938,32.855377197265625,0.03482221066951752,4.526443004608154,1.9081214666366577,8.5,9.362390518188477,0.8623905181884766
57.5,56.63831329345703,5.101796627044678,4704.52685546875,120.76951599121094,33.17660903930664,0.03357694298028946,4.406207084655762,1.9006763696670532,8.5,9.38180160522461,0.8818016052246094
57.6,61.03167724609375,5.250306129455566,2599.19775390625,122.01819610595703,33.5460205078125,0.032294370234012604,4.255534648895264,1.8928472995758057,8.5,9.387744903564453,0.8877449035644531
57.7,69.55611419677734,5.339882850646973,359.78228759765625,122.7900161743164,35.3753547668457,0.02988671511411667,4.007699012756348,1.876444697380066,8.5,9.442811012268066,0.9428110122680664
