TDEP,BS,CAL,DCAL,GR,RESD,DT,RHOB,DRHO,NPHI,PE
33.0708,8.5,3.8128839,-4.687116,69.34994,7.0442214,-116.48895,2.163577079772949,,0.5734802,
33.223198,8.5,3.8128839,-4.687116,65.39919,7.0442214,-33.638016,2.166755199432373,,0.5539885,
33.3756,8.5,3.8128839,-4.687116,65.39919,7.0442214,-35.381165,2.1705856323242188,,0.58193785,
33.528,8.5,3.8022764,-4.6977234,64.07647,7.0442214,1.7744827,2.1682865619659424,,0.57438743,
33.6804,8.5,3.8022764,-4.6977234,66.98798,7.0442214,2.7322998,2.166459083557129,,0.58289605,
33.832798,8.5,3.8022764,-4.6977234,72.70812,7.0442214,242.86145,2.164139986038208,,0.57694113,
33.9852,8.5,3.8128839,-4.687116,75.51624,7.0442214,-39.42913,2.161118507385254,,0.5865731,
34.1376,8.5,3.8022764,-4.6977234,74.351555,7.0442214,-17.300194,2.1545350551605225,,0.5606367,
34.29,8.5,3.8128839,-4.687116,72.240685,7.0442214,80.16422,2.1428356170654297,,0.52960396,
34.442398,8.5,3.8128839,-4.687116,74.397125,7.0442214,101.364944,2.137946367263794,,0.5213266,
34.5948,8.5,3.8128839,-4.687116,78.77893,7.0442214,88.6421,2.149244785308838,,0.53893554,
34.7472,8.5,3.8022764,-4.6977234,75.76846,7.0442214,90.1284,2.1628077030181885,,0.5586628,
34.8996,8.5,3.8234913,-4.676509,71.72153,7.0442214,62.096825,2.16795015335083,,0.5825786,
35.052,8.5,3.8128839,-4.687116,61.33902,7.0442214,73.9696,2.1626627445220947,,0.5197375,
35.2044,8.5,3.8022764,-4.6977234,56.36401,7.0442214,74.079636,2.1680853366851807,,0.48739403,
35.3568,8.5,3.8022764,-4.6977234,52.800884,7.0442214,65.15714,2.1789541244506836,,0.4626516,
35.5092,8.5,3.8022764,-4.6977234,53.13367,7.0442214,63.992584,2.1938560009002686,,0.46275675,
35.6616,8.5,3.8022764,-4.6977234,56.486256,7.0442214,64.04651,2.19974422454834,,0.49816436,
35.814,8.5,3.8128839,-4.687116,59.863384,7.0442214,64.06019,2.202892541885376,,0.5085904,
35.9664,8.5,3.8128839,-4.687116,64.79496,7.0442214,57.694496,2.201226234436035,,0.5414017,
36.1188,8.5,3.8022764,-4.6977234,66.862175,7.0442214,57.55516,2.200035572052002,,0.5406185,
36.2712,8.5,3.8022764,-4.6977234,67.74012,7.0442214,56.88732,2.204029083251953,,0.5847212,
36.4236,8.5,3.8022764,-4.6977234,73.29696,7.0442214,56.792206,2.208594799041748,,0.5836637,
36.576,8.5,3.8128839,-4.687116,79.43674,7.0442214,56.92215,2.209336042404175,,0.570514,
36.7284,8.5,3.8128839,-4.687116,82.78577,7.0442214,56.747902,2.1936731338500977,,0.5375158,
36.8808,8.5,3.8128839,-4.687116,76.511086,7.0442214,56.838623,2.153651237487793,,0.54242086,
37.0332,8.5,3.8022764,-4.6977234,70.79005,7.0442214,57.11693,2.1411683559417725,,0.54234016,
37.1856,8.5,3.8128839,-4.687116,65.66879,7.0442214,56.80056,2.1815106868743896,,0.4983803,
37.338,8.5,3.8022764,-4.6977234,63.93172,7.0442214,57.16018,2.2501299381256104,,0.4955662,
37.4904,8.5,3.8022764,-4.6977234,61.75128,7.0442214,56.67914,2.2924444675445557,,0.46430728,
37.6428,8.5,3.8022764,-4.6977234,64.38658,7.0442214,57.153053,2.291212797164917,,0.48764664,
37.7952,8.5,3.8128839,-4.687116,67.85149,7.0442214,57.029884,2.270794153213501,,0.50223154,
37.9476,8.5,3.8128839,-4.687116,73.265465,7.0442214,56.84709,2.2425625324249268,,0.5257425,
38.1,8.5,3.8128839,-4.687116,71.21821,7.0442214,56.858986,2.2158522605895996,,0.5142175,
38.2524,8.5,3.8234913,-4.676509,72.85583,7.0442214,56.384094,2.202242851257324,,0.52608585,
38.4048,8.5,3.8128839,-4.687116,70.353455,7.0442214,56.624855,2.1909685134887695,,0.53942853,
38.5572,8.5,3.8128839,-4.687116,75.0318,7.0442214,56.739746,2.174152135848999,,0.555202,
38.7096,8.5,3.8128839,-4.687116,76.47871,7.0442214,56.801712,2.153345823287964,,0.5251229,
38.862,8.5,3.8128839,-4.687116,76.93255,7.0442214,56.993866,2.1342546939849854,,0.5048453,
39.0144,8.5,3.8022764,-4.6977234,78.68843,7.0442214,56.723503,2.123797655105591,,0.51876134,
39.166798,8.5,3.8022764,-4.6977234,78.11947,7.0442214,56.875763,2.119819402694702,,0.49883962,
39.3192,8.5,3.8234913,-4.676509,76.2033,7.0442214,56.964737,2.119305372238159,,0.5065495,
39.4716,8.5,3.8234913,-4.676509,67.965706,7.0442214,56.770607,2.1274991035461426,,0.48667222,
39.624,8.5,3.8128839,-4.687116,64.60026,7.0442214,56.58316,2.137965440750122,,0.49376938,
39.776398,8.5,3.8022764,-4.6977234,64.89272,7.0442214,56.73796,2.146442413330078,,0.49199903,
39.9288,8.5,3.8128839,-4.687116,72.12366,7.0442214,56.693336,2.1520001888275146,,0.4751548,
