TDEP,BS,CAL,DCAL,GR,RESD,DT,RHOB,DRHO,NPHI,PE
26.8,8.5,,,42.80527877807617,3.416985511779785,63.31035614013672,,,0.7352718114852905,
27.0,8.5,4.122931480407715,-4.377068519592285,42.80527877807617,3.416985511779785,63.31035614013672,2.2960708141326904,0.2166731357574463,0.7352718114852905,10.0
27.1,8.5,4.133678913116455,-4.366321086883545,43.102996826171875,3.416985511779785,63.31035614013672,2.2960708141326904,0.2166731357574463,0.7352718114852905,10.0
27.3,8.5,4.126513957977295,-4.373486042022705,41.82528305053711,3.416985511779785,63.31035614013672,2.2960708141326904,0.2166731357574463,0.7235588431358337,10.0
27.4,8.5,4.112184047698975,-4.387815952301025,37.16048812866211,3.416985511779785,63.31035614013672,2.2960708141326904,0.2166731357574463,0.7738621234893799,10.0
27.6,8.5,4.112184047698975,-4.387815952301025,34.14237976074219,3.416985511779785,63.31035614013672,2.2960708141326904,0.2166731357574463,0.7170504927635193,10.0
27.7,8.5,4.122931480407715,-4.377068519592285,31.92548179626465,3.416985511779785,63.31035614013672,2.2960708141326904,0.2166731357574463,0.7320442795753479,10.0
27.9,8.5,4.112184047698975,-4.387815952301025,33.17228698730469,3.416985511779785,57.01771545410156,2.2960708141326904,0.2166731357574463,0.6653801202774048,10.0
28.0,8.5,4.112184047698975,-4.387815952301025,31.594465255737305,3.416985511779785,57.39909362792969,2.2960708141326904,0.2166731357574463,0.6773293018341064,10.0
28.2,8.5,4.122931480407715,-4.377068519592285,29.15638542175293,3.416985511779785,58.26435089111328,2.2960708141326904,0.2166731357574463,0.680611789226532,10.0
28.3,8.5,4.112184047698975,-4.387815952301025,33.230289459228516,3.416985511779785,56.837730407714844,2.2960708141326904,0.2166731357574463,0.6880372762680054,10.0
28.5,8.5,4.112184047698975,-4.387815952301025,36.303504943847656,3.416985511779785,55.69956970214844,2.2960708141326904,0.2166731357574463,0.6919050216674805,10.0
28.7,8.5,4.112184047698975,-4.387815952301025,39.600135803222656,3.416985511779785,55.842811584472656,2.2925174236297607,0.2165982723236084,0.6462429165840149,10.0
28.8,8.5,4.122931480407715,-4.377068519592285,36.494232177734375,3.416985511779785,56.184913635253906,2.291224479675293,0.2154991626739502,0.6918922066688538,10.0
29.0,8.5,4.112184047698975,-4.387815952301025,37.35173034667969,3.416985511779785,56.95964813232422,2.2988076210021973,0.21753907203674316,0.7097960114479065,10.0
29.1,8.5,4.122931480407715,-4.377068519592285,37.8392333984375,3.416985511779785,57.401893615722656,2.3012869358062744,0.21727323532104492,0.7178485989570618,10.0
29.3,8.5,4.133678913116455,-4.366321086883545,42.6167106628418,3.416985511779785,57.6798095703125,2.302016258239746,0.21680283546447754,0.6598374843597412,10.0
29.4,8.5,4.119349002838135,-4.380650997161865,43.839630126953125,3.416985511779785,57.30060577392578,2.294300079345703,0.21090435981750488,0.7105132937431335,10.0
29.6,8.5,4.126513957977295,-4.373486042022705,44.97003173828125,3.416985511779785,47.575157165527344,2.2925236225128174,0.20628929138183594,0.754051923751831,10.0
29.7,8.5,4.122931480407715,-4.377068519592285,43.6067008972168,3.416985511779785,47.474952697753906,2.2922139167785645,0.20068097114562988,0.7584314942359924,10.0
29.9,8.5,4.122931480407715,-4.377068519592285,43.2789306640625,3.416985511779785,47.41590881347656,2.3157713413238525,0.20050573348999023,0.7105664014816284,10.0
30.0,8.5,4.133678913116455,-4.366321086883545,38.477474212646484,3.416985511779785,58.898162841796875,2.3720579147338867,0.20646405220031738,0.6558234691619873,10.0
30.2,8.5,4.112184047698975,-4.387815952301025,34.7587890625,3.416985511779785,68.40189361572266,2.435953140258789,0.2133646011352539,0.682241678237915,10.0
30.3,8.5,4.119349002838135,-4.380650997161865,35.5618782043457,3.416985511779785,68.03711700439453,2.4614384174346924,0.2140655517578125,0.6853979825973511,10.0
30.5,8.5,4.112184047698975,-4.387815952301025,38.52510070800781,3.416985511779785,64.65057373046875,2.4127914905548096,0.19855618476867676,0.7069995999336243,10.0
30.6,8.5,4.122931480407715,-4.377068519592285,42.068660736083984,3.416985511779785,54.638267517089844,2.3568661212921143,0.19029808044433594,0.6602344512939453,10.0
30.8,8.5,4.133678913116455,-4.366321086883545,37.92042922973633,3.416985511779785,58.18211364746094,2.318942070007324,0.18753957748413086,0.6571887731552124,10.0
30.9,8.5,4.122931480407715,-4.377068519592285,38.5938606262207,3.416985511779785,57.742462158203125,2.3147497177124023,0.1922762393951416,0.6602404713630676,10.0
31.1,8.5,4.133678913116455,-4.366321086883545,38.92332077026367,3.416985511779785,56.07249450683594,2.2992894649505615,0.18567562103271484,0.698340117931366,10.0
31.2,8.5,4.112184047698975,-4.387815952301025,41.91106033325195,3.416985511779785,44.12001037597656,2.2822651863098145,0.17934083938598633,0.672010600566864,10.0
31.4,8.5,4.122931480407715,-4.377068519592285,44.28630447387695,3.416985511779785,47.250701904296875,2.268272638320923,0.17897939682006836,0.7070425748825073,10.0
31.5,8.5,4.119349002838135,-4.380650997161865,40.527591705322266,3.416985511779785,57.006134033203125,2.2576441764831543,0.18568968772888184,0.7466535568237305,10.0
31.7,8.5,4.112184047698975,-4.387815952301025,35.93675994873047,3.416985511779785,57.01458740234375,2.238590717315674,0.18979859352111816,0.7671071887016296,10.0
31.9,8.5,4.126513957977295,-4.373486042022705,37.389347076416016,3.416985511779785,56.863006591796875,2.217637538909912,0.19109439849853516,0.7379423379898071,9.995987892150879
