TDEP,BS,CAL,DCAL,GR,RESD,DT,RHOB,DRHO,NPHI,PE
20.9,8.5,,,74.8418197631836,20.749353408813477,56.571266174316406,,,0.5430483818054199,
21.0,8.5,4.369146347045898,-4.130853652954102,78.7844467163086,20.749353408813477,56.571266174316406,2.0023298263549805,0.13500654697418213,0.5430483818054199,10.0
21.2,8.5,4.364140033721924,-4.135859966278076,76.54074096679688,20.749353408813477,56.571266174316406,2.0023298263549805,0.13500654697418213,0.503262460231781,10.0
21.3,8.5,4.359133720397949,-4.140866279602051,77.26671600341797,20.749353408813477,56.571266174316406,2.0023298263549805,0.13500654697418213,0.4798293113708496,10.0
21.5,8.5,4.364140033721924,-4.135859966278076,76.74532318115234,20.749353408813477,56.571266174316406,2.0023298263549805,0.13500654697418213,0.5036386847496033,10.0
21.6,8.5,4.359133720397949,-4.140866279602051,80.54004669189453,20.749353408813477,56.3719482421875,2.0023298263549805,0.13500654697418213,0.5158346891403198,10.0
21.8,8.5,4.367477893829346,-4.132522106170654,78.74413299560547,20.749353408813477,56.40599060058594,2.0023298263549805,0.13500654697418213,0.528773844242096,10.0
21.9,8.5,4.374152660369873,-4.125847339630127,77.38796997070312,20.749353408813477,56.64253234863281,2.0023298263549805,0.13500654697418213,0.5123653411865234,10.0
22.1,8.5,4.369146347045898,-4.130853652954102,75.76428985595703,20.749353408813477,56.290199279785156,2.0023298263549805,0.13500654697418213,0.5159056782722473,10.0
22.3,8.5,4.359133720397949,-4.140866279602051,73.23368072509766,20.749353408813477,56.523834228515625,2.0023298263549805,0.13500654697418213,0.5127753019332886,10.0
22.4,8.5,4.359133720397949,-4.140866279602051,73.13581085205078,20.749353408813477,56.23460388183594,2.0023298263549805,0.13500654697418213,0.5159316062927246,10.0
22.6,8.5,4.359133720397949,-4.140866279602051,71.9839859008789,20.749353408813477,56.20149230957031,2.0023298263549805,0.13500654697418213,0.507469654083252,10.0
22.7,8.5,4.359133720397949,-4.140866279602051,75.82071685791016,20.749353408813477,56.13511657714844,1.9955490827560425,0.13120043277740479,0.501400887966156,10.0
22.9,8.5,4.364140033721924,-4.135859966278076,74.85736083984375,20.749353408813477,56.55473327636719,1.9826850891113281,0.12518000602722168,0.4845632016658783,10.0
23.0,8.5,4.359133720397949,-4.140866279602051,73.4696044921875,20.749353408813477,56.59442901611328,1.977888584136963,0.12253916263580322,0.5139158368110657,10.0
23.2,8.5,4.369146347045898,-4.130853652954102,71.96839141845703,20.749353408813477,56.17427062988281,1.9893596172332764,0.12855148315429688,0.527638852596283,10.0
23.3,8.5,4.359133720397949,-4.140866279602051,72.294921875,20.749353408813477,56.321075439453125,2.000274419784546,0.13322186470031738,0.5461915731430054,10.0
23.5,8.5,4.369146347045898,-4.130853652954102,72.38469696044922,20.749353408813477,56.158241271972656,1.9985543489456177,0.13063466548919678,0.557479739189148,10.0
23.6,8.5,4.359133720397949,-4.140866279602051,69.80428314208984,20.749353408813477,56.59895324707031,1.9875576496124268,0.12210476398468018,0.563990592956543,10.0
