TDEP,BS,CAL,DCAL,DRHO,DT,GR,RESD,NPHI,PE,PE,RHOB
28.0,,,,,,40.54251480102539,,,-6.039406776428223,-5.294389247894287,
28.1,,,,,,33.1192741394043,,,-4.236769199371338,-6.102731227874756,
28.2,,,,,,27.744672775268555,,,-0.8654592037200928,-12.469955444335938,
28.3,,,,,,24.644073486328125,,,4.189767837524414,8.293608665466309,
28.4,,,,,,22.819089889526367,,,7.433476448059082,17.834583282470703,
28.5,,,,,,21.334270477294922,,,9.119208335876465,13.9052734375,
28.6,,,,,,19.732097625732422,,,10.358548164367676,8.335058212280273,
28.7,,,,,,18.599349975585938,,,12.068235397338867,7.415128231048584,
28.8,,,,,,17.929224014282227,,,15.47044563293457,19.348777770996094,
28.9,,,,,,17.9589900970459,,,18.99032974243164,22.749189376831055,
29.0,,,,,,18.94206428527832,,,21.544822692871094,41.5560417175293,
29.1,,,,,,19.967660903930664,,,23.07820701599121,16.845046997070312,
29.2,,,,,,21.10891342163086,,,24.427080154418945,17.515790939331055,
29.3,,,,,,21.904897689819336,,,27.194217681884766,23.222627639770508,
29.4,,,,,,21.666784286499023,,,30.495080947875977,29.931419372558594,
29.5,,,,,,20.755142211914062,,,26.501638412475586,37.89066696166992,
29.6,,,,,,19.163171768188477,,,-4.20095157623291,48.04336929321289,
29.7,,,,,,17.53038215637207,,,-51.1353645324707,20.195457458496094,
29.8,,,,,,16.3330020904541,,,-100.77916717529297,-81.494873046875,
29.9,,,,,,15.982632637023926,,,-135.94224548339844,-388.475341796875,
30.0,,,,,,17.009929656982422,,,-119.42268371582031,-165.68190002441406,
30.1,,,,,,19.047515869140625,,,-73.73565673828125,15.26345157623291,
30.2,,,,,,21.688892364501953,,,-24.139711380004883,50.799442291259766,
30.3,,,,,,24.428918838500977,,,16.62504005432129,41.68962097167969,
30.4,,,,,,26.010683059692383,,,30.88709259033203,36.49339294433594,
30.5,,,,,,25.993677139282227,,,30.84409523010254,26.033437728881836,
30.6,,,,,,25.165374755859375,,,29.56664276123047,19.227561950683594,
30.7,,,,,,23.442441940307617,,,29.959957122802734,31.5,
30.8,,,,,,21.673585891723633,,,31.319883346557617,32.98822784423828,
30.9,,,,,,21.16333770751953,,,32.56922149658203,25.646039962768555,
31.0,,,,,,20.688810348510742,,,33.28990936279297,40.33231735229492,
31.1,,,,,,21.020469665527344,,,33.7646484375,37.371917724609375,
31.2,,,,,,22.178730010986328,,,33.79685974121094,30.60531997680664,
31.3,,,,,,22.54865837097168,,,33.613006591796875,27.88991928100586,
31.4,,,,,,22.98577117919922,,,33.27457046508789,43.0316162109375,
31.5,,,,,,22.82589340209961,,,32.64965057373047,35.445255279541016,
31.6,,,,,,21.798595428466797,,,31.94459342956543,25.57222557067871,
31.7,,,,,,21.161638259887695,,,31.550518035888672,22.806739807128906,
31.8,,,,,,20.596965789794922,,,31.32533073425293,37.04705047607422,
31.9,,,,,,20.403072357177734,,,31.099525451660156,36.00558853149414,
32.0,,,,,,20.63268280029297,,,31.14988899230957,24.89958953857422,
32.1,,,,,,20.878450393676758,,,31.78192901611328,23.78215980529785,
32.2,,,,,,21.3929500579834,,,32.66072082519531,33.65556716918945,
32.3,,,,,,21.668481826782227,,,33.32624435424805,36.84648513793945,
32.4,,,,,,21.52561378479004,,,33.326480865478516,39.28047180175781,
32.5,,,,,,21.55367660522461,,,32.239742279052734,42.275909423828125,
32.6,,,,,,21.629364013671875,,,30.693593978881836,22.88574981689453,
32.7,,,,,,21.887887954711914,,,29.222835540771484,28.733549118041992,
32.8,,,,,,23.054655075073242,,,28.315256118774414,33.73873519897461,
32.9,,,,,,23.57170295715332,,,27.575223922729492,26.463956832885742,
33.0,,,,,,23.461999893188477,,,27.182336807250977,22.579439163208008,
33.1,,,,,,23.14224624633789,,,27.46428871154785,33.21350860595703,
33.2,,,,,,22.09284019470215,,,28.228715896606445,21.291038513183594,
33.3,,,,,,21.378494262695312,,,29.770288467407227,23.743776321411133,
33.4,,,,,,20.636083602905273,,,31.715059280395508,35.028114318847656,
33.5,,,,,,20.016984939575195,,,33.54780960083008,41.77581787109375,
33.6,,,,,,19.438705444335938,,,34.660179138183594,34.547576904296875,
33.7,,,,,,18.952268600463867,,,35.0118522644043,37.562992095947266,
33.8,,,,,,19.455713272094727,,,34.81013488769531,34.02315902709961,
33.9,,,,,,20.353748321533203,,,34.23151397705078,40.58106994628906,
34.0,,,,,,21.63616943359375,,,34.46567153930664,29.522199630737305,
34.1,,,,,,22.874366760253906,,,35.38705062866211,36.24564743041992,
34.2,,,,,,23.503671646118164,,,37.06385040283203,39.75382614135742,
34.3,,,,,,23.568302154541016,,,38.73722839355469,38.464237213134766,
34.4,,,,,,22.996826171875,,,39.76295852661133,36.07783889770508,
34.5,,,,,,22.2348575592041,,,40.649314880371094,40.69061279296875,
34.6,,,,,,21.00516128540039,,,41.07316970825195,52.77754211425781,
34.7,,,,,,20.260202407836914,,,42.036258697509766,35.45843505859375,
34.8,,,,,,20.309526443481445,,,42.8968505859375,41.15680694580078,
34.9,,,,,,20.761945724487305,,,43.48151397705078,55.533695220947266,
35.0,,,,,,21.891292572021484,,,43.25868225097656,40.8159065246582,
35.1,,,,,,22.2348575592041,,,42.05438232421875,43.997039794921875,
35.2,,,,,,22.110698699951172,,,41.582305908203125,37.140235900878906,
35.3,,,,,,21.872581481933594,,,41.1680793762207,43.6384391784668,
35.4,,,,,,21.857275009155273,,,41.2771110534668,37.892578125,
35.5,,,,,,22.782522201538086,,,41.41695785522461,41.44564437866211,
35.6,,,,,,24.11766815185547,,,40.767852783203125,50.18157958984375,
35.7,,,,,,25.111799240112305,,,40.2012825012207,31.87000274658203,
35.8,,,,,,24.985939025878906,,,40.35353088378906,32.416229248046875,
35.9,,,,,,24.091306686401367,,,41.721214294433594,45.8211555480957,
36.0,,,,,,22.484027862548828,,,43.564247131347656,46.1330451965332,
36.1,,,,,,21.210113525390625,,,45.28818130493164,40.50634002685547,
36.2,,,,,,20.83592987060547,,,46.65633010864258,50.9355354309082,
36.3,,,,,,21.07064437866211,,,47.56780242919922,43.641990661621094,
36.4,,,,,,22.052019119262695,,,48.38872528076172,43.862457275390625,
36.5,,,,,,23.056354522705078,,,49.1470832824707,50.89531707763672,
36.6,,,,,,24.005413055419922,,,49.42097473144531,52.1826057434082,
36.7,,,,,,24.757177352905273,,,49.15266799926758,41.780357360839844,
36.8,,,,,,24.913652420043945,,,48.470863342285156,49.95785140991211,
36.9,,,,,,25.05312156677246,,,47.80680847167969,44.892860412597656,
37.0,,,,,,24.977434158325195,,,46.6129150390625,50.585838317871094,
37.1,,,,,,24.921306610107422,,,44.734493255615234,45.60289001464844,
37.2,,,,,,25.142414093017578,,,42.0235595703125,47.32384490966797,
37.3,,,,,,24.8031005859375,,,38.704376220703125,39.14943313598633,
37.4,,,,,,24.3183650970459,,,36.21410369873047,29.92669105529785,
37.5,,,,,,23.685659408569336,,,35.17998504638672,30.766828536987305,
37.6,,,,,,22.67877197265625,,,35.768253326416016,31.068937301635742,
37.7,,,,,,22.430452346801758,,,36.62644577026367,38.45038986206055,
37.8,,,,,,22.79867935180664,,,36.792022705078125,42.52601623535156,
37.9,,,,,,23.375259399414062,,,35.96083068847656,42.954376220703125,
38.0,,,,,,24.358335494995117,,,34.84730529785156,26.600126266479492,
