TDEP,DTC,RESD,GR,CALI,NPHI,RHOB,DRHO,PE,BS,DCALI
114.59999695420265,120.97552490234375,4.978312969207764,75.623291015625,8.875404357910156,0.25041207671165466,2.4280598163604736,0.008560988120734692,4.196059226989746,8.5,
114.69999695569277,116.46688842773438,5.763045787811279,65.21214294433594,8.83884048461914,0.23497681319713593,2.459829807281494,-4.0244078263640404e-05,4.263108253479004,8.5,
114.79999695718288,108.11082458496094,7.644065856933594,50.08748245239258,8.827584266662598,0.21301119029521942,2.4991302490234375,-0.015002276748418808,4.329482078552246,8.5,
114.899996958673,93.13578033447266,8.42159652709961,51.330604553222656,8.823830604553223,0.20838899910449982,2.5163888931274414,-0.013608266599476337,4.368636608123779,8.5,
114.99999696016312,93.43873596191406,8.860505104064941,54.17942810058594,8.80881118774414,0.2076345831155777,2.5239696502685547,-0.008617118932306767,4.4235334396362305,8.5,
115.09999696165323,96.67173767089844,8.506113052368164,62.41511535644531,8.786263465881348,0.2135612815618515,2.525198459625244,-0.0019354678224772215,4.484856605529785,8.5,
115.19999696314335,98.22433471679688,7.7915940284729,80.38859558105469,8.790022850036621,0.22482091188430786,2.4881558418273926,0.007339468225836754,4.512514591217041,8.5,
115.29999696463346,100.650634765625,6.885186672210693,88.98686218261719,8.79191780090332,0.24197937548160553,2.448051691055298,0.00549664068967104,4.435866832733154,8.5,
115.39999696612358,116.22828674316406,5.173015117645264,95.97942352294922,8.805089950561523,0.25686636567115784,2.401355028152466,0.0005311543354764581,4.2978363037109375,8.5,
115.4999969676137,119.49309539794922,4.546243667602539,107.99627685546875,8.797572135925293,0.3216703534126282,2.3284332752227783,-0.007348653860390186,3.9393928050994873,8.5,
115.59999696910381,121.60615539550781,4.103327751159668,113.48673248291016,8.801331520080566,0.3532470464706421,2.307490348815918,-0.007418204564601183,3.7852320671081543,8.5,
115.69999697059393,131.27676391601562,3.619471311569214,116.80172729492188,8.807917594909668,0.36258426308631897,2.2957522869110107,-0.0027961889281868935,3.678466796875,8.5,
115.79999697208405,135.23580932617188,3.4970128536224365,122.18859100341797,8.826982498168945,0.35305675864219666,2.2778987884521484,0.006392930634319782,3.6038763523101807,8.5,
115.89999697357416,138.15908813476562,3.407914638519287,124.10507202148438,8.847322463989258,0.3443683385848999,2.271383762359619,0.00986451841890812,3.6001968383789062,8.5,
115.99999697506428,139.88449096679688,3.3287127017974854,127.93803405761719,8.855746269226074,0.3474927544593811,2.264188528060913,0.009515602141618729,3.597590208053589,8.5,
116.0999969765544,142.88197326660156,3.1687026023864746,129.02577209472656,8.938084602355957,0.3742096424102783,2.2446510791778564,0.005494909826666117,3.595003604888916,8.5,
116.19999697804451,144.9757080078125,3.0980064868927,125.81436920166016,8.946462631225586,0.3897579610347748,2.2369046211242676,0.0032756791915744543,3.605496883392334,8.5,
116.29999697953463,146.7109375,3.0420379638671875,121.10086059570312,8.971683502197266,0.40886351466178894,2.2303340435028076,0.0021102996543049812,3.6330761909484863,8.5,
116.39999698102474,147.17724609375,2.9775772094726562,112.55438995361328,8.994054794311523,0.3903152346611023,2.2275919914245605,0.0001635544904274866,3.690366506576538,8.5,
116.49999698251486,146.8129425048828,2.95854115486145,112.45079803466797,8.9990234375,0.38778194785118103,2.2227399349212646,-0.0018618454923853278,3.71620512008667,8.5,
116.59999698400497,146.38063049316406,2.9413530826568604,112.70978546142578,9.005232810974121,0.37504613399505615,2.2182815074920654,-0.003996155224740505,3.7242512702941895,8.5,
116.69999698549509,145.5963134765625,2.9060282707214355,117.83766174316406,9.001507759094238,0.37629377841949463,2.212520122528076,-0.005544343497604132,3.72965407371521,8.5,
116.7999969869852,145.4293975830078,2.8883724212646484,137.31324768066406,8.990327835083008,0.3473534882068634,2.2017250061035156,-0.009203922934830189,3.679034471511841,8.5,
116.89999698847532,145.27613830566406,2.8725945949554443,146.6366729736328,8.964221000671387,0.3546830713748932,2.1956515312194824,-0.00980489980429411,3.6476476192474365,8.5,
116.99999698996544,143.96237182617188,2.855562686920166,149.17471313476562,8.964221000671387,0.35575762391090393,2.1915946006774902,-0.010434890165925026,3.6092047691345215,8.5,
117.09999699145555,143.89599609375,2.860745906829834,137.31324768066406,8.94182014465332,0.3685871362686157,2.1952526569366455,-0.009089427068829536,3.5743958950042725,8.5,
117.19999699294567,144.80667114257812,2.877701997756958,131.82278442382812,8.949289321899414,0.3449501693248749,2.2009787559509277,-0.009339481592178345,3.566588878631592,8.5,
117.29999699443579,146.06231689453125,2.907139539718628,130.11349487304688,8.949289321899414,0.34975555539131165,2.204493284225464,-0.01030164584517479,3.5870590209960938,8.5,
117.3999969959259,145.45709228515625,3.0115039348602295,134.67161560058594,8.926874160766602,0.3346719443798065,2.2097485065460205,-0.011799625121057034,3.6813912391662598,8.5,
117.49999699741602,144.17388916015625,3.0924670696258545,136.95066833496094,8.926874160766602,0.33392810821533203,2.21462345123291,-0.01277114637196064,3.7493138313293457,8.5,
117.59999699890614,142.73426818847656,3.196486473083496,138.60816955566406,8.926874160766602,0.34591907262802124,2.2204439640045166,-0.013557865284383297,3.7956418991088867,8.5,
117.69999700039625,139.40968322753906,3.474097490310669,133.0141143798828,8.908177375793457,0.32434549927711487,2.2365148067474365,-0.018842430785298347,3.814333200454712,8.5,
117.79999700188637,136.47056579589844,3.650465726852417,123.84608459472656,8.888548851013184,0.30127668380737305,2.254098892211914,-0.019195014610886574,3.7991139888763428,8.5,
117.89999700337648,132.89617919921875,3.866457939147949,112.24361419677734,8.892292976379395,0.30860257148742676,2.2806203365325928,-0.01847444660961628,3.8353219032287598,8.5,
117.9999970048666,125.94487762451172,4.54129695892334,92.0428695678711,8.855682373046875,0.2957477271556854,2.360541582107544,-0.01073109544813633,4.049463748931885,8.5,
118.09999700635672,121.83728790283203,5.072408199310303,87.2775650024414,8.84068775177002,0.28663113713264465,2.3999781608581543,-0.006971830036491156,4.231965065002441,8.5,
118.19999700784683,118.1480712890625,5.722480773925781,85.51647186279297,8.803156852722168,0.27374014258384705,2.4384398460388184,-0.0013138254871591926,4.361295700073242,8.5,
118.29999700933695,107.40343475341797,6.974092960357666,83.23741912841797,8.788126945495605,0.2670357823371887,2.466639757156372,0.004303690977394581,4.4581379890441895,8.5,
