TDEP,GR,BS,NPHI,CAL,RHOB,DRHO,PE,RESD,DTC,DCAL
14.999988533556461,45.70209884643555,8.5,,,,,,,,
15.099988535046577,45.02119827270508,8.5,,,,,,,,
15.199988536536694,48.50450134277344,8.5,,,,,,,,
15.29998853802681,52.5181999206543,8.5,,,,,,,,
15.399988539516926,55.79560089111328,8.5,,,,,,,,
15.499988541007042,58.6693000793457,8.5,,,,,,,,
15.599988542497158,58.05179977416992,8.5,,,,,,,,
15.699988543987274,57.89350128173828,8.5,,,,,,,,
15.79998854547739,54.624000549316406,8.5,,,,,,,,
15.899988546967506,52.755699157714844,8.5,,,,,,,,
15.999988548457623,51.267398834228516,8.5,,,,,,,,
16.09998854994774,50.8557014465332,8.5,,,,,,,,
16.199988551437855,48.19580078125,8.5,,,,,,,,
16.29998855292797,45.12419891357422,8.5,,,,,,,,
16.399988554418087,43.5724983215332,8.5,,,,,,,,
16.499988555908203,45.219200134277344,8.5,,,,,,,,
16.59998855739832,46.67580032348633,8.5,,,,,,,,
16.699988558888435,47.11909866333008,8.5,,,,,,,,
16.79998856037855,46.69160079956055,8.5,,,,,,,,
16.899988561868668,47.16659927368164,8.5,,,,,,,,
16.999988563358784,47.22990036010742,8.5,,,,,,,,
17.0999885648489,44.174198150634766,8.5,,,,,,,,
17.199988566339016,43.14500045776367,8.5,,,,,,,,
17.299988567829132,42.06840133666992,8.5,,,,,,,,
17.399988569319248,41.799198150634766,8.5,,,,,,,,
17.499988570809364,40.8651008605957,8.5,,,,,,,,
17.59998857229948,39.36090087890625,8.5,,,,,,,,
17.699988573789597,38.66429901123047,8.5,,,,,,,,
17.799988575279713,39.725101470947266,8.5,,,,,,,,
17.89998857676983,41.60919952392578,8.5,,,,,,,,
17.999988578259945,43.08169937133789,8.5,,,,,,,,
18.09998857975006,44.85499954223633,8.5,,,,,,,,
18.199988581240177,44.34830093383789,8.5,,,,,,,,
18.299988582730293,43.35089874267578,8.5,,,,,,,,
18.39998858422041,47.43579864501953,8.5,,,,,,,,
