TDEP,GR,NPHI,RHOB,DRHO,PE,CALI,DTC,HDRS,BSZ,DCALI
114.60000135749578,67.75308990478516,0.22424334287643433,2.4152677059173584,0.019970683380961418,3.959960699081421,8.427948951721191,103.53131103515625,4.960625171661377,8.5,-0.0720510482788086
114.7000013589859,67.9034652709961,0.22157622873783112,2.4206838607788086,0.02180846966803074,3.990873098373413,8.439855575561523,102.27542877197266,5.096446514129639,8.5,-0.06014442443847656
114.80000136047602,70.69379425048828,0.2196173518896103,2.4281790256500244,0.020913373678922653,4.00286340713501,8.442989349365234,100.6637191772461,5.290931701660156,8.5,-0.057010650634765625
114.90000136196613,72.3646469116211,0.21167825162410736,2.4319560527801514,0.019981002435088158,3.978753089904785,8.440482139587402,100.47183227539062,5.345699787139893,8.5,-0.059517860412597656
115.00000136345625,72.4147720336914,0.21760742366313934,2.433445692062378,0.01856781542301178,3.958880662918091,8.444869041442871,99.5211410522461,5.394723415374756,8.5,-0.055130958557128906
115.10000136494637,73.10816955566406,0.20823027193546295,2.4353697299957275,0.01681455969810486,3.95125675201416,8.427948951721191,97.86339569091797,5.4653730392456055,8.5,-0.0720510482788086
115.20000136643648,74.14410400390625,0.20527271926403046,2.4411540031433105,0.015111792832612991,3.9759695529937744,8.397869110107422,97.2650375366211,5.766561031341553,8.5,-0.10213088989257812
115.3000013679266,73.16665649414062,0.20558105409145355,2.4421703815460205,0.014771475456655025,4.010682582855225,8.395989418029785,97.94729614257812,5.99294900894165,8.5,-0.10401058197021484
115.40000136941671,71.74642944335938,0.20422449707984924,2.4426510334014893,0.015487332828342915,4.03729772567749,8.39912223815918,98.4767837524414,6.206157207489014,8.5,-0.10087776184082031
115.50000137090683,70.37632751464844,0.21231144666671753,2.440204381942749,0.02320258878171444,4.076337814331055,8.412909507751465,98.16764068603516,6.299719333648682,8.5,-0.08709049224853516
115.60000137239695,71.93022155761719,0.22310344874858856,2.4324355125427246,0.027387864887714386,4.073361396789551,8.423562049865723,97.75292205810547,6.156723976135254,8.5,-0.07643795013427734
115.70000137388706,74.29447937011719,0.2441912144422531,2.4229941368103027,0.02989122085273266,4.05853271484375,8.432962417602539,98.29681396484375,5.974849224090576,8.5,-0.06703758239746094
115.80000137537718,79.32374572753906,0.2415970414876938,2.4092767238616943,0.029251674190163612,4.031823635101318,8.41917610168457,100.93990325927734,5.770754814147949,8.5,-0.08082389831542969
115.9000013768673,80.351318359375,0.23066845536231995,2.4061148166656494,0.025600045919418335,4.016239643096924,8.42857551574707,101.10926055908203,5.79995584487915,8.5,-0.07142448425292969
116.00000137835741,79.45741271972656,0.22479890286922455,2.4120588302612305,0.02236974611878395,4.023498058319092,8.437975883483887,101.14160919189453,5.903454780578613,8.5,-0.06202411651611328
116.10000137984753,75.23015594482422,0.2039831131696701,2.4363815784454346,0.01859789714217186,4.084760665893555,8.44925594329834,101.84891510009766,6.197856426239014,8.5,-0.050744056701660156
116.20000138133764,71.8466796875,0.19472308456897736,2.450148582458496,0.018767230212688446,4.132024765014648,8.440482139587402,101.43354797363281,6.302454948425293,8.5,-0.059517860412597656
116.30000138282776,69.50748443603516,0.1869788020849228,2.46217942237854,0.020048679783940315,4.185861110687256,8.421055793762207,99.50985717773438,6.329237461090088,8.5,-0.07894420623779297
