TDEP,BS,DRHO,PE,RHOB,CAL,NPHI,GR,RESD,DTC,DCAL
65.89998465776443,8.5,0.05050000175833702,4.229400157928467,2.523699998855591,8.360300064086914,23.473100662231445,64.32260131835938,7.851399898529053,108.46659851074219,
65.99998465925455,8.5,0.051600001752376556,3.884399890899658,2.450700044631958,8.42080020904541,26.625099182128906,85.38749694824219,5.584400177001953,117.81710052490234,
66.09998466074467,8.5,0.05480000004172325,3.7158000469207764,2.4077999591827393,8.415599822998047,30.278499603271484,100.54759979248047,4.639400005340576,126.15360260009766,
66.19998466223478,8.5,0.05590000003576279,3.572700023651123,2.359600067138672,8.404000282287598,33.797298431396484,113.55149841308594,3.897200107574463,132.70590209960938,
66.2999846637249,8.5,0.05270000174641609,3.377700090408325,2.271899938583374,8.428500175476074,36.412498474121094,130.35360717773438,3.0413999557495117,140.27870178222656,
66.39998466521502,8.5,0.0494999997317791,3.3273000717163086,2.236799955368042,8.424599647521973,38.335601806640625,132.8914031982422,2.8375000953674316,149.8426055908203,
66.49998466670513,8.5,0.04560000076889992,3.29229998588562,2.2065000534057617,8.45419979095459,40.38959884643555,135.51199340820312,2.841099977493286,157.1656951904297,
66.59998466819525,8.5,0.03999999910593033,3.262200117111206,2.1630001068115234,8.450300216674805,42.073699951171875,136.29159545898438,2.657599925994873,162.88540649414062,
66.69998466968536,8.5,0.03929999843239784,3.2576000690460205,2.150899887084961,8.465800285339355,43.548099517822266,136.0095977783203,2.5185999870300293,166.70480346679688,
66.79998467117548,8.5,0.04010000079870224,3.249500036239624,2.1445000171661377,8.468400001525879,45.08399963378906,135.92669677734375,2.4674999713897705,168.91400146484375,
66.8999846726656,8.5,0.042399998754262924,3.245699882507324,2.142699956893921,8.446499824523926,46.602901458740234,135.8437957763672,2.407399892807007,170.8459930419922,
66.99998467415571,8.5,0.048500001430511475,3.222100019454956,2.1473000049591064,8.463199615478516,46.95029830932617,140.27239990234375,2.4570000171661377,172.2303009033203,
67.09998467564583,8.5,0.051500000059604645,3.2058000564575195,2.1500000953674316,8.441300392150879,45.746700286865234,142.8101043701172,2.2964999675750732,174.37339782714844,
67.19998467713594,8.5,0.05339999869465828,3.194999933242798,2.149899959564209,8.468400001525879,44.83290100097656,147.6367950439453,2.3879001140594482,177.0312042236328,
67.29998467862606,8.5,0.05339999869465828,3.176500082015991,2.14490008354187,8.497900009155273,45.02629852294922,143.97120666503906,2.2913999557495117,178.556396484375,
67.39998468011618,8.5,0.05310000106692314,3.1833999156951904,2.1417999267578125,8.496700286865234,45.7593994140625,140.75340270996094,2.242500066757202,179.0751953125,
67.49998468160629,8.5,0.053199999034404755,3.2000999450683594,2.139400005340576,8.508199691772461,46.51240158081055,137.75120544433594,2.243299961090088,178.85450744628906,
67.59998468309641,8.5,0.053199999034404755,3.2335000038146973,2.136699914932251,8.485099792480469,47.534400939941406,143.68919372558594,2.1298999786376953,178.40220642089844,
67.69998468458652,8.5,0.051500000059604645,3.238300085067749,2.1317999362945557,8.499199867248535,48.055301666259766,146.77430725097656,2.1510000228881836,177.79800415039062,
67.79998468607664,8.5,0.04820000007748604,3.224900007247925,2.127000093460083,8.485099792480469,48.06610107421875,148.68170166015625,2.043100118637085,177.3470001220703,
67.89998468756676,8.5,0.03750000149011612,3.1679999828338623,2.1154000759124756,8.472200393676758,47.79690170288086,152.84500122070312,2.091599941253662,176.81109619140625,
67.99998468905687,8.5,0.03269999846816063,3.1394999027252197,2.111799955368042,8.469599723815918,47.63710021972656,155.38270568847656,2.034899950027466,176.3813018798828,
68.09998469054699,8.5,0.029999999329447746,3.123699903488159,2.111799955368042,8.479900360107422,46.85350036621094,155.8802947998047,2.094099998474121,176.3018035888672,
68.1999846920371,8.5,0.03060000017285347,3.1440999507904053,2.1147000789642334,8.52239990234375,46.1245002746582,147.4542999267578,2.0934998989105225,176.65330505371094,
68.29998469352722,8.5,0.03150000050663948,3.1644999980926514,2.1154000759124756,8.535200119018555,46.07500076293945,143.7886962890625,2.109600067138672,177.2718048095703,
68.39998469501734,8.5,0.03229999914765358,3.185699939727783,2.115499973297119,8.537799835205078,46.14509963989258,141.71539306640625,2.0576000213623047,177.75250244140625,
68.49998469650745,8.5,0.03189999982714653,3.198899984359741,2.1133999824523926,8.537799835205078,45.75510025024414,143.12530517578125,2.039900064468384,178.11900329589844,
68.59998469799757,8.5,0.03220000118017197,3.19320011138916,2.108299970626831,8.534000396728516,44.99679946899414,148.1343994140625,2.0678999423980713,178.62640380859375,
68.69998469948769,8.5,0.03460000082850456,3.1802000999450684,2.1073999404907227,8.532699584960938,44.29750061035156,151.5843963623047,2.018199920654297,179.2602996826172,
68.7999847009778,8.5,0.03750000149011612,3.1633999347686768,2.1080000400543213,8.52239990234375,43.76390075683594,151.5843963623047,2.1136999130249023,179.69369506835938,
68.89998470246792,8.5,0.04520000144839287,3.164400100708008,2.126800060272217,8.47089958190918,42.60300064086914,146.45919799804688,2.477099895477295,179.83970642089844,
68.99998470395803,8.5,0.04780000075697899,3.2070000171661377,2.150700092315674,8.42080020904541,39.94020080566406,137.70150756835938,2.7012999057769775,179.9998016357422,
69.09998470544815,8.5,0.049800001084804535,3.3101000785827637,2.188800096511841,8.395000457763672,36.27370071411133,126.45580291748047,3.1635000705718994,179.9654998779297,
69.19998470693827,8.5,0.05079999938607216,3.708699941635132,2.306299924850464,8.380900382995605,31.612699508666992,93.92960357666016,4.811999797821045,179.6208953857422,
69.29998470842838,8.5,0.04919999837875366,3.9670000076293945,2.3784000873565674,8.351300239562988,26.448999404907227,77.14399719238281,6.377500057220459,177.6457061767578,
69.3999847099185,8.5,0.045499999076128006,4.214000225067139,2.446700096130371,8.3371000289917,21.844200134277344,62.249298095703125,8.456100463867188,173.56300354003906,
69.49998471140862,8.5,0.032999999821186066,4.505799770355225,2.535099983215332,8.290800094604492,18.942100524902344,45.23149871826172,13.600799560546875,166.65480041503906,
69.59998471289873,8.5,0.0284000001847744,4.525000095367432,2.552500009536743,8.288299560546875,17.78700065612793,43.174800872802734,14.564800262451172,160.37879943847656,
69.69998471438885,8.5,0.02500000037252903,4.462500095367432,2.5499000549316406,8.293399810791016,18.16230010986328,45.695899963378906,14.652899742126465,154.8708038330078,
