TDEP,HDRA,PEFZ,RHOZ
663.8036,0.169029,1.8053265,1.6201028
663.7528,0.169029,1.8053275,1.6201028
663.70197,0.169029,1.8053286,1.6201028
663.6512,0.169029,1.8053269,1.6201028
663.6004,0.169029,1.8053278,1.6201028
663.5496,0.169029,1.805329,1.6201028
663.4988,0.16902876,1.8053269,1.6201025
663.448,0.169029,1.8053288,1.6201028
663.3972,0.169029,1.8053269,1.6201028
663.3464,0.169029,1.8053275,1.6201028
663.2956,0.169029,1.8053288,1.6201028
663.2448,0.169029,1.8053269,1.6201028
663.194,0.169029,1.8053275,1.6201028
663.1432,0.169029,1.8053286,1.6201028
663.0924,0.169029,1.8053267,1.6201028
663.04156,0.169029,1.8053288,1.6201028
662.9908,0.16902888,1.8053267,1.6201026
662.94,0.16902888,1.8053275,1.6201026
662.8892,0.16902888,1.8053286,1.6201026
662.8384,0.16902888,1.8053267,1.6201026
662.7876,0.16902888,1.8053275,1.6201026
662.7368,0.16902888,1.8053288,1.6201026
662.686,0.16902888,1.8053265,1.6201026
662.6352,0.169029,1.8053286,1.6201028
662.5844,0.16902888,1.8053265,1.6201026
662.53357,0.16902888,1.8053273,1.6201026
662.4828,0.16902888,1.8053284,1.6201026
662.432,0.16902888,1.8053265,1.6201026
662.38116,0.16902888,1.8053273,1.6201026
662.3304,0.16902888,1.8053286,1.6201026
662.2796,0.16902888,1.8053267,1.6201026
662.2288,0.169029,1.8053288,1.6201028
662.178,0.16902888,1.8053269,1.6201026
662.1272,0.169029,1.8053278,1.6201028
662.0764,0.16902912,1.805329,1.6201029
662.0256,0.169029,1.805327,1.6201028
661.9748,0.169029,1.8053279,1.6201028
661.924,0.169029,1.805329,1.6201028
661.87317,0.169029,1.8053269,1.6201028
661.8224,0.169029,1.8053286,1.6201028
661.7716,0.16902888,1.8053265,1.6201026
661.72076,0.16902888,1.8053275,1.6201026
661.67,0.169029,1.8053286,1.6201028
661.6192,0.16902888,1.8053267,1.6201026
661.5684,0.16902888,1.8053273,1.6201026
661.5176,0.16902888,1.8053286,1.6201026
661.4668,0.16902888,1.8053265,1.6201026
661.416,0.16902888,1.8053286,1.6201026
661.3652,0.16902888,1.8053267,1.6201026
661.3144,0.16902888,1.8053275,1.6201026
661.2636,0.169029,1.8053288,1.6201028
661.21277,0.16902888,1.8053267,1.6201026
661.162,0.16902864,1.8053284,1.6201024
661.1112,0.16902065,1.8053125,1.6200944
661.06036,0.16898513,1.805243,1.6200589
661.0096,0.16888964,1.805051,1.6199634
660.9588,0.16861475,1.8038191,1.6196885
660.908,0.16812623,1.8016877,1.6192
660.8572,0.16690826,1.7994328,1.6179819
660.8064,0.16406167,1.8038385,1.615135
660.7556,0.15850425,1.8185052,1.6095767
660.7048,0.14914286,1.843553,1.6002141
660.654,0.13549042,1.8736128,1.5865598
660.6032,0.117057204,1.906368,1.5681233
660.55237,0.09375644,1.9966741,1.5448174
660.5016,0.064682364,2.183463,1.5188774
660.4508,0.034487486,2.4074874,1.504497
660.39996,0.008014202,2.5901117,1.5140353
660.3492,-0.008847237,2.6434624,1.5665586
660.2984,-0.013070941,2.69244,1.6589915
660.2476,-0.015585542,2.7326121,1.7534282
660.1968,-0.014386177,2.7682798,1.8518349
