Poço,Profundidade,UnidadeF,UnidadeM,UnidadeC,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,GR,RESD,Log10_RESD,DT,RHOB,DRHO,NPHI,PE,interpolada,PE.1
1-BRSA-643-SE,155.1,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,9.050145149230955,0.550145149230957,44.51069259643555,48.448150634765625,1.6852772037924513,74.6819076538086,2.3643596172332764,-0.0019471645355224,0.1434615552425384,2.056991577148437,False,
1-BRSA-643-SE,155.2,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,9.02652883529663,0.5265288352966309,44.75468444824219,51.00638008117676,1.707624502779279,75.90613174438477,2.360472679138184,-0.0014474391937255,0.1427064761519431,2.0749512910842896,True,
1-BRSA-643-SE,155.3,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,9.002912521362305,0.5029125213623047,44.99867630004883,53.56460952758789,1.728877943363426,77.13035583496094,2.356585741043091,-0.0009477138519287,0.1419513970613479,2.0929110050201416,False,
1-BRSA-643-SE,155.4,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.967487335205078,0.4674873352050781,47.27452087402344,56.59597396850586,1.752785538159106,78.57312774658203,2.3532087802886963,0.0015614032745361,0.1472830027341842,2.088296413421631,False,
1-BRSA-643-SE,155.5,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.97929573059082,0.4792957305908203,45.10415077209473,57.48577690124512,1.759560405082702,79.15544128417969,2.350600361824036,0.0019096136093139,0.1475917622447013,2.075736880302429,True,
1-BRSA-643-SE,155.6,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.991104125976562,0.4911041259765625,42.933780670166016,58.375579833984375,1.766231207363448,79.73775482177734,2.347991943359375,0.0022578239440917,0.1479005217552185,2.0631773471832275,False,
1-BRSA-643-SE,155.7,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.993072032928467,0.4930720329284668,41.79243850708008,56.48802185058594,1.751956366479696,80.79292297363281,2.3473647832870483,0.0020561218261718,0.1495917811989784,2.0553823709487915,True,
1-BRSA-643-SE,155.8,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.995039939880371,0.4950399398803711,40.65109634399414,54.6004638671875,1.7371963323403437,81.84809112548828,2.3467376232147217,0.0018544197082519,0.1512830406427383,2.0475873947143555,False,
1-BRSA-643-SE,155.9,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.971423149108887,0.4714231491088867,38.21269607543945,50.162864685058594,1.700382330083193,85.14436340332031,2.336339235305786,-0.0017664432525634,0.1525750309228897,2.055663108825684,False,
1-BRSA-643-SE,156.0,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.939934730529785,0.4399347305297851,38.87534713745117,48.4207878112793,1.685031851179816,86.08859252929688,2.335862517356873,-0.0024757385253905,0.1493944525718688,2.065470933914185,True,
1-BRSA-643-SE,156.1,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.908446311950684,0.4084463119506836,39.53799819946289,46.6787109375,1.66911885421865,87.03282165527344,2.335385799407959,-0.0031850337982177,0.146213874220848,2.075278759002685,False,
1-BRSA-643-SE,156.2,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.873022079467773,0.3730220794677734,38.56745529174805,47.310279846191406,1.6749555169620562,86.9097900390625,2.339470624923706,-0.0031397342681884,0.1362921297550201,2.053370475769043,False,
1-BRSA-643-SE,156.3,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.867117881774902,0.3671178817749023,39.217695236206055,47.90374565124512,1.6803694727479204,85.63042068481445,2.340764880180359,-0.0027709007263183,0.1346729919314384,2.040506720542908,True,
1-BRSA-643-SE,156.4,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.861213684082031,0.3612136840820312,39.86793518066406,48.49721145629883,1.685716767798998,84.3510513305664,2.342059135437012,-0.0024020671844482,0.1330538541078567,2.0276429653167725,False,
1-BRSA-643-SE,156.5,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.861213684082031,0.3612136840820312,37.5666618347168,50.875587463378906,1.7065094370859697,80.8936767578125,2.3375582695007324,-0.0031559467315673,0.1459295451641082,1.9978727102279663,False,
1-BRSA-643-SE,156.6,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.884829998016357,0.3848299980163574,37.72526550292969,50.6132755279541,1.7042644443564772,79.72075271606445,2.3363674879074097,-0.003392457962036,0.1492705419659614,1.9895667433738708,True,
1-BRSA-643-SE,156.7,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.908446311950684,0.4084463119506836,37.88386917114258,50.3509635925293,1.702007786288125,78.5478286743164,2.335176706314087,-0.0036289691925048,0.1526115387678146,1.981260776519776,False,
1-BRSA-643-SE,156.8,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.916319847106934,0.4163198471069336,37.66513442993164,48.6525993347168,1.6871060480281663,77.31019592285156,2.3415403366088867,-0.0023186206817626,0.1549371778964996,1.9437323808670044,False,
1-BRSA-643-SE,156.9,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.904510974884033,0.4045109748840332,36.60783386230469,48.13967514038086,1.682503155211632,76.8576545715332,2.3420886993408203,-0.001414656639099,0.1532191634178161,1.936551213264465,True,
1-BRSA-643-SE,157.0,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.892702102661133,0.3927021026611328,35.550533294677734,47.62675094604492,1.6778509553446126,76.40511322021484,2.342637062072754,-0.0005106925964355,0.1515011489391327,1.9293700456619265,False,
1-BRSA-643-SE,157.1,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.873022079467773,0.3730220794677734,33.92493438720703,46.38187789916992,1.6663483282764555,76.5738296508789,2.3440260887146,0.0014703273773193,0.1613887697458267,1.9166390895843504,False,
1-BRSA-643-SE,157.2,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.847437381744385,0.3474373817443847,34.102312088012695,45.04679107666016,1.6536638593031934,76.6883773803711,2.345789909362793,0.0017600059509277,0.1618424728512763,1.924605250358581,True,
1-BRSA-643-SE,157.3,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.821852684020996,0.3218526840209961,34.27968978881836,43.71170425415039,1.6405977393138222,76.80292510986328,2.3475537300109863,0.0020496845245361,0.162296175956726,1.9325714111328125,False,
1-BRSA-643-SE,157.4,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.798235893249512,0.2982358932495117,38.50889205932617,42.33464431762695,1.626695915317291,76.123291015625,2.3644590377807617,0.0025467872619628,0.157312199473381,1.943572163581848,False,
1-BRSA-643-SE,157.5,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.788395881652832,0.288395881652832,40.45961380004883,43.19553184509277,1.6354388256255683,75.80887603759766,2.367626667022705,0.0018829107284545,0.1521250009536743,1.9632127881050108,True,
1-BRSA-643-SE,157.6,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.778555870056152,0.2785558700561523,42.41033554077149,44.056419372558594,1.644009197537172,75.49446105957031,2.3707942962646484,0.0012190341949462,0.1469378024339676,1.9828534126281736,False,
1-BRSA-643-SE,157.7,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.778555870056152,0.2785558700561523,44.88511276245117,48.34667205810547,1.6843665847986775,76.47309112548828,2.3637545108795166,6.723403930664062e-05,0.1431598514318466,2.0214171409606934,False,
1-BRSA-643-SE,157.8,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.819884777069092,0.3198847770690917,44.880802154541016,50.24928855895996,1.701129917294414,76.51225662231445,2.3582539558410645,-0.0001956224441528,0.1455319374799727,2.016403317451477,True,
1-BRSA-643-SE,157.9,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,8.861213684082031,0.3612136840820312,44.87649154663086,52.15190505981445,1.7172701774193788,76.55142211914062,2.3527534008026123,-0.0004584789276123,0.147904023528099,2.0113894939422607,False,
1-BRSA-643-SE,158.0,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,9.0619535446167,0.5619535446166992,45.559906005859375,52.98357391357422,1.7241412495179276,77.21814727783203,2.344395160675049,-0.0011587142944335,0.1470912843942642,1.998107671737671,False,
1-BRSA-643-SE,158.1,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,9.126898765563965,0.6268987655639648,43.933292388916016,52.21773719787598,1.717818048188411,77.57559204101562,2.341475248336792,-0.0022206306457519,0.1483225747942924,1.98833429813385,True,
1-BRSA-643-SE,158.2,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,9.19184398651123,0.6918439865112305,42.306678771972656,51.45190048217773,1.7114014209581057,77.93303680419922,2.338555335998535,-0.0032825469970703,0.1495538651943206,1.9785609245300293,False,
1-BRSA-643-SE,158.3,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,9.309926986694336,0.8099269866943359,43.21148681640625,50.70946502685547,1.7050890288655585,77.96419525146484,2.3313958644866943,-0.0044000148773193,0.1505288183689117,1.997551441192627,False,
1-BRSA-643-SE,158.4,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,9.298118591308594,0.7981185913085938,41.16289710998535,50.31410217285156,1.7016897273516916,78.58037567138672,2.328032612800598,-0.0040503740310668,0.1493346020579337,1.997177600860596,True,
1-BRSA-643-SE,158.5,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,9.286310195922852,0.7863101959228516,39.11430740356445,49.918739318847656,1.698263608850221,79.1965560913086,2.324669361114502,-0.0037007331848144,0.1481403857469558,1.9968037605285645,False,
1-BRSA-643-SE,158.6,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,9.239076614379885,0.7390766143798828,39.2769660949707,45.23219299316406,1.6554476441629404,80.2194595336914,2.3241984844207764,-0.0009610652923583,0.1502080112695694,1.994336485862732,False,
1-BRSA-643-SE,158.7,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,9.197747707366943,0.6977477073669434,38.58072280883789,42.63003540039063,1.6297156932895889,80.58512496948242,2.327649712562561,-0.0002821683883666,0.1515681594610214,1.997785747051239,True,
1-BRSA-643-SE,158.8,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,9.156418800354004,0.6564188003540039,37.88447952270508,40.02787780761719,1.602362565351843,80.95079040527344,2.3311009407043457,0.000396728515625,0.1529283076524734,2.001235008239746,False,
1-BRSA-643-SE,158.9,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,9.168227195739746,0.6682271957397461,39.4334659576416,38.66570854187012,1.5873259729520597,82.03035354614258,2.34013569355011,0.0005284547805786,0.1538169980049133,2.011191964149475,True,
1-BRSA-643-SE,159.0,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,9.180035591125488,0.6800355911254883,40.982452392578125,37.30353927612305,1.57175003864971,83.10991668701172,2.349170446395874,0.0006601810455322,0.1547056883573532,2.021148920059204,False,
1-BRSA-643-SE,159.1,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,9.144611358642578,0.6446113586425781,44.3883056640625,37.1080207824707,1.5694677911535753,84.53919219970703,2.366572856903076,-0.0001225471496582,0.1546055674552917,2.0584750175476074,False,
1-BRSA-643-SE,159.2,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,9.144611358642578,0.6446113586425781,45.26192665100098,38.20406150817871,1.582109535603502,85.19519805908203,2.373132705688477,-0.0002630949020385,0.1563441008329391,2.0679231882095337,True,
1-BRSA-643-SE,159.3,SERRAR,SERRAR,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,MEDIO,SUBARREDONDADO,8.5,9.144611358642578,0.6446113586425781,46.13554763793945,39.30010223388672,1.5943936801350989,85.85120391845703,2.379692554473877,-0.0004036426544189,0.1580826342105865,2.07737135887146,False,
