Curva,Poco
TDEP,1-BRSA-574-SE
AHV,1-BRSA-574-SE
AHVT,1-BRSA-574-SE
ALPHA,1-BRSA-574-SE
AMPL,1-BRSA-574-SE
BHV,1-BRSA-574-SE
BHVT,1-BRSA-574-SE
BS,1-BRSA-574-SE
CALI,1-BRSA-574-SE
CS,1-BRSA-574-SE
DCAL,1-BRSA-574-SE
DDRX,1-BRSA-574-SE
DDRY,1-BRSA-574-SE
DDX,1-BRSA-574-SE
DDY,1-BRSA-574-SE
DFL,1-BRSA-574-SE
DFLF,1-BRSA-574-SE
DIAM,1-BRSA-574-SE
DLIM,1-BRSA-574-SE
DMR,1-BRSA-574-SE
DMY,1-BRSA-574-SE
DPE,1-BRSA-574-SE
DPHD,1-BRSA-574-SE
DPHI,1-BRSA-574-SE
DPHS,1-BRSA-574-SE
DQCAL,1-BRSA-574-SE
DQZER,1-BRSA-574-SE
DRCO,1-BRSA-574-SE
DRHO,1-BRSA-574-SE
DT,1-BRSA-574-SE
DT_RCV,1-BRSA-574-SE
DT_UNF,1-BRSA-574-SE
DT_XMT,1-BRSA-574-SE
DVARC,1-BRSA-574-SE
DXCO,1-BRSA-574-SE
DZB,1-BRSA-574-SE
DZM,1-BRSA-574-SE
ERROR,1-BRSA-574-SE
ETIME,1-BRSA-574-SE
FDSN,1-BRSA-574-SE
FNOISE,1-BRSA-574-SE
FSDL,1-BRSA-574-SE
GAIN_F,1-BRSA-574-SE
GAIN_N,1-BRSA-574-SE
GR,1-BRSA-574-SE
GRCO,1-BRSA-574-SE
GRU,1-BRSA-574-SE
HDCN,1-BRSA-574-SE
HDR,1-BRSA-574-SE
HDRS,1-BRSA-574-SE
HDX,1-BRSA-574-SE
HMCN,1-BRSA-574-SE
HMR,1-BRSA-574-SE
HMRS,1-BRSA-574-SE
HMX,1-BRSA-574-SE
HT24,1-BRSA-574-SE
HT30,1-BRSA-574-SE
HT40,1-BRSA-574-SE
HT60,1-BRSA-574-SE
HT90,1-BRSA-574-SE
ITT,1-BRSA-574-SE
ITTT,1-BRSA-574-SE
MINM,1-BRSA-574-SE
MMRK,1-BRSA-574-SE
MMRKT,1-BRSA-574-SE
MQCAL,1-BRSA-574-SE
MQZER,1-BRSA-574-SE
MRCO,1-BRSA-574-SE
MSGGAI,1-BRSA-574-SE
MSGRCV,1-BRSA-574-SE
MXCO,1-BRSA-574-SE
NDSN,1-BRSA-574-SE
NLIM,1-BRSA-574-SE
NNOISE,1-BRSA-574-SE
NPHD,1-BRSA-574-SE
NPHI,1-BRSA-574-SE
NPHS,1-BRSA-574-SE
NRAT,1-BRSA-574-SE
NSDL,1-BRSA-574-SE
PE,1-BRSA-574-SE
PELC,1-BRSA-574-SE
PEU,1-BRSA-574-SE
PKCODE,1-BRSA-574-SE
QDT,1-BRSA-574-SE
QL,1-BRSA-574-SE
QPE,1-BRSA-574-SE
QS,1-BRSA-574-SE
RHOB,1-BRSA-574-SE
RXRT,1-BRSA-574-SE
SDSO,1-BRSA-574-SE
SDT2,1-BRSA-574-SE
SP,1-BRSA-574-SE
SPA,1-BRSA-574-SE
SPDCOR,1-BRSA-574-SE
SPHI,1-BRSA-574-SE
STEM,1-BRSA-574-SE
STUCK,1-BRSA-574-SE
TENS,1-BRSA-574-SE
TPRES,1-BRSA-574-SE
TT1,1-BRSA-574-SE
TT11,1-BRSA-574-SE
TT12,1-BRSA-574-SE
TT2,1-BRSA-574-SE
TT21,1-BRSA-574-SE
TT22,1-BRSA-574-SE
TTEMP,1-BRSA-574-SE
VRES,1-BRSA-574-SE
XFRAC,1-BRSA-574-SE
ZB,1-BRSA-574-SE
ZM,1-BRSA-574-SE
HDRS2,1-BRSA-574-SE
HMRS2,1-BRSA-574-SE
