Curva,Poco
TDEP,1-BRSA-595-SE
AHV,1-BRSA-595-SE
AHVT,1-BRSA-595-SE
ALPHA,1-BRSA-595-SE
AMPL,1-BRSA-595-SE
BHV,1-BRSA-595-SE
BHVT,1-BRSA-595-SE
BS,1-BRSA-595-SE
CALI,1-BRSA-595-SE
CS,1-BRSA-595-SE
DCAL,1-BRSA-595-SE
DDRX,1-BRSA-595-SE
DDRY,1-BRSA-595-SE
DDX,1-BRSA-595-SE
DDY,1-BRSA-595-SE
DFL,1-BRSA-595-SE
DFLF,1-BRSA-595-SE
DIAM,1-BRSA-595-SE
DLIM,1-BRSA-595-SE
DMR,1-BRSA-595-SE
DMY,1-BRSA-595-SE
DPE,1-BRSA-595-SE
DPHD,1-BRSA-595-SE
DPHI,1-BRSA-595-SE
DPHS,1-BRSA-595-SE
DQCAL,1-BRSA-595-SE
DQZER,1-BRSA-595-SE
DRCO,1-BRSA-595-SE
DRHO,1-BRSA-595-SE
DT,1-BRSA-595-SE
DT_RCV,1-BRSA-595-SE
DT_UNF,1-BRSA-595-SE
DT_XMT,1-BRSA-595-SE
DVARC,1-BRSA-595-SE
DXCO,1-BRSA-595-SE
DZB,1-BRSA-595-SE
DZM,1-BRSA-595-SE
ERROR,1-BRSA-595-SE
ETIME,1-BRSA-595-SE
FDSN,1-BRSA-595-SE
FNOISE,1-BRSA-595-SE
FSDL,1-BRSA-595-SE
GAIN_F,1-BRSA-595-SE
GAIN_N,1-BRSA-595-SE
GR,1-BRSA-595-SE
GRCO,1-BRSA-595-SE
GRU,1-BRSA-595-SE
HDCN,1-BRSA-595-SE
HDR,1-BRSA-595-SE
HDRS,1-BRSA-595-SE
HDX,1-BRSA-595-SE
HMCN,1-BRSA-595-SE
HMR,1-BRSA-595-SE
HMRS,1-BRSA-595-SE
HMX,1-BRSA-595-SE
HT24,1-BRSA-595-SE
HT30,1-BRSA-595-SE
HT40,1-BRSA-595-SE
HT60,1-BRSA-595-SE
HT90,1-BRSA-595-SE
ITT,1-BRSA-595-SE
ITTT,1-BRSA-595-SE
MINM,1-BRSA-595-SE
MMRK,1-BRSA-595-SE
MMRKT,1-BRSA-595-SE
MQCAL,1-BRSA-595-SE
MQZER,1-BRSA-595-SE
MRCO,1-BRSA-595-SE
MSGGAI,1-BRSA-595-SE
MSGRCV,1-BRSA-595-SE
MXCO,1-BRSA-595-SE
NDSN,1-BRSA-595-SE
NLIM,1-BRSA-595-SE
NNOISE,1-BRSA-595-SE
NPHD,1-BRSA-595-SE
NPHI,1-BRSA-595-SE
NPHS,1-BRSA-595-SE
NRAT,1-BRSA-595-SE
NSDL,1-BRSA-595-SE
PELC,1-BRSA-595-SE
PEU,1-BRSA-595-SE
PKCODE,1-BRSA-595-SE
QDT,1-BRSA-595-SE
QL,1-BRSA-595-SE
QPE,1-BRSA-595-SE
QS,1-BRSA-595-SE
RHOB,1-BRSA-595-SE
RXRT,1-BRSA-595-SE
SDSO,1-BRSA-595-SE
SDT2,1-BRSA-595-SE
SP,1-BRSA-595-SE
SPA,1-BRSA-595-SE
SPDCOR,1-BRSA-595-SE
SPHI,1-BRSA-595-SE
STEM,1-BRSA-595-SE
STUCK,1-BRSA-595-SE
TENS,1-BRSA-595-SE
TPRES,1-BRSA-595-SE
TT1,1-BRSA-595-SE
TT11,1-BRSA-595-SE
TT12,1-BRSA-595-SE
TT2,1-BRSA-595-SE
TT21,1-BRSA-595-SE
TT22,1-BRSA-595-SE
TTEMP,1-BRSA-595-SE
VRES,1-BRSA-595-SE
XFRAC,1-BRSA-595-SE
ZB,1-BRSA-595-SE
ZM,1-BRSA-595-SE
HMRS2,1-BRSA-595-SE
HDRS2,1-BRSA-595-SE
