TDEP,HDRA,PEFZ,RHOZ
292320.0,-999.25,-999.25,-999.25
292300.0,-999.25,-999.25,-999.25
292280.0,-999.25,-999.25,-999.25
292260.0,-999.25,-999.25,-999.25
292240.0,-999.25,-999.25,-999.25
292220.0,-999.25,-999.25,-999.25
292200.0,-999.25,-999.25,-999.25
292180.0,-999.25,-999.25,-999.25
292160.0,-999.25,-999.25,-999.25
292140.0,-999.25,-999.25,-999.25
292120.0,-999.25,-999.25,-999.25
292100.0,-999.25,-999.25,-999.25
292080.0,-999.25,-999.25,-999.25
292060.0,-999.25,-999.25,-999.25
292040.0,-999.25,-999.25,-999.25
292020.0,-999.25,-999.25,-999.25
292000.0,-999.25,-999.25,-999.25
291980.0,-999.25,-999.25,-999.25
291960.0,-999.25,-999.25,-999.25
291940.0,-999.25,-999.25,-999.25
291920.0,-999.25,-999.25,-999.25
291900.0,-999.25,-999.25,-999.25
291880.0,-999.25,-999.25,-999.25
291860.0,-999.25,-999.25,-999.25
291840.0,-999.25,-999.25,-999.25
291820.0,-999.25,-999.25,-999.25
291800.0,-999.25,-999.25,-999.25
291780.0,-999.25,-999.25,-999.25
291760.0,-999.25,-999.25,-999.25
291740.0,-999.25,-999.25,-999.25
291720.0,-999.25,-999.25,-999.25
291700.0,2.192243,3.3206937,2.2482595
291680.0,1.9455554,3.323605,2.2455277
291660.0,1.7014714,3.3279629,2.2453706
291640.0,1.4576095,3.3330529,2.2454226
291620.0,1.2138115,3.3384643,2.2455325
291600.0,0.9700445,3.3440583,2.2456741
291580.0,0.7262989,3.3497813,2.245834
291560.0,0.48256707,3.3556118,2.2460063
291540.0,0.23884511,3.3615408,2.2461877
291520.0,0.23893762,3.3639917,2.2461705
291500.0,0.23896432,3.3664289,2.2461462
291480.0,0.23899388,3.3689368,2.2461522
291460.0,0.23901844,3.3714414,2.246166
291440.0,0.23904085,3.373914,2.2461836
291420.0,0.23906422,3.376338,2.246201
291400.0,0.23908377,3.3787029,2.2462177
291380.0,0.23909664,3.3810015,2.246233
291360.0,0.23910785,3.3832233,2.2462451
291340.0,0.23911881,3.3853612,2.246253
291320.0,0.23912668,3.3874898,2.2462595
291300.0,0.23913026,3.3896115,2.246266
291280.0,0.23913383,3.3917236,2.2462707
291260.0,0.23913717,3.3938243,2.2462747
291240.0,0.23914051,3.395915,2.2462783
291220.0,0.2391398,3.3979979,2.2462814
291200.0,0.23914313,3.4000704,2.246283
291180.0,0.23914528,3.4021368,2.2462842
291160.0,0.23914576,3.4041982,2.2462847
291140.0,0.23914647,3.4062567,2.2462852
291120.0,0.23914981,3.408312,2.2462847
291100.0,0.23915172,3.410365,2.2462845
291080.0,0.23914886,3.4124174,2.2462845
291060.0,0.23914742,3.4144678,2.2462842
291040.0,0.2391491,3.4165146,2.246283
291020.0,0.23914933,3.418561,2.2462819
291000.0,0.23914886,3.420606,2.2462807
290980.0,0.23914814,3.42265,2.2462797
290960.0,0.23914719,3.424693,2.2462785
