TDEP,AHT90,AHF90
292320.0,1.9486488,1.9766681
292290.0,1.9490112,1.97717
292260.0,1.9490167,1.9777325
292230.0,1.9493734,1.9782432
292200.0,1.9495168,1.9783511
292170.0,1.9497643,1.9781543
292140.0,1.9491183,1.9779091
292110.0,1.9479184,1.9782265
292080.0,1.9467297,1.9793699
292050.0,1.9452529,1.9798193
292020.0,1.9450543,1.9787416
291990.0,1.9462132,1.977361
291960.0,1.9439402,1.9758941
291930.0,1.9386697,1.9753026
291900.0,1.9386518,1.9773566
291870.0,1.9419471,1.9812294
291840.0,1.9474252,1.9864796
291810.0,1.9559367,1.9934863
291780.0,1.9686234,2.0020423
291750.0,1.9847841,2.010514
291720.0,2.0046034,2.0125546
291690.0,2.014428,2.0187
291660.0,2.0287676,2.026301
291630.0,2.04821,2.0379152
291600.0,2.0637465,2.0489619
291570.0,2.0775034,2.0587778
291540.0,2.0944555,2.0668638
291510.0,2.1178792,2.0731025
291480.0,2.1357098,2.0692554
291450.0,2.114208,2.0510416
291420.0,2.0571918,2.0466428
291390.0,2.0153694,2.041679
291360.0,2.020061,2.0282686
291330.0,2.026171,2.0129507
291300.0,2.0059147,1.9959762
291270.0,1.9675021,1.9691893
291240.0,1.932457,1.9400147
291210.0,1.926623,1.9114574
291180.0,1.8915219,1.8923502
291150.0,1.8215023,1.8621256
291120.0,1.7892077,1.8407345
291090.0,1.7922533,1.822909
291060.0,1.7698406,1.8072624
291030.0,1.7400222,1.7921596
291000.0,1.7131777,1.777868
290970.0,1.6870087,1.7652413
290940.0,1.6740383,1.7541023
290910.0,1.6595368,1.746395
290880.0,1.6554468,1.7368046
290850.0,1.6443112,1.7283417
290820.0,1.6341103,1.7197502
290790.0,1.6263762,1.7105219
290760.0,1.609131,1.7009922
290730.0,1.5917873,1.6933116
290700.0,1.5824456,1.669602
290670.0,1.5683274,1.6625093
290640.0,1.558576,1.6530086
290610.0,1.5689921,1.6408778
290580.0,1.5897281,1.6289303
290550.0,1.6331037,1.6175026
290520.0,1.6319549,1.6094688
290490.0,1.6071388,1.6057717
290460.0,1.5826669,1.5966067
290430.0,1.5806243,1.5951601
290400.0,1.5504558,1.5845753
290370.0,1.5580503,1.5731944
290340.0,1.5682155,1.5738115
290310.0,1.5796365,1.5780584
290280.0,1.6062797,1.5854968
290250.0,1.6835275,1.5965936
290220.0,1.6819801,1.6102504
290190.0,1.7159507,1.6337312
290160.0,1.73579,1.666282
290130.0,1.777282,1.7015238
290100.0,1.7652698,1.7384722
290070.0,1.764366,1.7664285
290040.0,1.8459588,1.8032308
290010.0,1.9467729,1.8460679
289980.0,2.0926611,1.8880746
289950.0,2.1679502,1.920001
289920.0,2.1110916,1.9432975
289890.0,1.9943411,1.9563689
289860.0,1.9176956,1.9601732
289830.0,1.9031144,1.954709
289800.0,1.931482,1.9401045
289770.0,1.9475493,1.9175642
289740.0,1.9292296,1.8901236
289710.0,1.8913685,1.8601354
289680.0,1.8417984,1.832581
289650.0,1.785373,1.8087038
289620.0,1.7398918,1.786973
289590.0,1.7137024,1.7690116
289560.0,1.6935362,1.7550768
289530.0,1.6690673,1.7450808
289500.0,1.6900004,1.7384042
289470.0,1.6822528,1.7342113
289440.0,1.7236112,1.7316705
289410.0,1.7288848,1.7321901
289380.0,1.715807,1.73283
289350.0,1.7127849,1.7274148
289320.0,1.7223483,1.7222494
289290.0,1.7255135,1.720131
289260.0,1.7174841,1.7179745
289230.0,1.7075577,1.7150226
289200.0,1.6985313,1.7106873
289170.0,1.6722108,1.7021683
289140.0,1.6636931,1.6976521
289110.0,1.6416855,1.6899861
289080.0,1.6385362,1.682746
289050.0,1.6346538,1.6767714
289020.0,1.627026,1.6725374
288990.0,1.6286886,1.6702169
288960.0,1.6284753,1.6697463
288930.0,1.637253,1.6709455
288900.0,1.6412631,1.67548
288870.0,1.6467043,1.6815282
288840.0,1.6580139,1.6881435
288810.0,1.6742877,1.6965034
288780.0,1.6927074,1.7058406
288750.0,1.7070676,1.7162882
288720.0,1.7220206,1.7286364
288690.0,1.735641,1.7442242
288660.0,1.744435,1.7617944
288630.0,1.7521791,1.7813798
288600.0,1.7686814,1.7995747
288570.0,1.7929262,1.8199276
288540.0,1.8157355,1.8357978
288510.0,1.8591391,1.8566962
288480.0,1.8945949,1.8798925
288450.0,1.9533082,1.9014641
288420.0,1.9556882,1.913425
288390.0,1.947647,1.9205159
288360.0,1.9324515,1.9226323
288330.0,1.9197528,1.920229
288300.0,1.912624,1.91443
288270.0,1.8958616,1.9064623
288240.0,1.9195433,1.8970345
288210.0,1.8945143,1.8862315
288180.0,1.8934611,1.8693372
288150.0,1.889013,1.8601513
288120.0,1.8450997,1.8456752
288090.0,1.8329741,1.8319768
288060.0,1.8243492,1.8207719
288030.0,1.8210704,1.8137403
288000.0,1.8153844,1.813982
287970.0,1.8474731,1.8166053
287940.0,1.8733149,1.8163834
287910.0,1.9101611,1.8181129
287880.0,1.9004271,1.8179774
287850.0,1.8860362,1.8144662
287820.0,1.9832419,1.813541
287790.0,2.0103858,1.8101505
287760.0,1.9966861,1.8011398
287730.0,1.9700744,1.7880288
287700.0,1.9236963,1.7745521
287670.0,1.8639921,1.7618088
287640.0,1.8268487,1.7486814
287610.0,1.7079133,1.7359419
287580.0,1.7006266,1.7188702
287550.0,1.6976749,1.6969625
287520.0,1.6741481,1.6832951
287490.0,1.6319449,1.6718231
287460.0,1.6544012,1.6600603
287430.0,1.6030961,1.6503832
287400.0,1.5611929,1.6429476
287370.0,1.5179229,1.6370136
287340.0,1.4774002,1.6320409
287310.0,1.4377602,1.6278473
287280.0,1.4111778,1.6250129
287250.0,1.3952705,1.6311649
287220.0,1.3894236,1.6404985
287190.0,1.394075,1.6516987
287160.0,1.4147965,1.6671917
287130.0,1.4548209,1.6853666
287100.0,1.4907141,1.6990657
287070.0,1.5090344,1.7184234
287040.0,1.5387088,1.7383186
287010.0,1.567117,1.7535149
286980.0,1.5985255,1.7644259
286950.0,1.6269524,1.7735608
286920.0,1.6424402,1.781982
286890.0,1.6592715,1.7897328
286860.0,1.6830786,1.7957596
286830.0,1.7080032,1.7998843
286800.0,1.7048831,1.8015716
286770.0,1.7147996,1.7980566
286740.0,1.7078252,1.7996488
286710.0,1.7482746,1.8050665
286680.0,1.7758722,1.8097532
286650.0,1.7611374,1.812465
286620.0,1.7426453,1.8141407
286590.0,1.7417493,1.8191625
286560.0,1.7447853,1.826676
286530.0,1.7645557,1.8391011
286500.0,1.8154078,1.8566608
286470.0,1.8869268,1.8738836
286440.0,1.9506594,1.8870031
286410.0,2.08685,1.8947183
286380.0,2.159485,1.89513
286350.0,2.1308935,1.8872708
286320.0,2.0361116,1.8713423
286290.0,1.9092629,1.8482708
286260.0,1.798266,1.8190864
286230.0,1.7294055,1.796945
286200.0,1.7222738,1.7748411
286170.0,1.7045425,1.7580427
286140.0,1.7341524,1.7464235
286110.0,1.739463,1.7389798
286080.0,1.724376,1.7354393
286050.0,1.742585,1.7390795
286020.0,1.7417023,1.7478226
285990.0,1.7569215,1.757565
285960.0,1.7636251,1.7748002
285930.0,1.7787905,1.7954063
285900.0,1.796493,1.8155835
285870.0,1.8187245,1.8277496
285840.0,1.8559588,1.8393515
285810.0,1.9196862,1.8595895
