TDEP,BS,RT,GR,NPHI,DCAL,DT
292320.0,8.5,1.5779737,97.17866,0.5122091,-4.7697763,103.694336
292260.0,8.5,1.9490167,97.17866,0.5122091,-4.7697763,103.694336
292200.0,8.5,1.9495168,97.17866,0.5122091,-4.7697763,103.694336
292140.0,8.5,1.9491183,97.17866,0.5122091,-4.7697763,103.694336
292080.0,8.5,1.9467297,97.17866,0.5122091,-4.7697763,103.694336
292020.0,8.5,1.9450543,97.17866,0.5122091,-4.7697763,103.694336
291960.0,8.5,1.9439402,97.17866,0.5122091,-4.7697763,103.694336
291900.0,8.5,1.9386518,97.17866,0.5122091,-4.7697763,103.694336
291840.0,8.5,1.9474252,97.17866,0.5122091,-4.7697763,103.694336
291780.0,8.5,1.9686234,97.17866,0.5122091,-4.7697763,103.694336
291720.0,8.5,2.0046034,97.17866,0.5122091,-4.7697763,103.694336
291660.0,8.5,2.0287676,97.17866,0.5122091,-4.7697763,103.694336
291600.0,8.5,2.0637465,97.17866,0.5122091,-4.7697763,103.694336
291540.0,8.5,2.0944555,97.17866,0.5122091,-4.7697763,103.694336
291480.0,8.5,2.1357098,97.17866,0.5122091,-4.7697763,103.694336
291420.0,8.5,2.0571918,97.17866,0.5122091,-4.7697763,103.694336
291360.0,8.5,2.020061,97.17866,0.5122091,-4.7697763,103.694336
291300.0,8.5,2.0059147,97.17866,0.5122091,-4.7697763,103.694336
291240.0,8.5,1.932457,97.17866,0.5122091,-4.7697763,103.694336
291180.0,8.5,1.8915219,97.17866,0.5122091,-4.7697763,103.694336
291120.0,8.5,1.7892077,97.17866,0.5122091,-4.7697763,103.694336
291060.0,8.5,1.7698406,97.17866,0.5122091,-4.7697763,103.694336
291000.0,8.5,1.7131777,97.17866,0.5122091,-4.7697763,103.694336
290940.0,8.5,1.6740383,97.17866,0.5122091,-4.7697763,103.694336
290880.0,8.5,1.6554468,97.17866,0.5122091,-4.7697763,103.694336
290820.0,8.5,1.6341103,97.17866,0.5122091,-4.7697763,103.694336
290760.0,8.5,1.609131,97.17866,0.5122091,-4.7697763,103.694336
290700.0,8.5,1.5824456,97.17866,0.5122091,-4.7697763,103.694336
290640.0,8.5,1.558576,97.17866,0.5122091,-4.7697763,103.694336
290580.0,8.5,1.5897281,97.17866,0.5122091,-4.7697763,103.694336
