Poço,Profundidade,UnidadeF,UnidadeM,UnidadeC,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,GR,RESD,DT,RHOB,DRHO,NPHI,PE,interpolada
1-BRSA-459-SE,479.2,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.70964527130127,0.2096452713012695,84.89301300048828,4.595716714859009,106.05410385131836,2.340168833732605,-0.009060263633728,0.3043072819709778,2.9623929262161255,True
1-BRSA-459-SE,479.3,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.719657897949219,0.2196578979492187,84.76473999023438,4.729486465454102,105.88453674316406,2.348933458328247,-0.0075433254241943,0.3006249666213989,2.9789516925811768,False
1-BRSA-459-SE,479.4,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.726332664489746,0.22633266448974604,87.94263076782227,4.867563247680664,105.6081314086914,2.355376362800598,-0.0073961019515991,0.29335005581378937,3.0125335454940796,True
1-BRSA-459-SE,479.5,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.733007431030273,0.2330074310302734,91.12052154541016,5.005640029907227,105.33172607421876,2.361819267272949,-0.0072488784790039,0.2860751450061798,3.0461153984069824,False
1-BRSA-459-SE,479.6,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.729670524597168,0.2296705245971679,94.45563507080078,5.35871696472168,105.5843276977539,2.375232219696045,-0.008897066116333,0.3132844567298889,3.140909433364868,False
1-BRSA-459-SE,479.7,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.7547025680542,0.25470256805419916,102.5490493774414,5.353734493255615,105.36539840698242,2.387385845184326,-0.0097476243972778,0.31448839604854584,3.2114200592041016,True
1-BRSA-459-SE,479.8,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.77973461151123,0.2797346115112304,110.64246368408205,5.348752021789551,105.14646911621094,2.3995394706726074,-0.0105981826782226,0.3156923353672027,3.281930685043335,False
1-BRSA-459-SE,479.9,MURIBE,CARMOP,,False,False,False,True,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.77973461151123,0.2797346115112304,121.8088150024414,4.990036487579346,106.93416595458984,2.4450173377990723,-0.008059024810791,0.3290261626243591,3.4657182693481445,False
1-BRSA-459-SE,480.0,MURIBE,CARMOP,,False,False,True,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.78974723815918,0.2897472381591797,129.3254508972168,4.901012182235718,106.87515640258789,2.456838607788086,-0.00797915458679195,0.3251768499612808,3.570563673973084,True
1-BRSA-459-SE,480.1,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.799759864807129,0.2997598648071289,136.8420867919922,4.81198787689209,106.81614685058594,2.4686598777771,-0.0078992843627929,0.3213275372982025,3.6754090785980233,False
1-BRSA-459-SE,480.2,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.833134651184082,0.333134651184082,138.64537048339844,4.789255619049072,107.90900421142578,2.4699649810791016,-0.0081708431243896,0.332991361618042,3.8097681999206543,False
1-BRSA-459-SE,480.3,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.846485137939453,0.3464851379394531,140.6842269897461,4.829083442687988,109.21891784667969,2.459288477897644,-0.00905263423919675,0.339958056807518,3.837459087371826,True
1-BRSA-459-SE,480.4,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.859835624694824,0.3598356246948242,142.72308349609375,4.868911266326904,110.5288314819336,2.4486119747161865,-0.0099344253540039,0.346924751996994,3.865149974822998,False
1-BRSA-459-SE,480.5,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.859835624694824,0.3598356246948242,144.81956481933594,4.773899078369141,110.81138610839844,2.4417641162872314,-0.0080046653747558,0.3530450463294983,3.7969915866851807,False
1-BRSA-459-SE,480.6,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.85482931137085,0.3548293113708496,142.81541442871094,4.705781698226929,110.7648811340332,2.4426745176315308,-0.0059897899627685,0.35040825605392456,3.731903076171875,True
1-BRSA-459-SE,480.7,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.849822998046875,0.349822998046875,140.81126403808594,4.637664318084717,110.71837615966795,2.44358491897583,-0.0039749145507812,0.3477714657783508,3.666814565658569,False
1-BRSA-459-SE,480.8,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.899886131286621,0.3998861312866211,135.653564453125,5.094648838043213,110.35662078857422,2.4448394775390625,4.124641418457031e-05,0.3345514237880707,3.5145785808563232,False
1-BRSA-459-SE,480.9,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.899886131286621,0.3998861312866211,132.80853271484375,5.387074708938599,110.30526351928711,2.441439628601074,0.0014994144439696851,0.32852356135845184,3.475718379020691,True
1-BRSA-459-SE,481.0,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.899886131286621,0.3998861312866211,129.9635009765625,5.679500579833984,110.25390625,2.438039779663086,0.0029575824737548,0.322495698928833,3.4368581771850586,False
1-BRSA-459-SE,481.1,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.913235664367676,0.4132356643676758,133.45191955566406,5.343461036682129,109.387939453125,2.4199843406677246,0.0022804737091064,0.3267084062099457,3.4390645027160645,False
1-BRSA-459-SE,481.2,MURIBE,CARMOP,,False,False,False,False,FOLHELHO,CINZA,ACASTANHADO,,,8.5,8.916573524475098,0.41657352447509766,134.3500213623047,5.071137428283691,108.80641174316406,2.4152956008911133,0.0018423795700073001,0.3220852017402649,3.4353275299072266,True
