Poço,Profundidade,UnidadeF,UnidadeM,UnidadeC,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,DRHO,DT,GR,RESD,NPHI,PE,PE.1,RHOB,interpolada
1-BRSA-645-SE,9.2,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,9.3,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,9.4,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,9.5,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,9.6,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,9.7,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,9.8,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,9.9,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,10.0,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,10.1,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,10.2,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,10.3,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,10.4,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,10.5,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,10.6,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,10.7,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,10.8,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,10.9,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,11.0,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,11.1,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,11.2,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,11.3,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,11.4,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,11.5,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,11.6,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,11.7,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,11.8,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,11.9,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,12.0,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,12.1,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,12.2,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,12.3,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,12.4,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,12.5,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,12.6,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,12.7,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,12.8,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,12.9,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,13.0,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,13.1,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
