FRAMENO,TDEP,TIME,HCAL
193,262320.0,87.0,3.887136
194,262310.0,86.416016,3.887136
195,262300.0,86.416016,3.887136
196,262290.0,86.416016,3.887136
197,262280.0,86.416016,3.887136
198,262270.0,86.416016,3.887136
199,262260.0,86.41992,3.887136
200,262250.0,86.583984,3.887136
201,262240.0,86.583984,3.887136
202,262230.0,86.583984,3.887136
203,262220.0,86.583984,3.887136
204,262210.0,86.583984,3.887136
205,262200.0,86.58008,3.887136
206,262190.0,87.916016,3.887136
207,262180.0,87.916016,3.887136
208,262170.0,87.916016,3.887136
209,262160.0,87.916016,3.887136
210,262150.0,87.916016,3.887136
211,262140.0,87.91992,3.887136
212,262130.0,88.0,3.887136
213,262120.0,88.0,3.887136
214,262110.0,88.0,3.887136
215,262100.0,88.0,3.887136
216,262090.0,88.0,3.887136
217,262080.0,88.0,3.887136
218,262070.0,85.75,3.887136
219,262060.0,85.75,3.887136
220,262050.0,85.75,3.887136
221,262040.0,85.75,3.887136
222,262030.0,85.75,3.887136
223,262020.0,85.75,3.887136
224,262010.0,85.666016,3.887136
225,262000.0,85.666016,3.887136
226,261990.0,85.666016,3.887136
227,261980.0,85.666016,3.887136
228,261970.0,85.666016,3.887136
229,261960.0,85.66992,3.887136
230,261950.0,84.416016,3.887136
231,261940.0,84.416016,3.887136
232,261930.0,84.416016,3.887136
233,261920.0,84.416016,3.887136
234,261910.0,84.416016,3.887136
235,261900.0,84.41992,3.887136
236,261890.0,83.333984,3.887136
237,261880.0,83.333984,3.887136
238,261870.0,83.333984,3.887136
239,261860.0,83.333984,3.887136
240,261850.0,83.333984,3.887136
241,261840.0,83.33008,3.887136
242,261830.0,84.416016,3.887136
243,261820.0,84.416016,3.887136
244,261810.0,84.416016,3.887136
245,261800.0,84.416016,3.887136
246,261790.0,84.416016,3.887136
247,261780.0,84.41992,3.887136
248,261770.0,85.583984,3.887136
249,261760.0,85.583984,3.887136
250,261750.0,85.583984,3.887136
251,261740.0,85.583984,3.887136
252,261730.0,85.583984,3.887136
253,261720.0,85.58008,3.887136
254,261710.0,82.416016,3.887136
255,261700.0,82.416016,3.887136
256,261690.0,82.416016,3.887136
257,261680.0,82.416016,3.887136
