FRAMENO,TDEP,DSOZ,HDRA,PEFZ,RHOZ,RXOZ,TIME,RSOZ
12532,34.5948,0.43186408,0.17913818,9.845041,2.1492448,0.05909323,266.5,0.23301919
12529,34.7472,0.44170955,0.18764913,9.880037,2.1628077,0.056473833,276.0,0.24339345
12526,34.8996,0.44112474,0.18873096,9.8874855,2.1679502,0.057083763,274.0,0.25219038
12523,35.052,0.42987594,0.18449938,9.90688,2.1626627,0.05646532,271.5,0.23412284
12520,35.2044,0.4212348,0.18212092,9.906375,2.1680853,0.056579787,273.0,0.23147757
12517,35.3568,0.4186049,0.18409872,9.898965,2.1789541,0.056094598,267.5,0.22942905
12514,35.5092,0.4229478,0.19081736,9.868237,2.193856,0.05618934,273.0,0.23760162
12511,35.6616,0.4252707,0.19724488,9.837352,2.1997442,0.05670995,264.0,0.24177882
12508,35.814,0.42901877,0.20228839,9.806091,2.2028925,0.05672099,271.5,0.2442914
12505,35.9664,0.42900538,0.20315576,9.800159,2.2012262,0.05737572,273.0,0.24637197
12502,36.1188,0.4269222,0.20145643,9.819027,2.2000356,0.05663898,267.5,0.23962203
12499,36.2712,0.42427656,0.20105672,9.862059,2.204029,0.056744803,265.0,0.24201971
12496,36.4236,0.4210688,0.2005229,9.919783,2.2085948,0.05659189,268.5,0.2394413
12493,36.576,0.4141539,0.19994402,9.966786,2.209336,0.056585416,267.5,0.2482289
12490,36.7284,0.3975917,0.19552457,9.99459,2.1936731,0.056734126,265.5,0.25117975
12487,36.8808,0.36887088,0.18091297,9.997809,2.1536512,0.05680124,265.0,0.250615
12484,37.0332,0.3619398,0.17594099,9.996869,2.1411684,0.057451606,274.5,0.25302815
12481,37.1856,0.390091,0.19331479,9.969694,2.1815107,0.057100743,273.0,0.2457005
12478,37.338,0.43527406,0.22485518,9.93008,2.25013,0.05663611,269.0,0.25992987
12475,37.4904,0.4612802,0.24515104,9.9149,2.2924445,0.056233045,269.5,0.25530773
12472,37.6428,0.45512185,0.24138355,9.933949,2.2912128,0.056541376,271.5,0.25863114
12469,37.7952,0.43475208,0.22749233,9.973565,2.2707942,0.057762846,272.0,0.2516802
12466,37.9476,0.41039872,0.21111798,9.991876,2.2425625,0.05702134,269.0,0.2465189
12463,38.1,0.3918965,0.19872737,10.0,2.2158523,0.057026394,268.0,0.24964583
12460,38.2524,0.38382617,0.19388914,10.0,2.2022429,0.055506207,275.0,0.24459305
12457,38.4048,0.38298166,0.19123173,10.0,2.1909685,0.055448942,268.0,0.23156591
12454,38.5572,0.3838806,0.18577886,10.0,2.1741521,0.055534825,270.0,0.22523728
12451,38.7096,0.38442495,0.17750454,10.0,2.1533458,0.05594033,269.5,0.22799915
12448,38.862,0.3817882,0.16961837,10.0,2.1342547,0.05636355,273.0,0.24291645
12445,39.0144,0.37776312,0.16490543,10.0,2.1237977,0.056552842,268.0,0.24646556
12442,39.166798,0.3765405,0.16442013,10.0,2.1198194,0.056510776,270.5,0.2501344
12439,39.3192,0.38094252,0.1667223,10.0,2.1193054,0.056564964,266.0,0.24564375
12436,39.4716,0.39711472,0.17426503,10.0,2.127499,0.05659306,261.0,0.2490714
12433,39.624,0.41691434,0.18135476,10.0,2.1379654,0.056435797,266.5,0.24588789
12430,39.776398,0.43555525,0.18638039,9.999137,2.1464424,0.05659358,260.5,0.23789583
12427,39.9288,0.4486734,0.18979537,9.988861,2.1520002,0.057319514,264.0,0.24110845
12424,40.0812,0.4584234,0.1937176,9.977116,2.1591566,0.057605762,266.0,0.23971097
12421,40.2336,0.46580967,0.20025337,9.95524,2.172471,0.05792341,271.5,0.25024
12418,40.385998,0.4641588,0.2033447,9.942331,2.1779695,0.05763386,264.5,0.24667768
12415,40.5384,0.45923316,0.20480716,9.936291,2.184297,0.057466798,270.0,0.24522759
12412,40.6908,0.4507034,0.20206344,9.93234,2.1880307,0.05720619,263.5,0.24167812
12409,40.8432,0.44473144,0.19935429,9.933372,2.193486,0.05692003,269.5,0.23643897
12406,40.995598,0.4429603,0.19599569,9.921653,2.195524,0.058103845,267.0,0.24620095
12403,41.148,0.45043766,0.19679832,9.897214,2.2020144,0.057549164,262.5,0.2495978
12400,41.3004,0.45902383,0.20034957,9.857449,2.2120712,0.05765711,271.0,0.25047135
12397,41.4528,0.46354687,0.20827842,9.843703,2.2254295,0.05637588,271.0,0.25517583
12394,41.605198,0.4627454,0.21732259,9.888615,2.2346237,0.056864984,263.5,0.26106107
12391,41.7576,0.46506506,0.22598886,9.944856,2.2456577,0.056884747,264.0,0.26128644
12388,41.91,0.47002172,0.23455691,9.928456,2.271071,0.057829197,268.0,0.24971853
12385,42.0624,0.47591475,0.24543238,9.803239,2.319437,0.058228362,263.5,0.24171826
12382,42.214798,0.48072085,0.25650406,9.62607,2.3638556,0.05892299,263.0,0.24059638
12379,42.3672,0.48585156,0.25785303,9.460263,2.362092,0.058885414,263.5,0.2510083
12376,42.5196,0.48469204,0.24158716,9.346082,2.2953193,0.059169956,265.5,0.25588632
12373,42.672,0.4895356,0.22469974,9.255807,2.2247236,0.06003989,263.5,0.2460059
12370,42.824398,0.49841356,0.21884382,9.19333,2.1862845,0.061328433,255.5,0.23840234
12367,42.9768,0.51638645,0.22880661,9.1492195,2.1926067,0.061741337,266.5,0.23058291
12364,43.1292,0.5265977,0.23419416,9.12627,2.1961315,0.061398063,268.5,0.23427677
12361,43.2816,0.53666025,0.23918176,9.134379,2.1982315,0.061399363,265.5,0.22470812
12358,43.434,0.5488204,0.24850345,9.150033,2.2063181,0.061685834,267.5,0.21830843
12355,43.5864,0.5588643,0.25915122,9.193741,2.2167845,0.06254093,265.0,0.2103874
12352,43.7388,0.55875444,0.26116967,9.229549,2.2178242,0.06425996,268.5,0.21146962
12349,43.8912,0.5503194,0.2554735,9.262659,2.2075036,0.06389447,260.5,0.22241859
12346,44.0436,0.5458633,0.2536937,9.272508,2.2066548,0.06272004,270.0,0.21603587
12343,44.196,0.5514193,0.26082802,9.282646,2.2245584,0.06141502,268.5,0.21337083
12340,44.3484,0.55772793,0.27003515,9.318585,2.2501345,0.06146959,266.0,0.22871315
12337,44.5008,0.5656398,0.2840501,9.395115,2.284015,0.060763117,267.0,0.22952695
12334,44.6532,0.5686417,0.2953546,9.490378,2.3136928,0.060228776,268.5,0.23248439
12331,44.8056,0.56756485,0.30015445,9.585241,2.3330648,0.05974708,264.5,0.2160123
12328,44.958,0.5574796,0.29479456,9.669862,2.3359032,0.059267566,260.5,0.23007786
12325,45.1104,0.5396695,0.28389263,9.766656,2.328089,0.05849794,266.5,0.2386268
12322,45.2628,0.5192025,0.27398014,9.86784,2.3227992,0.05648219,266.0,0.24633884
12319,45.4152,0.49724305,0.26253343,9.9492035,2.311604,0.055872604,263.0,0.24356486
12316,45.5676,0.479042,0.25356412,9.991021,2.2993987,0.05519861,267.0,0.24192044
12313,45.72,0.46717274,0.24768376,10.0,2.2891588,0.056206767,263.5,0.24584974
12310,45.8724,0.45592296,0.24154949,10.0,2.2795522,0.05586072,258.0,0.2502092
12307,46.0248,0.4451014,0.2332735,10.0,2.272532,0.05518215,266.5,0.23991302
12304,46.1772,0.43382758,0.22454834,10.0,2.2656436,0.055187583,266.0,0.23794091
12301,46.3296,0.4279598,0.21967387,10.0,2.263267,0.05542995,264.5,0.25053096
12298,46.482,0.42385918,0.21765304,10.0,2.257623,0.0553882,267.5,0.25786
12295,46.6344,0.4225912,0.21692252,10.0,2.2474115,0.054212455,268.0,0.25434792
12292,46.7868,0.42638886,0.21870947,10.0,2.2424774,0.055023506,269.0,0.23658912
12289,46.939198,0.43552575,0.22234297,10.0,2.2452316,0.055290725,264.5,0.24331582
12286,47.0916,0.44918,0.22888994,10.0,2.259984,0.05544228,268.5,0.23770584
12283,47.244,0.45833656,0.2328341,10.0,2.269646,0.05603246,264.0,0.24786338
12280,47.3964,0.46143833,0.23275304,10.0,2.2707605,0.056447204,268.0,0.21325555
12277,47.548798,0.4592444,0.22862864,10.0,2.2611957,0.059370924,264.5,0.204882
12274,47.7012,0.45683467,0.22389889,10.0,2.2506151,0.06053309,269.5,0.20094763
12271,47.8536,0.45997322,0.22443604,9.999574,2.2510715,0.060486637,270.5,0.22868225
12268,48.006,0.46498898,0.22848248,9.998642,2.2562745,0.058406662,267.0,0.23907235
12265,48.158398,0.47050795,0.23619032,9.998642,2.2603707,0.057327114,259.0,0.24626671
12262,48.3108,0.47518137,0.24196124,9.999068,2.2574182,0.057539064,269.0,0.24402386
12259,48.4632,0.47885847,0.24447489,10.0,2.251515,0.057181995,270.5,0.23719025
12256,48.6156,0.48305976,0.24608612,10.0,2.2538629,0.05731017,262.0,0.2427291
12253,48.767998,0.48704678,0.24856019,10.0,2.2642324,0.05837216,259.0,0.23862454
12250,48.9204,0.49094677,0.25423694,10.0,2.2809331,0.058864746,267.5,0.23588744
12247,49.0728,0.4934482,0.25831962,10.0,2.2927222,0.05903958,266.5,0.23530613
12244,49.2252,0.48937926,0.2552092,10.0,2.2878246,0.05751025,261.0,0.23858881
12241,49.377598,0.4845028,0.24677777,10.0,2.2754328,0.057581764,271.5,0.24445842
12238,49.53,0.48108304,0.23737574,10.0,2.260519,0.057144426,269.5,0.24687427
12235,49.6824,0.4825594,0.23352003,10.0,2.2546732,0.0570722,272.5,0.24618231
12232,49.8348,0.48752058,0.23521972,10.0,2.254597,0.05689124,272.5,0.22976647
12229,49.987198,0.49310172,0.23852825,10.0,2.2626767,0.057908338,269.5,0.23705822
12226,50.1396,0.4975518,0.24049354,9.996609,2.2694116,0.05795361,272.5,0.2332002
12223,50.292,0.50243497,0.24328637,9.988931,2.2747,0.05846219,270.5,0.23828386
12220,50.4444,0.50334084,0.24220371,9.987585,2.2663822,0.05916589,277.5,0.24168362
12217,50.596798,0.50581896,0.24507785,9.981457,2.264406,0.059051003,269.0,0.24822578
12214,50.7492,0.5157337,0.2559154,9.963466,2.2829106,0.057860065,272.5,0.24787328
12211,50.9016,0.5347939,0.27632046,9.91963,2.3217964,0.05718182,267.5,0.24786581
12208,51.054,0.5539393,0.2936406,9.871784,2.3564918,0.057488285,272.5,0.25044504
12205,51.206398,0.56130207,0.29964352,9.842487,2.3676176,0.05741942,273.5,0.24654523
12202,51.3588,0.5628591,0.30061436,9.8539715,2.366885,0.057850976,267.0,0.24572662
12199,51.5112,0.56163746,0.30084252,9.89143,2.3638155,0.05776531,272.0,0.24867523
12196,51.6636,0.55770046,0.29873276,9.934467,2.3590274,0.057880647,270.0,0.24877557
12193,51.815998,0.5502465,0.29226017,9.968163,2.3511722,0.058079254,269.0,0.23360121
12190,51.9684,0.54564095,0.2895155,9.988071,2.3513017,0.05832042,266.5,0.23353966
12187,52.1208,0.53714895,0.27952862,10.0,2.3413298,0.057930514,265.5,0.21969302
12184,52.2732,0.5288042,0.26989365,10.0,2.3271441,0.05701366,271.5,0.22705095
12181,52.4256,0.5087258,0.2470591,10.0,2.2872825,0.05673051,271.5,0.21438669
12178,52.578,0.49856478,0.23538685,10.0,2.2610211,0.05708129,273.5,0.22977959
12175,52.7304,0.49709484,0.23443627,10.0,2.2512648,0.05714408,270.5,0.231614
12172,52.8828,0.5039986,0.24245787,10.0,2.2598672,0.05669785,272.0,0.24554269
12169,53.0352,0.5053761,0.24505949,10.0,2.2652318,0.056532476,271.5,0.25064734
12166,53.1876,0.5022223,0.24127889,9.999287,2.264441,0.056889612,274.0,0.24815388
12163,53.34,0.5069068,0.24564552,9.993092,2.2740138,0.056865312,272.0,0.25757563
12160,53.4924,0.5137271,0.25271344,9.980076,2.286631,0.056755316,267.5,0.24822134
12157,53.6448,0.51932824,0.25856924,9.9415655,2.2999053,0.055762086,272.0,0.25215253
12154,53.7972,0.5146894,0.2534213,9.904812,2.2930887,0.055650614,269.0,0.23131329
12151,53.9496,0.50227404,0.24103141,9.885449,2.2670295,0.055457693,277.0,0.23704876
12148,54.102,0.4927057,0.23061657,9.889201,2.2407508,0.056436066,268.0,0.24296077
12145,54.2544,0.4894086,0.22639537,9.895325,2.2284753,0.056961898,270.0,0.24623114
12142,54.4068,0.50045854,0.23671246,9.890707,2.2473977,0.057822205,268.5,0.24768794
12139,54.5592,0.51791453,0.25376368,9.893024,2.2805684,0.05775997,275.0,0.23824874
12136,54.711597,0.53831434,0.27281404,9.8856535,2.3216999,0.056805678,269.0,0.2392634
12133,54.864,0.5517547,0.28574085,9.891361,2.3522925,0.05677206,267.0,0.24181312
12130,55.0164,0.55031747,0.2881732,9.921173,2.3653083,0.05765963,265.5,0.22932819
12127,55.1688,0.53336227,0.28305268,9.965369,2.3681796,0.058701612,265.0,0.23187624
12124,55.321198,0.5112408,0.27821016,9.9966545,2.388756,0.058590658,273.5,0.24147774
12121,55.4736,0.48945564,0.2746086,10.0,2.4206784,0.057532977,271.0,0.25729108
12118,55.626,0.48006785,0.27393675,10.0,2.4457376,0.056856,264.0,0.25447676
12115,55.7784,0.47236824,0.26426482,10.0,2.4166749,0.05641801,274.0,0.24750115
12112,55.930798,0.47156695,0.2530992,10.0,2.3588176,0.05597598,273.0,0.25186536
12109,56.0832,0.47327703,0.24376082,10.0,2.3071256,0.056079376,279.5,0.253405
12106,56.2356,0.47480667,0.23677301,9.99835,2.2824733,0.05618307,263.5,0.26238355
12103,56.388,0.47023508,0.22798204,9.982679,2.2693076,0.05643485,275.0,0.25042892
12100,56.540398,0.46088585,0.21857643,9.956568,2.25604,0.056583457,272.0,0.25460634
12097,56.6928,0.45763603,0.21754885,9.928195,2.2520466,0.05682972,270.5,0.2506866
12094,56.8452,0.45808616,0.22086,9.91657,2.2521126,0.05628965,269.5,0.24863672
12091,56.9976,0.4592719,0.22385836,9.900289,2.248051,0.05652019,268.5,0.24627317
12088,57.149998,0.4621454,0.22151637,9.881345,2.234235,0.057191167,273.5,0.23689575
12085,57.3024,0.47141117,0.22052884,9.826385,2.2232108,0.058352455,269.5,0.24453817
12082,57.4548,0.48418787,0.22069275,9.757877,2.2152445,0.058850642,273.0,0.23507302
12079,57.6072,0.49381986,0.22125626,9.686438,2.2091005,0.059358496,267.5,0.24488519
12076,57.759598,0.4971026,0.21847355,9.628674,2.1993449,0.05838937,271.0,0.24174392
12073,57.912,0.4976761,0.21533096,9.598042,2.1891947,0.05781958,266.5,0.24932474
12070,58.0644,0.50104564,0.21634543,9.590717,2.1852362,0.057725113,269.0,0.24155451
12067,58.2168,0.5009202,0.2145009,9.612038,2.1775677,0.058487184,268.0,0.24173984
12064,58.369198,0.49993917,0.21410394,9.626826,2.1776707,0.059617575,262.5,0.24491939
12061,58.5216,0.49484095,0.21359491,9.624052,2.183092,0.059223615,275.0,0.24436149
12058,58.674,0.49669445,0.223135,9.630825,2.2030914,0.058788124,272.5,0.24862124
12055,58.8264,0.5024714,0.23402882,9.650278,2.2251248,0.05801776,268.5,0.2567437
12052,58.978798,0.5148826,0.24660254,9.671078,2.2516491,0.05787477,271.0,0.2510871
12049,59.1312,0.530206,0.25871038,9.666686,2.28328,0.057669055,271.0,0.25808454
12046,59.2836,0.5428097,0.27045655,9.681854,2.3135939,0.05709095,272.5,0.24793348
12043,59.436,0.5483953,0.27762866,9.706327,2.3368847,0.056773182,271.5,0.25909057
12040,59.588398,0.5423204,0.2730584,9.735301,2.3387146,0.057511058,270.0,0.2448427
12037,59.7408,0.531202,0.26345015,9.731045,2.331459,0.05871889,271.5,0.25155997
12034,59.8932,0.51768804,0.25231314,9.727884,2.3166344,0.058391336,267.5,0.24881363
12031,60.0456,0.5002603,0.23983526,9.713438,2.2990346,0.056860957,273.5,0.26123524
12028,60.197998,0.48464665,0.2277782,9.696982,2.2774262,0.056408383,268.5,0.26421887
12025,60.3504,0.48064014,0.22500825,9.674929,2.2607927,0.056740087,268.0,0.25745943
12022,60.5028,0.48903725,0.22979641,9.64643,2.250823,0.056826334,268.0,0.25494635
12019,60.6552,0.5012758,0.23486233,9.621769,2.245696,0.057196442,274.0,0.24535364
12016,60.8076,0.5017921,0.22926569,9.596044,2.2345583,0.05764982,267.0,0.24914312
12013,60.96,0.5000024,0.22465706,9.595592,2.2307756,0.059453756,269.0,0.24057966
12010,61.1124,0.4991941,0.2246592,9.599661,2.23555,0.059412427,265.0,0.24314937
12007,61.2648,0.49604505,0.22317386,9.592927,2.236335,0.059723936,263.0,0.23791134
12004,61.4172,0.490945,0.21917343,9.586191,2.2298796,0.058699366,270.5,0.23325823
12001,61.5696,0.48626244,0.21306396,9.580242,2.2192786,0.059543964,272.0,0.2391144
11998,61.722,0.48496306,0.20915675,9.591977,2.210734,0.059788145,267.5,0.23040928
11995,61.8744,0.4902072,0.21143734,9.60732,2.2082868,0.05918088,267.0,0.23731737
11992,62.0268,0.49495268,0.21301639,9.620346,2.205162,0.058617122,272.0,0.23723663
11989,62.1792,0.4986407,0.21326745,9.616839,2.205847,0.05756877,274.0,0.24096178
11986,62.3316,0.4955304,0.21123886,9.609617,2.205836,0.059059665,268.5,0.25197482
11983,62.483997,0.49873796,0.21801758,9.634405,2.2150261,0.058635496,273.5,0.23983625
11980,62.6364,0.5093739,0.23166311,9.674761,2.2311196,0.059208017,272.0,0.2445054
11977,62.7888,0.52284503,0.2423675,9.727034,2.2451982,0.058693647,267.0,0.24188381
11974,62.9412,0.5255584,0.24323082,9.770114,2.2473707,0.05888532,270.5,0.25101823
11971,63.093597,0.52056664,0.24192595,9.831336,2.2430096,0.05827041,272.5,0.24392316
11968,63.246,0.51324636,0.24052358,9.890699,2.2386777,0.05765152,265.0,0.23561248
11965,63.3984,0.5039967,0.23686874,9.9097595,2.2298756,0.057247818,269.5,0.23771776
11962,63.5508,0.49905914,0.23396325,9.901104,2.2217927,0.05725802,269.0,0.24079657
11959,63.703197,0.4994786,0.23328614,9.872836,2.218212,0.05738972,274.0,0.2560357
11956,63.8556,0.5004901,0.22916687,9.851734,2.2144501,0.05772974,263.5,0.24987364
11953,64.007996,0.5011536,0.22049594,9.839418,2.211323,0.057993528,269.0,0.25267527
11950,64.1604,0.49307334,0.20793831,9.822605,2.2009637,0.057941206,266.5,0.25334495
11947,64.3128,0.48806238,0.2022816,9.837657,2.195274,0.05749852,268.5,0.25397077
11944,64.4652,0.4859226,0.20080209,9.85318,2.1922452,0.057658914,262.5,0.25265145
11941,64.6176,0.48999983,0.2033341,9.884194,2.1924284,0.05693808,272.0,0.24593054
11938,64.77,0.49890724,0.21284914,9.903952,2.2002368,0.056983966,268.0,0.24451195
11935,64.9224,0.4957768,0.21938956,9.932432,2.198227,0.057168268,270.0,0.24988547
11932,65.0748,0.49241835,0.22630167,9.964218,2.199279,0.057827882,269.5,0.24398725
11929,65.227196,0.48646796,0.22642767,9.989932,2.1982691,0.05761891,274.0,0.24708904
11926,65.3796,0.48788098,0.22500026,9.996623,2.2036705,0.05753657,269.0,0.22631875
11923,65.532,0.48612493,0.2213924,9.968152,2.205981,0.05728376,270.5,0.23354654
11920,65.6844,0.4795787,0.21795774,9.938945,2.202894,0.057352044,270.5,0.2377808
11917,65.8368,0.47113493,0.2189045,9.912749,2.204403,0.056917965,270.0,0.2530434
11914,65.9892,0.46149525,0.2189157,9.915586,2.208079,0.056732345,273.5,0.25993222
11911,66.1416,0.45202276,0.21635401,9.931698,2.2135012,0.056848515,267.5,0.2441734
11908,66.294,0.44273227,0.21340942,9.958574,2.217881,0.057385206,271.0,0.24734458
11905,66.446396,0.42705765,0.20867181,9.984207,2.21534,0.056891587,259.5,0.24479672
11902,66.5988,0.41596407,0.20949578,9.997303,2.222371,0.05582018,264.5,0.2555286
11899,66.7512,0.40769067,0.21217823,10.0,2.2315645,0.055251565,269.5,0.24628751
11896,66.9036,0.40141377,0.21410894,10.0,2.2386343,0.054379113,264.5,0.24072574
11893,67.056,0.3900358,0.21105027,10.0,2.2363489,0.054266434,266.5,0.25065202
11890,67.2084,0.3838743,0.2112341,10.0,2.2450047,0.053301044,264.0,0.25508094
11887,67.3608,0.3762469,0.21024466,10.0,2.2526386,0.05323909,261.0,0.26263872
11884,67.5132,0.36333725,0.20686507,10.0,2.2574255,0.05259956,261.0,0.25212672
11881,67.665596,0.3537342,0.21118045,10.0,2.2917457,0.052584797,266.5,0.25593778
11878,67.818,0.35254702,0.22470593,10.0,2.362334,0.052936397,264.5,0.2653484
11875,67.9704,0.35650235,0.23748755,10.0,2.4312737,0.05178798,263.0,0.2625587
11872,68.1228,0.3430296,0.22353435,10.0,2.417865,0.051822253,274.0,0.27425107
11869,68.2752,0.32045493,0.1932466,10.0,2.3414516,0.05070303,262.0,0.2635192
11866,68.4276,0.30979162,0.17310905,10.0,2.2779815,0.05081237,269.5,0.25904748
11863,68.58,0.31220904,0.16858864,10.0,2.2529058,0.050188314,263.5,0.25108922
11860,68.7324,0.32751316,0.17505932,10.0,2.2553108,0.05087828,273.5,0.25534138
11857,68.884796,0.34439173,0.1775508,10.0,2.2495162,0.052221183,260.5,0.25116208
11854,69.0372,0.367607,0.18315506,10.0,2.2470422,0.052682012,266.0,0.24376883
11851,69.1896,0.39411914,0.19363976,9.989641,2.2502244,0.054583814,275.25,0.2434026
11848,69.342,0.41639602,0.20466709,9.948071,2.248228,0.055188715,267.75,0.23616333
11845,69.4944,0.42910016,0.20916128,9.88347,2.2302754,0.056726053,259.5,0.23679863
11842,69.6468,0.440836,0.2125516,9.807469,2.213098,0.05700132,273.25,0.24042523
11839,69.7992,0.44588715,0.21176803,9.746254,2.1960213,0.057516858,266.25,0.24293588
11836,69.9516,0.44677442,0.20982623,9.691834,2.18835,0.057707716,265.75,0.23617041
11833,70.104,0.44300258,0.2075268,9.647656,2.187793,0.057060406,269.25,0.21162403
11830,70.2564,0.44087252,0.20868146,9.608558,2.1944425,0.057503816,262.5,0.22221792
11827,70.4088,0.4385761,0.20928407,9.571067,2.1955433,0.05862747,260.75,0.22181134
11824,70.561195,0.434215,0.20630157,9.530918,2.1855707,0.059724614,261.75,0.22875845
11821,70.7136,0.43267003,0.20274758,9.468563,2.174568,0.05878397,269.25,0.22211272
