FRAMENO,TDEP,AHTCO90,AHF30,TIME,AHF90
98,26133.0,1006.45386,0.91582954,250.125,0.9955457
99,26130.0,1047.568,0.8993118,250.125,0.9726871
100,26127.0,1062.1299,0.8863418,248.625,0.95407844
101,26124.0,1077.4066,0.8772427,248.625,0.94015974
102,26121.0,1082.1044,0.87254125,258.75,0.931199
103,26118.0,1096.8191,0.87258327,258.75,0.92720515
104,26115.0,1110.2842,0.8770468,249.0,0.9279378
105,26112.0,1139.392,0.88677895,249.0,0.9330378
106,26109.0,1150.1768,0.9022645,253.625,0.94253135
107,26106.0,1130.3762,0.9232555,253.625,0.95691866
108,26103.0,1096.7781,0.94925946,245.875,0.97852975
109,26100.0,1056.3263,0.97320354,245.875,1.0054997
110,26097.0,1005.42053,0.99871045,252.5,1.0276976
111,26094.0,958.0092,1.0274614,252.5,1.0545783
112,26091.0,902.02356,1.0536288,251.0,1.0780336
113,26088.0,859.5635,1.0736645,251.0,1.095382
114,26085.0,853.70056,1.0846822,254.0,1.1046549
115,26082.0,871.78784,1.0814435,254.0,1.1049651
116,26079.0,909.27,1.0656933,249.25,1.0966307
117,26076.0,964.9263,1.0429938,249.25,1.0811458
118,26073.0,997.16296,1.016929,256.0,1.0611916
119,26070.0,1013.45276,0.99085623,256.0,1.0400736
120,26067.0,1036.1257,0.98039365,250.75,1.0326867
121,26064.0,1054.2717,0.96408737,250.75,1.0196521
122,26061.0,1067.4197,0.949308,255.0,1.0078778
123,26058.0,1071.2521,0.9381189,255.0,1.000088
124,26055.0,1055.0759,0.9295022,247.5,0.9951822
125,26052.0,1018.46576,0.9229044,247.5,0.99266016
126,26049.0,986.04486,0.91865355,246.25,0.99272656
127,26046.0,957.9424,0.9199826,246.25,0.9978453
128,26043.0,942.4882,0.9140807,241.25,0.9957971
129,26040.0,940.73895,0.9100791,241.25,0.99520683
130,26037.0,935.92957,0.90599215,250.125,0.99432105
131,26034.0,945.25977,0.9011351,250.125,0.99236274
132,26031.0,950.2,0.8941334,244.125,0.9878118
133,26028.0,928.75055,0.88502437,244.125,0.9805348
134,26025.0,925.53564,0.8754081,256.375,0.9723448
135,26022.0,910.62177,0.8651851,256.375,0.9627546
136,26019.0,897.42847,0.85363364,251.375,0.9500382
137,26016.0,918.50507,0.83446544,251.375,0.9318998
138,26013.0,943.4248,0.8124262,252.0,0.90877724
139,26010.0,989.7064,0.7931729,252.0,0.8831868
140,26007.0,1061.8373,0.7769654,249.75,0.85950404
141,26004.0,1124.0605,0.75857395,249.75,0.83514637
142,26001.0,1206.6279,0.74294156,249.625,0.8142325
143,25998.0,1338.7081,0.73170394,249.625,0.7975708
144,25995.0,1373.1971,0.7246351,252.875,0.7851324
145,25992.0,1376.4817,0.72123516,252.875,0.77661973
146,25989.0,1349.5334,0.7211253,261.375,0.77178437
147,25986.0,1308.2592,0.7274454,261.375,0.77057225
148,25983.0,1226.2112,0.73955256,244.875,0.77310294
149,25980.0,1237.063,0.7543259,244.875,0.77948725
150,25977.0,1272.0708,0.77142423,251.0,0.7896781
151,25974.0,1283.9635,0.7911129,251.0,0.8032994
152,25971.0,1370.2368,0.81429994,250.375,0.82022125
153,25968.0,1453.0834,0.8423797,250.375,0.8413555
154,25965.0,1351.34,0.8769231,254.125,0.86837083
155,25962.0,1248.444,0.91901505,254.125,0.9040056
156,25959.0,1207.9425,0.9634112,247.75,0.9488631
157,25956.0,1096.3933,1.0165454,247.75,0.9945901
158,25953.0,1066.0475,1.0782229,249.25,1.048645
159,25950.0,990.5506,1.1404204,249.25,1.1033411
160,25947.0,899.3463,1.1981368,254.25,1.1537102
161,25944.0,806.2167,1.2444152,254.25,1.194376
162,25941.0,743.54803,1.2689048,252.25,1.2199438
163,25938.0,768.5764,1.2633533,252.25,1.2258475
164,25935.0,824.81104,1.2346547,252.0,1.2103631
