TDEP,BS,RT,GR,NPHI,DCAL,DT
720.852,8.5,16.035276,129.73312,0.69164497,-5.6995125,99.89807
720.6996,8.5,1.6031911,129.73312,0.69164497,-5.6995125,99.89807
720.5472,8.5,1.6019325,129.73312,0.69164497,-5.6995125,99.89807
720.3948,8.5,1.5997698,129.73312,0.69164497,-5.6995125,99.89807
720.2424,8.5,1.5948687,129.73312,0.69164497,-5.6995125,100.353745
720.08997,8.5,1.5877706,129.73312,0.69164497,-5.6995125,100.353745
719.93756,8.5,1.5811173,129.73312,0.69164497,-5.6995125,99.729256
719.7852,8.5,1.5734385,129.73312,0.69164497,-5.6995125,99.729256
719.6328,8.5,1.573278,129.73312,0.69164497,-5.6995125,99.729256
719.4804,8.5,1.5821538,129.73312,0.69164497,-5.6995125,99.729256
719.328,8.5,1.6027427,129.73312,0.69164497,-5.6995125,99.729256
719.1756,8.5,1.6354452,129.73312,0.69164497,-5.6995125,99.729256
719.0232,8.5,1.6650677,129.73312,0.69164497,-5.6995125,99.729256
718.8708,8.5,1.7010641,129.73312,0.69164497,-5.6995125,99.729256
718.7184,8.5,1.7426972,129.73312,0.69164497,-5.6995125,99.729256
718.566,8.5,1.760583,129.73312,0.69164497,-5.6995125,99.729256
718.4136,8.5,1.6907727,129.73312,0.69164497,-5.6995125,99.729256
718.26117,8.5,1.6579655,129.73312,0.69164497,-5.6995125,99.729256
718.10876,8.5,1.6458025,129.73312,0.69164497,-5.6995125,99.729256
717.9564,8.5,1.6443697,129.73312,0.69164497,-5.6995125,99.729256
717.804,8.5,1.6811261,129.73312,0.69164497,-5.6995125,99.729256
717.6516,8.5,1.6718296,129.73312,0.69164497,-5.6995125,99.729256
717.4992,8.5,1.6766949,129.73312,0.69164497,-5.6995125,99.729256
717.3468,8.5,1.6907899,129.73312,0.69164497,-5.6995125,99.729256
717.1944,8.5,1.6943337,129.73312,0.69164497,-5.6995125,99.729256
717.042,8.5,1.6749091,129.73312,0.69164497,-5.6995125,99.729256
716.8896,8.5,1.6624913,129.73312,0.69164497,-5.6995125,99.729256
716.7372,8.5,1.6915635,129.73312,0.69164497,-5.6995125,99.729256
716.5848,8.5,1.716739,129.73312,0.69164497,-5.6995125,99.729256
716.4324,8.5,1.7075719,129.73312,0.69164497,-5.6995125,99.729256
716.27997,8.5,1.6848748,129.73312,0.69164497,-5.6995125,99.729256
716.12756,8.5,1.7139258,129.73312,0.69164497,-5.6995125,99.729256
715.9752,8.5,1.7204173,129.73312,0.69164497,-5.6995125,99.729256
715.8228,8.5,1.7350874,129.73312,0.69164497,-5.6995125,99.729256
715.6704,8.5,1.7193944,129.73312,0.69164497,-5.6995125,99.729256
715.518,8.5,1.7319993,129.73312,0.69164497,-5.6995125,99.729256
715.3656,8.5,1.7608063,129.73312,0.69164497,-5.6995125,99.729256
715.2132,8.5,1.7638359,129.73312,0.69164497,-5.6995125,99.729256
715.0608,8.5,1.768221,129.73312,0.69164497,-5.6995125,99.729256
714.9084,8.5,1.7961255,129.73312,0.69164497,-5.6995125,99.729256
714.756,8.5,1.8152316,129.73312,0.69164497,-5.6995125,99.73247
714.6036,8.5,1.8052413,129.73312,0.69164497,-5.6995125,99.73204
714.4512,8.5,1.8141518,129.73312,0.69164497,-5.6995125,99.725044
714.29877,8.5,1.821487,129.73312,0.69164497,-5.6995125,99.71832
714.14636,8.5,1.8106331,129.73312,0.69164497,-5.6995125,99.7432
713.994,8.5,1.7863091,129.73312,0.69164497,-5.6995125,99.62565
713.8416,8.5,1.7694002,129.73312,0.69164497,-5.6995125,99.576805
713.6892,8.5,1.7398913,129.73312,0.69164497,-5.6995125,99.06507
713.5368,8.5,1.7242866,129.73312,0.69164497,-5.6995125,98.83193
713.3844,8.5,1.7033855,129.73312,0.69164497,-5.6995125,99.35735
713.232,8.5,1.6739632,129.73312,0.69164497,-5.6995125,99.46998
713.0796,8.5,1.7424355,129.73312,0.69164497,-5.6995125,98.196945
712.9272,8.5,1.7865252,129.73312,0.69164497,-5.6995125,98.23941
712.7748,8.5,1.6969377,129.73312,0.69164497,-5.6995125,95.99435
712.6224,8.5,1.6921856,129.73312,0.69164497,-5.6995125,98.79986
712.47,8.5,1.6471982,129.73312,0.69164497,-5.6995125,101.12116
712.31757,8.5,1.5620638,129.73312,0.69164497,-5.6995125,101.610344
712.16516,8.5,1.6621714,129.73312,0.69164497,-5.6995125,104.26861
712.0128,8.5,1.6975791,129.73312,0.69164497,-5.6995125,101.32607
711.8604,8.5,1.6705136,129.73312,0.69164497,-5.6995125,100.51084
711.708,8.5,1.6953855,129.73312,0.69164497,-5.6995125,101.26102
711.5556,8.5,1.726148,129.73312,0.69164497,-5.6995125,100.3309
