TDEP,HCAL
720.852,2.8004878
720.8266,2.8004878
720.8012,2.8004878
720.7758,2.8004878
720.75037,2.8004878
720.725,2.8004878
720.6996,2.8004878
720.6742,2.8004878
720.6488,2.8004878
720.6234,2.8004878
720.59796,2.8004878
720.5726,2.8004878
720.5472,2.8004878
720.5218,2.8004878
720.4964,2.8004878
720.471,2.8004878
720.4456,2.8004878
720.42017,2.8004878
720.3948,2.8004878
720.3694,2.8004878
720.344,2.8004878
720.3186,2.8004878
720.2932,2.8004878
720.26776,2.8004878
720.2424,2.8004878
720.217,2.8004878
720.1916,2.8004878
720.1662,2.8004878
720.1408,2.8004878
720.1154,2.8004878
720.08997,2.8004878
720.0646,2.8004878
720.0392,2.8004878
720.0138,2.8004878
719.9884,2.8004878
719.963,2.8004878
719.93756,2.8004878
719.9122,2.8004878
719.8868,2.8004878
719.8614,2.8004878
719.836,2.8004878
719.8106,2.8004878
719.7852,2.8004878
719.75977,2.8004878
719.7344,2.8004878
719.709,2.8004878
719.6836,2.8004878
719.6582,2.8004878
719.6328,2.8004878
719.60736,2.8004878
719.582,2.8004878
719.5566,2.8004878
719.5312,2.8004878
719.5058,2.8004878
719.4804,2.8004878
719.455,2.8004878
719.42957,2.8004878
719.4042,2.8004878
719.3788,2.8004878
719.3534,2.8004878
719.328,2.8004878
719.3026,2.8004878
719.2772,2.8004878
719.2518,2.8004878
719.2264,2.8004878
719.201,2.8004878
719.1756,2.8004878
719.1502,2.8004878
719.1248,2.8004878
719.09937,2.8004878
719.074,2.8004878
719.0486,2.8004878
719.0232,2.8004878
718.9978,2.8004878
718.9724,2.8004878
718.947,2.8004878
718.9216,2.8004878
718.8962,2.8004878
718.8708,2.8004878
718.8454,2.8004878
718.82,2.8004878
718.7946,2.8004878
718.76917,2.8004878
718.7438,2.8004878
718.7184,2.8004878
718.693,2.8004878
718.6676,2.8004878
718.6422,2.8004878
718.6168,2.8004878
718.5914,2.8004878
718.566,2.8004878
718.5406,2.8004878
718.5152,2.8004878
718.4898,2.8004878
718.4644,2.8004878
718.43896,2.8004878
718.4136,2.8004878
718.3882,2.8004878
718.3628,2.8004878
718.3374,2.8004878
718.312,2.8004878
718.2866,2.8004878
718.26117,2.8004878
718.2358,2.8004878
718.2104,2.8004878
718.185,2.8004878
718.1596,2.8004878
718.1342,2.8004878
718.10876,2.8004878
718.0834,2.8004878
718.058,2.8004878
718.0326,2.8004878
718.0072,2.8004878
717.9818,2.8004878
717.9564,2.8004878
717.93097,2.8004878
717.9056,2.8004878
717.8802,2.8004878
717.8548,2.8004878
717.8294,2.8004878
717.804,2.8004878
717.77856,2.8004878
717.7532,2.8004878
717.7278,2.8004878
717.7024,2.8004878
717.677,2.8004878
717.6516,2.8004878
717.6262,2.8004878
717.60077,2.8004878
717.5754,2.8004878
717.55,2.8004878
717.5246,2.8004878
717.4992,2.8004878
717.4738,2.8004878
717.44836,2.8004878
717.423,2.8004878
717.3976,2.8004878
717.3722,2.8004878
717.3468,2.8004878
717.3214,2.8004878
717.296,2.8004878
717.27057,2.8004878
717.2452,2.8004878
717.2198,2.8004878
717.1944,2.8004878
717.169,2.8004878
717.1436,2.8004878
717.11816,2.8004878
717.0928,2.8004878
717.0674,2.8004878
717.042,2.8004878
717.0166,2.8004878
716.9912,2.8004878
716.9658,2.8004878
716.94037,2.8004878
716.915,2.8004878
716.8896,2.8004878
716.8642,2.8004878
716.8388,2.8004878
716.8134,2.8004878
716.78796,2.8004878
716.7626,2.8004878
716.7372,2.8004878
716.7118,2.8004878
716.6864,2.8004878
716.661,2.8004878
716.6356,2.8004878
716.61017,2.8004878
716.5848,2.8004878
716.5594,2.8004878
716.534,2.8004878
716.5086,2.8004878
716.4832,2.8004878
716.45776,2.8004878
716.4324,2.8004878
716.407,2.8004878
716.3816,2.8004878
716.3562,2.8004878
716.3308,2.8004878
716.3054,2.8004878
716.27997,2.8004878
716.2546,2.8004878
716.2292,2.8004878
716.2038,2.8004878
716.1784,2.8004878
716.153,2.8004878
716.12756,2.8004878
716.1022,2.8004878
716.0768,2.8004878
716.0514,2.8004878
716.026,2.8004878
716.0006,2.8004878
715.9752,2.8004878
715.94977,2.8004878
715.9244,2.8004878
715.899,2.8004878
715.8736,2.8004878
715.8482,2.8004878
715.8228,2.8004878
715.79736,2.8004878
715.772,2.8004878
715.7466,2.8004878
715.7212,2.8004878
715.6958,2.8004878
715.6704,2.8004878
715.645,2.8004878
715.61957,2.8004878
715.5942,2.8004878
715.5688,2.8004878
715.5434,2.8004878
715.518,2.8004878
715.4926,2.8004878
715.46716,2.8004878
715.4418,2.8004878
715.4164,2.8004878
715.391,2.8004878
715.3656,2.8004878
715.3402,2.8004878
715.3148,2.8004878
715.28937,2.8004878
715.264,2.8004878
715.2386,2.8004878
715.2132,2.8004878
715.1878,2.8004878
715.1624,2.8004878
715.13696,2.8004878
715.1116,2.8004878
715.0862,2.8004878
715.0608,2.8004878
715.0354,2.8004878
715.01,2.8004878
714.9846,2.8004878
714.95917,2.8004878
714.9338,2.8004878
714.9084,2.8004878
714.883,2.8004878
714.8576,2.8004878
714.8322,2.8004878
714.80676,2.8004878
714.7814,2.8004878
714.756,2.8004878
714.7306,2.8004878
714.7052,2.8004878
714.6798,2.8004878
714.6544,2.8004878
714.62897,2.8004878
714.6036,2.8004878
714.5782,2.8004878
714.5528,2.8004878
714.5274,2.8004878
714.502,2.8004878
714.47656,2.8004878
714.4512,2.8004878
714.4258,2.8004878
714.4004,2.8004878
714.375,2.8004878
714.3496,2.8004878
714.3242,2.8004878
714.29877,2.8004878
714.2734,2.8004878
714.248,2.8004878
714.2226,2.8004878
714.1972,2.8004878
714.1718,2.8004878
714.14636,2.8004878
714.121,2.8004878
714.0956,2.8004878
714.0702,2.8004878
714.0448,2.8004878
714.0194,2.8004878
713.994,2.8004878
713.96857,2.8004878
713.9432,2.8004878
713.9178,2.8004878
713.8924,2.8004878
713.867,2.8004878
713.8416,2.8004878
713.81616,2.8004878
713.7908,2.8004878
713.7654,2.8004878
713.74,2.8004878
713.7146,2.8004878
713.6892,2.8004878
713.6638,2.8004878
713.63837,2.8004878
713.613,2.8004878
713.5876,2.8004878
713.5622,2.8004878
713.5368,2.8004878
713.5114,2.8004878
713.48596,2.8004878
713.4606,2.8004878
713.4352,2.8004878
713.4098,2.8004878
713.3844,2.8004878
713.359,2.8004878
713.3336,2.8004878
713.30817,2.8004878
713.2828,2.8004878
713.2574,2.8004878
713.232,2.8004878
713.2066,2.8004878
713.1812,2.8004878
713.15576,2.8004878
713.1304,2.8004878
713.105,2.8004878
713.0796,2.8004878
713.0542,2.8004878
713.0288,2.8004878
713.0034,2.8004878
712.97797,2.8004878
712.9526,2.8004878
712.9272,2.8004878
712.9018,2.8004878
712.8764,2.8004878
712.851,2.8004878
712.82556,2.8004878
712.8002,2.8004878
712.7748,2.8004878
712.7494,2.8004878
712.724,2.8004878
712.6986,2.8004878
712.6732,2.8004878
712.64777,2.8004878
712.6224,2.8004878
712.597,2.8004878
712.5716,2.8004878
712.5462,2.8004878
712.5208,2.8004878
712.49536,2.8004878
712.47,2.8004878
712.4446,2.8004878
712.4192,2.8004878
712.3938,2.8004878
712.3684,2.8004878
712.343,2.8004878
712.31757,2.8004878
712.2922,2.8004878
712.2668,2.8004878
712.2414,2.8004878
712.216,2.8004878
712.1906,2.8004878
712.16516,2.8004878
712.1398,2.8004878
712.1144,2.8004878
712.089,2.8004878
712.0636,2.8004878
712.0382,2.8004878
712.0128,2.8004878
711.98737,2.8004878
711.962,2.8004878
711.9366,2.8004878
711.9112,2.8004878
711.8858,2.8004878
711.8604,2.8004878
711.83496,2.8004878
711.8096,2.8004878
711.7842,2.8004878
711.7588,2.8004878
711.7334,2.8004878
711.708,2.8004878
711.6826,2.8004878
711.65717,2.8004878
711.6318,2.8004878
711.6064,2.8004878
711.581,2.8004878
711.5556,2.8004878
711.5302,2.8004878
711.5048,2.8004878
711.4794,2.8004878
711.454,2.8004878
711.4286,2.8004878
711.4032,2.8004878
711.3778,2.8004878
711.3524,2.8004878
711.32697,2.8004878
711.3016,2.8004878
711.2762,2.8004878
711.2508,2.8004878
711.2254,2.8004878
711.2,2.8004878
711.1746,2.8004878
711.1492,2.8004878
711.1238,2.8004878
711.0984,2.8004878
711.073,2.8004878
711.0476,2.8004878
711.0222,2.8004878
710.99677,2.8004878
710.9714,2.8004878
710.946,2.8004878
710.9206,2.8004878
710.8952,2.8004878
710.8698,2.8004878
710.8444,2.8004878
710.819,2.8004878
710.7936,2.8004878
710.7682,2.8004878
710.7428,2.8004878
710.7174,2.8004878
710.692,2.8004878
710.66656,2.8004878
710.6412,2.8004878
710.6158,2.8004878
710.5904,2.8004878
710.565,2.8004878
710.5396,2.8004878
710.5142,2.8004878
710.4888,2.8004878
710.4634,2.8004878
710.438,2.8004878
710.4126,2.8004878
710.3872,2.8004878
710.3618,2.8004878
710.33636,2.8004878
710.311,2.8004878
710.2856,2.8004878
710.2602,2.8004878
710.2348,2.8004878
710.2094,2.8004878
710.184,2.8004878
710.15857,2.8004878
710.1332,2.8004878
710.1078,2.8004878
710.0824,2.8004878
710.057,2.8004878
710.0316,2.8004878
710.00616,2.8004878
709.9808,2.8004878
709.9554,2.8004878
709.93,2.8004878
709.9046,2.8004878
709.8792,2.8004878
709.8538,2.8004878
709.82837,2.8004878
709.803,2.8004878
709.7776,2.8004878
709.7522,2.8004878
709.7268,2.8004878
709.7014,2.8004878
709.67596,2.8004878
709.6506,2.8004878
709.6252,2.8004878
709.5998,2.8042924
709.5744,2.8233154
709.549,2.8050532
709.5236,2.8061948
709.49817,2.8004878
709.4728,2.8004878
709.4474,2.8233154
709.422,2.8004878
709.3966,2.8061948
709.3712,2.808097
709.34576,2.8061948
709.3204,2.8004878
709.295,2.8061948
709.2696,2.8004878
709.2442,2.8004878
709.2188,2.8119016
709.1934,2.8061948
709.16797,2.8004878
709.1426,2.8119016
709.1172,2.8004878
709.0918,2.8004878
709.0664,2.8461428
709.041,3.3369358
709.01556,4.0788317
708.9902,4.588648
708.9648,5.197383
708.9394,5.9107447
708.914,6.7268305
708.8886,7.3812213
