Poco,Channel
1AG  0005  SE,INDEX5247
1AG  0005  SE,DB1
1AG  0005  SE,DB2
1AG  0005  SE,DB3
1AG  0005  SE,DB4
1AG  0005  SE,SB1
1AG  0005  SE,INDEX5248
1AG  0005  SE,HSTA
1AG  0005  SE,REFE
1AG  0005  SE,RC
1AG  0005  SE,EMEX
1AG  0005  SE,PP
1AG  0005  SE,TEMP
1AG  0005  SE,FEP1
1AG  0005  SE,FEP2
1AG  0005  SE,RC1
1AG  0005  SE,RC2
1AG  0005  SE,P1AZ
1AG  0005  SE,DEVI
1AG  0005  SE,HAZI
1AG  0005  SE,C13
1AG  0005  SE,C24
1AG  0005  SE,FEP
1AG  0005  SE,RB
