Curva,Poco
TDEP,P_659
AHV,P_659
AHVT,P_659
ALPHA,P_659
AMPL,P_659
BHV,P_659
BHVT,P_659
BS,P_659
CALI,P_659
CS,P_659
DCAL,P_659
DDRX,P_659
DDRY,P_659
DDX,P_659
DDY,P_659
DFL,P_659
DFLF,P_659
DIAM,P_659
DLIM,P_659
DMR,P_659
DMY,P_659
DPE,P_659
DPHD,P_659
DPHI,P_659
DPHS,P_659
DQCAL,P_659
DQZER,P_659
DRCO,P_659
DRHO,P_659
DT,P_659
DT_RCV,P_659
DT_UNF,P_659
DT_XMT,P_659
DVARC,P_659
DXCO,P_659
DZB,P_659
DZM,P_659
EFDS,P_659
EGR,P_659
EGRC,P_659
ENDS,P_659
ENLI,P_659
ENPD,P_659
ENPH,P_659
ENPS,P_659
ENRA,P_659
ERROR,P_659
ETIME,P_659
FDSN,P_659
FNOISE,P_659
FSDL,P_659
GAIN_F,P_659
GAIN_N,P_659
GR,P_659
GRCO,P_659
GRU,P_659
HDCN,P_659
HDR,P_659
HDRS,P_659
HDX,P_659
HMCN,P_659
HMR,P_659
HMRS,P_659
HMX,P_659
HT24,P_659
HT30,P_659
HT40,P_659
HT60,P_659
HT90,P_659
ITT,P_659
ITTT,P_659
MINM,P_659
MMRK,P_659
MMRKT,P_659
MQCAL,P_659
MQZER,P_659
MRCO,P_659
MSGGAI,P_659
MSGRCV,P_659
MXCO,P_659
NDSN,P_659
NLIM,P_659
NNOISE,P_659
NPHD,P_659
NPHI,P_659
NPHS,P_659
NRAT,P_659
NSDL,P_659
PE,P_659
PELC,P_659
PEU,P_659
PKCODE,P_659
QDT,P_659
QL,P_659
QPE,P_659
QS,P_659
RHOB,P_659
RXRT,P_659
SDSO,P_659
SDT2,P_659
SP,P_659
SPA,P_659
SPDCOR,P_659
SPHI,P_659
STEM,P_659
STUCK,P_659
TENS,P_659
TPRES,P_659
TT1,P_659
TT11,P_659
TT12,P_659
TT2,P_659
TT21,P_659
TT22,P_659
TTEMP,P_659
VRES,P_659
XFRAC,P_659
ZB,P_659
ZM,P_659
