Curva,Poco
TDEP,P_1-BRSA-605-SE
BS,P_1-BRSA-605-SE
TENS,P_1-BRSA-605-SE
SP,P_1-BRSA-605-SE
GR,P_1-BRSA-605-SE
NPHI,P_1-BRSA-605-SE
TIME,P_1-BRSA-605-SE
IHV,P_1-BRSA-605-SE
ICV,P_1-BRSA-605-SE
DT,P_1-BRSA-605-SE
TDEP,P_1-BRSA-605-SE
TIME,P_1-BRSA-605-SE
HCAL,P_1-BRSA-605-SE
TDEP,P_1-BRSA-605-SE
AHTCO90,P_1-BRSA-605-SE
AHF30,P_1-BRSA-605-SE
TIME,P_1-BRSA-605-SE
AHF90,P_1-BRSA-605-SE
TDEP,P_1-BRSA-605-SE
DSOZ,P_1-BRSA-605-SE
HDRA,P_1-BRSA-605-SE
PEFZ,P_1-BRSA-605-SE
RHOZ,P_1-BRSA-605-SE
RXOZ,P_1-BRSA-605-SE
TIME,P_1-BRSA-605-SE
RSOZ,P_1-BRSA-605-SE
