Curva,Poco
TDEP,P_1-BRSA-659-SE
AHV,P_1-BRSA-659-SE
AHVT,P_1-BRSA-659-SE
ALPHA,P_1-BRSA-659-SE
AMPL,P_1-BRSA-659-SE
BHV,P_1-BRSA-659-SE
BHVT,P_1-BRSA-659-SE
BS,P_1-BRSA-659-SE
CALI,P_1-BRSA-659-SE
CS,P_1-BRSA-659-SE
DCAL,P_1-BRSA-659-SE
DDRX,P_1-BRSA-659-SE
DDRY,P_1-BRSA-659-SE
DDX,P_1-BRSA-659-SE
DDY,P_1-BRSA-659-SE
DFL,P_1-BRSA-659-SE
DFLF,P_1-BRSA-659-SE
DIAM,P_1-BRSA-659-SE
DLIM,P_1-BRSA-659-SE
DMR,P_1-BRSA-659-SE
DMY,P_1-BRSA-659-SE
DPE,P_1-BRSA-659-SE
DPHD,P_1-BRSA-659-SE
DPHI,P_1-BRSA-659-SE
DPHS,P_1-BRSA-659-SE
DQCAL,P_1-BRSA-659-SE
DQZER,P_1-BRSA-659-SE
DRCO,P_1-BRSA-659-SE
DRHO,P_1-BRSA-659-SE
DT,P_1-BRSA-659-SE
DT_RCV,P_1-BRSA-659-SE
DT_UNF,P_1-BRSA-659-SE
DT_XMT,P_1-BRSA-659-SE
DVARC,P_1-BRSA-659-SE
DXCO,P_1-BRSA-659-SE
DZB,P_1-BRSA-659-SE
DZM,P_1-BRSA-659-SE
EFDS,P_1-BRSA-659-SE
EGR,P_1-BRSA-659-SE
EGRC,P_1-BRSA-659-SE
ENDS,P_1-BRSA-659-SE
ENLI,P_1-BRSA-659-SE
ENPD,P_1-BRSA-659-SE
ENPH,P_1-BRSA-659-SE
ENPS,P_1-BRSA-659-SE
ENRA,P_1-BRSA-659-SE
ERROR,P_1-BRSA-659-SE
ETIME,P_1-BRSA-659-SE
FDSN,P_1-BRSA-659-SE
FNOISE,P_1-BRSA-659-SE
FSDL,P_1-BRSA-659-SE
GAIN_F,P_1-BRSA-659-SE
GAIN_N,P_1-BRSA-659-SE
GR,P_1-BRSA-659-SE
GRCO,P_1-BRSA-659-SE
GRU,P_1-BRSA-659-SE
HDCN,P_1-BRSA-659-SE
HDR,P_1-BRSA-659-SE
HDRS,P_1-BRSA-659-SE
HDX,P_1-BRSA-659-SE
HMCN,P_1-BRSA-659-SE
HMR,P_1-BRSA-659-SE
HMRS,P_1-BRSA-659-SE
HMX,P_1-BRSA-659-SE
HT24,P_1-BRSA-659-SE
HT30,P_1-BRSA-659-SE
HT40,P_1-BRSA-659-SE
HT60,P_1-BRSA-659-SE
HT90,P_1-BRSA-659-SE
ITT,P_1-BRSA-659-SE
ITTT,P_1-BRSA-659-SE
MINM,P_1-BRSA-659-SE
MMRK,P_1-BRSA-659-SE
MMRKT,P_1-BRSA-659-SE
MQCAL,P_1-BRSA-659-SE
MQZER,P_1-BRSA-659-SE
MRCO,P_1-BRSA-659-SE
MSGGAI,P_1-BRSA-659-SE
MSGRCV,P_1-BRSA-659-SE
MXCO,P_1-BRSA-659-SE
NDSN,P_1-BRSA-659-SE
NLIM,P_1-BRSA-659-SE
NNOISE,P_1-BRSA-659-SE
NPHD,P_1-BRSA-659-SE
NPHI,P_1-BRSA-659-SE
NPHS,P_1-BRSA-659-SE
NRAT,P_1-BRSA-659-SE
NSDL,P_1-BRSA-659-SE
PE,P_1-BRSA-659-SE
PELC,P_1-BRSA-659-SE
PEU,P_1-BRSA-659-SE
PKCODE,P_1-BRSA-659-SE
QDT,P_1-BRSA-659-SE
QL,P_1-BRSA-659-SE
QPE,P_1-BRSA-659-SE
QS,P_1-BRSA-659-SE
RHOB,P_1-BRSA-659-SE
RXRT,P_1-BRSA-659-SE
SDSO,P_1-BRSA-659-SE
SDT2,P_1-BRSA-659-SE
SP,P_1-BRSA-659-SE
SPA,P_1-BRSA-659-SE
SPDCOR,P_1-BRSA-659-SE
SPHI,P_1-BRSA-659-SE
STEM,P_1-BRSA-659-SE
STUCK,P_1-BRSA-659-SE
TENS,P_1-BRSA-659-SE
TPRES,P_1-BRSA-659-SE
TT1,P_1-BRSA-659-SE
TT11,P_1-BRSA-659-SE
TT12,P_1-BRSA-659-SE
TT2,P_1-BRSA-659-SE
TT21,P_1-BRSA-659-SE
TT22,P_1-BRSA-659-SE
TTEMP,P_1-BRSA-659-SE
VRES,P_1-BRSA-659-SE
XFRAC,P_1-BRSA-659-SE
ZB,P_1-BRSA-659-SE
ZM,P_1-BRSA-659-SE
