Curvas do Poco 910
TDEP
GR
MMK
TENS
WF11
HMRS
HDRS
SP
DTC
ITTT
ITT
NPHI
DRHO
PE
RHOB
BSZ
CALI
BHV
AHV
BHVT
AHVT
