Poco,Channel
1CQ  0001  SE,INDEX335
1CQ  0001  SE,CIL
1CQ  0001  SE,DLT
1CQ  0001  SE,GR
1CQ  0001  SE,RILD
1CQ  0001  SE,SP
1CQ  0001  SE,CAL
