Poco,Channel
1CSC 0001  SE,INDEX1130
1CSC 0001  SE,CALI
1CSC 0001  SE,DT
1CSC 0001  SE,GR
1CSC 0001  SE,ILD
1CSC 0001  SE,SFLU
1CSC 0001  SE,SP
1CSC 0001  SE,TENS
1CSC 0001  SE,TT1
1CSC 0001  SE,TT2
1CSC 0001  SE,TT3
1CSC 0001  SE,AMP
