Curva,Poco
TDEP,P_1-BRSA-574-SE
AHV,P_1-BRSA-574-SE
AHVT,P_1-BRSA-574-SE
ALPHA,P_1-BRSA-574-SE
AMPL,P_1-BRSA-574-SE
BHV,P_1-BRSA-574-SE
BHVT,P_1-BRSA-574-SE
BS,P_1-BRSA-574-SE
CALI,P_1-BRSA-574-SE
CS,P_1-BRSA-574-SE
DCAL,P_1-BRSA-574-SE
DDRX,P_1-BRSA-574-SE
DDRY,P_1-BRSA-574-SE
DDX,P_1-BRSA-574-SE
DDY,P_1-BRSA-574-SE
DFL,P_1-BRSA-574-SE
DFLF,P_1-BRSA-574-SE
DIAM,P_1-BRSA-574-SE
DLIM,P_1-BRSA-574-SE
DMR,P_1-BRSA-574-SE
DMY,P_1-BRSA-574-SE
DPE,P_1-BRSA-574-SE
DPHD,P_1-BRSA-574-SE
DPHI,P_1-BRSA-574-SE
DPHS,P_1-BRSA-574-SE
DQCAL,P_1-BRSA-574-SE
DQZER,P_1-BRSA-574-SE
DRCO,P_1-BRSA-574-SE
DRHO,P_1-BRSA-574-SE
DT,P_1-BRSA-574-SE
DT_RCV,P_1-BRSA-574-SE
DT_UNF,P_1-BRSA-574-SE
DT_XMT,P_1-BRSA-574-SE
DVARC,P_1-BRSA-574-SE
DXCO,P_1-BRSA-574-SE
DZB,P_1-BRSA-574-SE
DZM,P_1-BRSA-574-SE
ERROR,P_1-BRSA-574-SE
ETIME,P_1-BRSA-574-SE
FDSN,P_1-BRSA-574-SE
FNOISE,P_1-BRSA-574-SE
FSDL,P_1-BRSA-574-SE
GAIN_F,P_1-BRSA-574-SE
GAIN_N,P_1-BRSA-574-SE
GR,P_1-BRSA-574-SE
GRCO,P_1-BRSA-574-SE
GRU,P_1-BRSA-574-SE
HDCN,P_1-BRSA-574-SE
HDR,P_1-BRSA-574-SE
HDRS,P_1-BRSA-574-SE
HDX,P_1-BRSA-574-SE
HMCN,P_1-BRSA-574-SE
HMR,P_1-BRSA-574-SE
HMRS,P_1-BRSA-574-SE
HMX,P_1-BRSA-574-SE
HT24,P_1-BRSA-574-SE
HT30,P_1-BRSA-574-SE
HT40,P_1-BRSA-574-SE
HT60,P_1-BRSA-574-SE
HT90,P_1-BRSA-574-SE
ITT,P_1-BRSA-574-SE
ITTT,P_1-BRSA-574-SE
MINM,P_1-BRSA-574-SE
MMRK,P_1-BRSA-574-SE
MMRKT,P_1-BRSA-574-SE
MQCAL,P_1-BRSA-574-SE
MQZER,P_1-BRSA-574-SE
MRCO,P_1-BRSA-574-SE
MSGGAI,P_1-BRSA-574-SE
MSGRCV,P_1-BRSA-574-SE
MXCO,P_1-BRSA-574-SE
NDSN,P_1-BRSA-574-SE
NLIM,P_1-BRSA-574-SE
NNOISE,P_1-BRSA-574-SE
NPHD,P_1-BRSA-574-SE
NPHI,P_1-BRSA-574-SE
NPHS,P_1-BRSA-574-SE
NRAT,P_1-BRSA-574-SE
NSDL,P_1-BRSA-574-SE
PE,P_1-BRSA-574-SE
PELC,P_1-BRSA-574-SE
PEU,P_1-BRSA-574-SE
PKCODE,P_1-BRSA-574-SE
QDT,P_1-BRSA-574-SE
QL,P_1-BRSA-574-SE
QPE,P_1-BRSA-574-SE
QS,P_1-BRSA-574-SE
RHOB,P_1-BRSA-574-SE
RXRT,P_1-BRSA-574-SE
SDSO,P_1-BRSA-574-SE
SDT2,P_1-BRSA-574-SE
SP,P_1-BRSA-574-SE
SPA,P_1-BRSA-574-SE
SPDCOR,P_1-BRSA-574-SE
SPHI,P_1-BRSA-574-SE
STEM,P_1-BRSA-574-SE
STUCK,P_1-BRSA-574-SE
TENS,P_1-BRSA-574-SE
TPRES,P_1-BRSA-574-SE
TT1,P_1-BRSA-574-SE
TT11,P_1-BRSA-574-SE
TT12,P_1-BRSA-574-SE
TT2,P_1-BRSA-574-SE
TT21,P_1-BRSA-574-SE
TT22,P_1-BRSA-574-SE
TTEMP,P_1-BRSA-574-SE
VRES,P_1-BRSA-574-SE
XFRAC,P_1-BRSA-574-SE
ZB,P_1-BRSA-574-SE
ZM,P_1-BRSA-574-SE
HDRS2,P_1-BRSA-574-SE
HMRS2,P_1-BRSA-574-SE
