Poço,Profundidade,UnidadeF,UnidadeM,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,GR,RESD,Log10_RESD,DT,RHOB,DRHO,NPHI,PE,interpolada
1-BRSA-659-SE,307.8,RIACHU,TAQUAR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.293065071105955,0.793065071105957,51.6873893737793,0.0010000000474974,-2.999999979372142,87.71887969970703,2.5888192653656006,0.0424061641097068,0.2858177721500397,6.651241302490234,False
1-BRSA-659-SE,307.9,RIACHU,TAQUAR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.33371639251709,0.8337163925170898,51.59465408325195,0.0010000000474974,-2.999999979372142,93.16429138183594,2.5488805770874023,0.1460178792476654,0.2759485840797424,5.955164909362793,False
1-BRSA-659-SE,308.2,RIACHU,TAQUAR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.398756980895996,0.8987569808959961,43.08248519897461,0.0010000000474974,-2.999999979372142,97.94591522216795,2.4753339290618896,0.1450124830007553,0.2594584226608276,5.09149169921875,False
1-BRSA-659-SE,308.3,RIACHU,TAQUAR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.423147201538086,0.923147201538086,41.293495178222656,0.0017948886379599,-2.7459624916092404,93.99081420898438,2.4792840480804443,0.1443251967430114,0.2588361203670501,5.107165336608887,False
1-BRSA-659-SE,308.4,RIACHU,TAQUAR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.447537422180176,0.9475374221801758,41.76103210449219,0.0078496243804693,-2.105151124578626,89.72550964355469,2.48813271522522,0.1472575515508651,0.2585017681121826,5.116355419158936,False
1-BRSA-659-SE,308.9,RIACHU,TAQUAR,False,False,False,True,CALCILUTITO,CINZA,CLARO,,,8.5,9.675179481506348,1.1751794815063477,63.99004364013672,316.07440185546875,2.4997893247447354,92.49183654785156,2.4794554710388184,0.1482285261154174,0.2963742315769195,4.809714317321777,False
1-BRSA-659-SE,309.0,RIACHU,TAQUAR,False,False,True,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.748350143432615,1.2483501434326172,59.63542938232422,4929.1884765625,3.6927754245183104,92.79795837402344,2.462310791015625,0.1324346512556076,0.2991548776626587,4.755398750305176,False
1-BRSA-659-SE,309.1,RIACHU,TAQUAR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.829649925231934,1.3296499252319336,53.70048141479492,20000.0,4.301029995663981,91.744384765625,2.469366312026977,0.1123669445514679,0.2957850992679596,4.708873271942139,False
1-BRSA-659-SE,309.2,RIACHU,TAQUAR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.910950660705566,1.4109506607055664,48.7933235168457,20000.0,4.301029995663981,90.05765533447266,2.488501071929932,0.0917505547404289,0.2852611839771271,4.662437915802002,False
1-BRSA-659-SE,313.4,RIACHU,TAQUAR,False,False,False,True,FOLHELHO,CINZA,ACASTANHADO,,,8.5,9.43127727508545,0.9312772750854492,57.10457229614258,6.2865400314331055,0.7984116853989739,99.70306396484376,2.440478563308716,0.0610661916434764,0.2466107457876205,4.678652286529541,False
1-BRSA-659-SE,313.5,RIACHU,TAQUAR,False,False,True,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.325586318969728,0.8255863189697266,55.71356964111328,13.227458953857422,1.121476422546496,94.31785583496094,2.4697909355163574,0.0270413774996995,0.2217551916837692,4.566137313842773,False
1-BRSA-659-SE,313.6,RIACHU,TAQUAR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.293065071105955,0.793065071105957,57.63393020629883,9.623229026794434,0.9833208218524568,89.45918273925781,2.480480194091797,0.0141990985721349,0.2099051624536514,4.472514629364014,False
1-BRSA-659-SE,313.7,RIACHU,TAQUAR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.252415657043455,0.752415657043457,60.33865737915039,11.018850326538086,1.0421362839089465,86.37754821777344,2.4894089698791504,0.0139331594109535,0.2040099948644638,4.455353260040283,False
1-BRSA-659-SE,313.8,RIACHU,TAQUAR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.252415657043455,0.752415657043457,62.81155776977539,10.84770965576172,1.0353380525749776,85.00102233886719,2.495328903198242,0.0117974458262324,0.2017555683851242,4.522747039794922,False
1-BRSA-659-SE,313.9,RIACHU,TAQUAR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.252415657043455,0.752415657043457,63.4838752746582,9.492263793945312,0.9773697989366731,84.28010559082031,2.506527900695801,0.008688636124134,0.1977982074022293,4.622757434844971,False
1-BRSA-659-SE,314.0,RIACHU,TAQUAR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.276805877685549,0.7768058776855469,62.06195831298828,7.897861957550049,0.8975095386689218,83.61581420898438,2.5175886154174805,0.0074517917819321,0.1924468725919723,4.70097541809082,False
1-BRSA-659-SE,314.1,RIACHU,TAQUAR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.28493595123291,0.7849359512329102,59.56974411010742,7.617139339447021,0.881791900164667,82.50153350830078,2.523937463760376,0.0105058597400784,0.1873696446418762,4.733961582183838,False
1-BRSA-659-SE,314.2,RIACHU,TAQUAR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.309326171875,0.809326171875,58.10145950317383,7.808436870574951,0.8925641034768138,81.29795837402344,2.516817331314087,0.0129747539758682,0.186516523361206,4.70771074295044,False
