Poço,Profundidade,UnidadeF,UnidadeM,UnidadeC,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,DRHO,DT,GR,RESD,Log10_RESD,NPHI,PE,PE.1,RHOB,interpolada
1-BRSA-645-SE,182.6,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,13.32548713684082,1.0754871368408203,-0.1171593964099884,130.9755096435547,40.4710807800293,0.0010000000474974,-2.999999979372142,0.4812502562999725,8.543916702270508,3.593058586120605,1.863050103187561,False
1-BRSA-645-SE,182.7,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,13.48411750793457,1.2341175079345703,-0.0067409835755825,140.9612274169922,41.81387710571289,0.0010000000474974,-2.999999979372142,0.4684727191925049,4.956294536590576,2.149730682373047,1.811825394630432,False
1-BRSA-645-SE,182.8,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,13.358882904052734,1.1088829040527344,0.0375081375241279,149.12245178222656,41.99586868286133,0.0011147205950692,-2.952833974970837,0.4625617265701294,2.67253851890564,2.243172168731689,1.755898118019104,False
1-BRSA-645-SE,182.9,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,13.05831813812256,0.8083181381225586,0.052057359367609,155.89234924316406,41.237300872802734,0.2447429746389389,-0.6112897657938029,0.459266722202301,2.4433419704437256,2.618262529373169,1.7276476621627808,False
1-BRSA-645-SE,183.0,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.799500465393066,0.5495004653930664,0.0584788508713245,156.49386596679688,40.78998565673828,1.635474681854248,0.21364382536952967,0.4530413448810577,2.39631462097168,2.5883543491363525,1.7250686883926392,False
1-BRSA-645-SE,183.1,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.60747241973877,0.3574724197387695,0.0608759559690952,150.27296447753906,40.62500762939453,1.4823732376098633,0.17095756573928458,0.4479062259197235,2.348036527633667,2.526220321655273,1.7107083797454834,False
1-BRSA-645-SE,183.2,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.624171257019045,0.3741712570190429,0.057756669819355,139.32858276367188,40.77297592163086,1.5960512161254885,0.20304682343313252,0.4469143748283386,2.2794642448425293,2.270055055618286,1.6787301301956177,False
1-BRSA-645-SE,183.3,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.56572723388672,0.3157272338867187,0.0518446378409862,125.6846923828125,41.51113510131836,1.730333685874939,0.23812986264321206,0.4534377455711365,2.215444564819336,2.0520145893096924,1.6408565044403076,False
1-BRSA-645-SE,183.4,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.56572723388672,0.3157272338867187,0.0497185811400413,116.45152282714844,41.25090789794922,1.8756580352783203,0.2731536619060087,0.4651274681091308,2.1836094856262207,2.020832300186157,1.6163510084152222,False
1-BRSA-645-SE,183.5,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.549030303955078,0.2990303039550781,0.0509860143065452,110.99285888671876,40.99663543701172,2.3229660987854004,0.366042871781353,0.4749802947044372,2.1899895668029785,2.2325549125671387,1.6079262495040894,False
1-BRSA-645-SE,183.6,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.540679931640623,0.290679931640625,0.0532505810260772,108.1392822265625,40.294193267822266,2.9088568687438965,0.4637223521703945,0.4859751760959625,2.2082345485687256,2.272301197052002,1.610479712486267,False
1-BRSA-645-SE,183.7,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.557378768920898,0.3073787689208984,0.0536404363811016,106.84796142578124,39.18355941772461,3.666513681411743,0.5642533098827105,0.4879628717899322,2.2245516777038574,2.189706563949585,1.6167881488800049,False
1-BRSA-645-SE,183.8,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.56572723388672,0.3157272338867187,0.0517172515392303,106.42142486572266,38.67161178588867,4.97040319442749,0.6963916197217869,0.4871580302715301,2.232928514480591,2.25733494758606,1.6225051879882812,False
1-BRSA-645-SE,183.9,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.59912395477295,0.3491239547729492,0.0475093536078929,108.073974609375,38.08652877807617,7.27030611038208,0.8615526968633078,0.4732065498828888,2.2278170585632324,2.271706342697144,1.629015326499939,False
1-BRSA-645-SE,184.0,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.59912395477295,0.3491239547729492,0.0423775166273117,110.61224365234376,37.94365692138672,11.80192756652832,1.0719529448603784,0.4628593325614929,2.222579002380371,2.280781507492065,1.6412545442581177,False
1-BRSA-645-SE,184.1,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.590774536132812,0.3407745361328125,0.0420209988951683,111.40510559082033,38.4385986328125,21.86794090270996,1.339807891556558,0.4512612223625183,2.245598793029785,2.164226531982422,1.67164409160614,False
1-BRSA-645-SE,184.2,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.59912395477295,0.3491239547729492,0.0544579178094863,110.12245178222656,39.02027893066406,47.34575653076172,1.6752810604700306,0.4463860094547272,2.310453414916992,2.2099945545196533,1.731068730354309,False
1-BRSA-645-SE,184.3,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.59912395477295,0.3491239547729492,0.0829463228583335,105.7908172607422,39.6801986694336,121.8749771118164,2.085914547145873,0.4383067786693573,2.4204869270324707,2.3012404441833496,1.8190200328826904,False
1-BRSA-645-SE,184.4,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.582425117492676,0.3324251174926758,0.119038887321949,100.7454071044922,39.80095672607422,377.5704345703125,2.5769979797847347,0.4304693341255188,2.545981884002685,2.5796315670013428,1.914789080619812,False
1-BRSA-645-SE,184.5,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.590774536132812,0.3407745361328125,0.1462807953357696,94.32142639160156,39.10871887207031,1418.907470703125,3.1519540753212634,0.421215683221817,2.629575490951538,2.8950915336608887,1.9814844131469729,False
1-BRSA-645-SE,184.7,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.574076652526855,0.3240766525268554,0.1364134401082992,84.21632385253906,36.962284088134766,20000.0,4.301029995663981,0.4229162335395813,2.5477936267852783,2.510429620742798,1.9386805295944207,False
1-BRSA-645-SE,184.8,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.649218559265137,0.3992185592651367,0.1118439808487892,83.26122283935547,36.36784362792969,20000.0,4.301029995663981,0.4315893352031708,2.4324350357055664,2.372141122817993,1.86247193813324,False
1-BRSA-645-SE,184.9,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.707660675048828,0.4576606750488281,0.0899991989135742,86.07601928710938,36.40696334838867,6648.90283203125,3.8227499861592418,0.4355932474136352,2.339777708053589,2.1529810428619385,1.7959563732147217,False
1-BRSA-645-SE,185.0,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.741056442260742,0.4910564422607422,0.080274611711502,90.53367614746094,35.918827056884766,1924.396484375,3.2842945548310603,0.4363880455493927,2.30862808227539,2.146537065505981,1.7657098770141602,False
1-BRSA-645-SE,185.1,COTING,SAPUCA,,False,False,False,False,CALCILUTITO,CREME,ACINZENTADO,,,12.25,12.76610279083252,0.5161027908325195,0.0812035501003265,95.70051574707033,36.097415924072266,663.962158203125,2.8221433279344454,0.4359201788902282,2.3267533779144287,2.332470178604126,1.766757607460022,False
