Profundidade,Topo,Base,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,GR,RESD,Log10_RESD,DT,RHOB,DRHO,NPHI,PE,Litologia
365.0,True,False,CINZA,ESBRANQUICADO,FINO,,8.5,8.753310203552246,0.2533102035522461,70.07001495361328,13.68675422668457,1.1363004686912603,113.52416229248048,2.515976905822754,0.1394867897033691,0.3969901800155639,8.249424934387207,ARENITO
365.1,False,False,CINZA,ESBRANQUICADO,FINO,,8.5,8.96174955368042,0.4617495536804199,67.97526550292969,13.716595649719238,1.137246336297771,119.36904525756836,2.4430267810821533,0.1100635528564452,0.3842314034700393,7.592001438140869,ARENITO
365.2,False,False,CINZA,ESBRANQUICADO,FINO,,8.5,9.170188903808594,0.6701889038085938,65.8805160522461,13.746437072753906,1.1381901483368642,125.21392822265624,2.3700766563415527,0.0806403160095214,0.3714726269245147,6.934577941894531,ARENITO
365.3,False,False,CINZA,ESBRANQUICADO,FINO,,8.5,9.356688499450684,0.8566884994506836,64.3564453125,13.841920852661133,1.1411963616399778,123.10366821289062,2.356473207473755,0.1047863960266113,0.310243010520935,6.1363959312438965,ARENITO
365.4,False,False,CINZA,ESBRANQUICADO,FINO,,8.5,9.4005708694458,0.9005708694458008,62.27034187316895,13.91942262649536,1.1436212212423946,110.8426513671875,2.3800835609436035,0.1029790639877319,0.3111700862646103,5.859712839126587,ARENITO
365.5,False,False,CINZA,ESBRANQUICADO,FINO,,8.5,9.444453239440918,0.944453239440918,60.18423843383789,13.99692440032959,1.1460326169135426,98.58163452148438,2.403693914413452,0.1011717319488525,0.3120971620082855,5.583029747009277,ARENITO
365.6,False,False,CINZA,ESBRANQUICADO,FINO,,8.5,9.674833297729492,1.1748332977294922,64.57596588134766,14.235859870910645,1.153383704423844,96.89764404296876,2.470144748687744,0.0918841361999511,0.2829969823360443,4.982032299041748,ARENITO
365.7,False,False,CINZA,ESBRANQUICADO,FINO,,8.5,9.861332416534424,1.3613324165344238,64.57596588134766,14.38985013961792,1.1580562710821305,88.29965209960938,2.4693098068237305,0.0793453454971312,0.2715702652931213,4.640435695648193,ARENITO
370.5,False,False,CINZA,CLARO,FINO,,8.5,9.192130088806152,0.6921300888061523,82.28621673583984,27.8658447265625,1.4450722128156623,88.06525421142578,2.397109270095825,0.0925295352935791,0.3395887315273285,3.85319185256958,ARENITO
370.6,False,False,CINZA,CLARO,FINO,,8.5,9.532217025756836,1.032217025756836,86.57388305664062,17.30545425415039,1.2381830036579797,83.4244613647461,2.4270098209381104,0.0976185798645019,0.2841269075870514,3.87915301322937,ARENITO
370.7,False,False,CINZA,CLARO,FINO,,8.5,9.65837812423706,1.1583781242370603,86.13059616088867,15.49399185180664,1.1901633232380147,83.37764739990234,2.441882848739624,0.0979858636856078,0.2699601948261261,3.8497406244277954,ARENITO
370.8,False,False,CINZA,CLARO,FINO,,8.5,9.784539222717283,1.2845392227172852,85.68730926513672,13.68252944946289,1.1361663915651705,83.3308334350586,2.4567558765411377,0.0983531475067138,0.2557934820652008,3.8203282356262207,ARENITO
370.9,False,False,CINZA,CLARO,FINO,,8.5,8.753310203552246,0.2533102035522461,86.99224853515625,14.284320831298828,1.1548595960501429,87.22591400146484,2.4538111686706543,0.0879139900207519,0.2473496347665786,3.714122295379639,ARENITO
371.0,False,False,CINZA,CLARO,FINO,,8.5,8.665545463562012,0.1655454635620117,87.46832656860352,14.408720970153809,1.1586254311777768,86.34741592407227,2.444156765937805,0.0827184915542602,0.2493610903620719,3.673457026481629,ARENITO
371.1,False,False,CINZA,CLARO,FINO,,8.5,8.577780723571777,0.0777807235717773,87.94440460205078,14.533121109008787,1.1623588926778665,85.46891784667969,2.434502363204956,0.0775229930877685,0.2513725459575653,3.632791757583618,ARENITO
371.2,False,False,CINZA,CLARO,FINO,,8.5,8.4241943359375,-0.0758056640625,89.90392303466797,14.776309967041016,1.169565992852023,84.12020874023438,2.4321038722991943,0.0779173374176025,0.2593495845794678,3.62605881690979,ARENITO
371.3,False,False,CINZA,CLARO,FINO,,8.5,8.39676809310913,-0.1032319068908691,89.38288116455078,14.362689971923828,1.157235786045348,82.9073600769043,2.4341883659362797,0.0763686895370483,0.2448160350322723,3.638171315193176,ARENITO
371.4,False,False,CINZA,CLARO,FINO,,8.5,8.369341850280762,-0.1306581497192382,88.8618392944336,13.94906997680664,1.1445452529569056,81.69451141357422,2.4362728595733643,0.0748200416564941,0.2302824854850769,3.6502838134765625,ARENITO
371.5,False,False,CINZA,CLARO,FINO,,8.5,8.374826908111572,-0.1251730918884276,85.37103271484375,14.116620540618896,1.149730740892465,84.05801391601562,2.430044293403625,0.0706759691238403,0.2278161495923996,3.651195526123047,ARENITO
371.6,False,False,CINZA,CLARO,FINO,,8.5,8.380311965942383,-0.1196880340576171,81.8802261352539,14.284171104431152,1.154855043793582,86.42151641845703,2.4238157272338867,0.0665318965911865,0.2253498136997223,3.6521072387695312,ARENITO
371.7,False,False,CINZA,CLARO,FINO,,8.5,8.358370780944824,-0.1416292190551757,86.3298110961914,12.756689071655272,1.1057379702710537,88.08595275878906,2.3895108699798584,0.0535473823547363,0.2148286253213882,3.620345115661621,ARENITO
371.8,False,False,CINZA,CLARO,FINO,,8.5,8.347400188446045,-0.152599811553955,88.80827331542969,10.516041278839111,1.0218522821829805,89.13462448120117,2.365188717842102,0.0446968078613281,0.2268594875931739,3.60174298286438,ARENITO
371.9,False,False,CINZA,CLARO,FINO,,8.5,8.336429595947266,-0.1635704040527343,91.28673553466795,8.27539348602295,0.9177886531723025,90.18329620361328,2.3408665657043457,0.0358462333679199,0.2388903498649597,3.5831408500671387,ARENITO
372.0,False,False,CINZA,CLARO,FINO,,8.5,8.402253150939941,-0.0977468490600586,104.1717300415039,7.859416961669922,0.8953903297898835,90.72539520263672,2.334472894668579,0.0285723209381103,0.2653808891773224,3.632169008255005,ARENITO
372.1,False,False,CINZA,CLARO,FINO,,8.5,8.391282558441162,-0.1087174415588378,104.2669448852539,9.724905967712402,0.9878854107277136,89.11236190795898,2.347382068634033,0.0317004919052123,0.2674109190702438,3.68614399433136,ARENITO
372.2,False,False,CINZA,CLARO,FINO,,8.5,8.380311965942383,-0.1196880340576171,104.3621597290039,11.590394973754885,1.064098235963549,87.49932861328125,2.360291242599488,0.0348286628723144,0.2694409489631653,3.740118980407715,ARENITO
372.3,False,False,CINZA,CLARO,FINO,,8.5,8.358370780944824,-0.1416292190551757,105.11819458007812,19.394119262695312,1.2876700619439925,84.55851745605469,2.38674259185791,0.0404438972473144,0.2532292306423187,3.860563039779663,ARENITO
372.4,False,False,CINZA,CLARO,FINO,,8.5,8.369341373443604,-0.1306586265563964,100.9617919921875,22.90955352783203,1.360016625536483,82.68061065673828,2.3978530168533325,0.0397301912307739,0.2446672245860099,3.896294713020324,ARENITO
