Poço,Profundidade,UnidadeF,UnidadeM,UnidadeC,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,GR,RESD,Log10_RESD,DT,RHOB,DRHO,NPHI,PE,interpolada
1-BRSA-689-SE,296.1,RIACHU,TAQUAR,,False,False,False,False,CALCILUTITO,CINZA,ACASTANHADO,,,8.5,9.91572380065918,1.4157238006591797,79.77737426757812,3.4506402015686035,0.5378996777442224,113.34102630615234,2.511244535446167,0.0731785297393798,0.3145939111709595,5.763744354248047,False
1-BRSA-689-SE,307.2,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESVERDEADO,,,8.5,9.6362943649292,1.1362943649291992,96.13543701171876,18.06044578552246,1.2567284657894005,64.17647552490234,2.598522186279297,0.0120577812194824,0.0774104595184326,4.928744792938232,False
1-BRSA-689-SE,307.3,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESVERDEADO,,,8.5,9.6362943649292,1.1362943649291992,86.2484130859375,29.72702693939209,1.473151476699684,62.97882080078125,2.60347318649292,0.0089855194091796,0.0690123941749334,4.970679998397827,True
1-BRSA-689-SE,307.4,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESVERDEADO,,,8.5,9.6362943649292,1.1362943649291992,76.36138916015625,41.39360809326172,1.6169332835328865,61.78116607666016,2.608424186706543,0.0059132575988769,0.0606143288314342,5.012615203857422,False
1-BRSA-689-SE,307.5,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESVERDEADO,,,8.5,9.61479949951172,1.1147994995117188,72.56172943115234,23.629825592041016,1.3734605161861686,63.515281677246094,2.5997488498687744,0.003049612045288,0.0783123522996902,4.996215343475342,False
1-BRSA-689-SE,307.6,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESVERDEADO,,,8.5,9.64704132080078,1.1470413208007812,72.45458602905273,21.111705780029297,1.3245233247773534,64.80830383300781,2.5901944637298584,0.0017317533493041,0.0981245636940002,4.959859371185303,True
1-BRSA-689-SE,307.7,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESVERDEADO,,,8.5,9.679283142089844,1.1792831420898438,72.34744262695312,18.59358596801757,1.2693631560944088,66.10132598876953,2.5806400775909424,0.0004138946533203,0.1179367750883102,4.923503398895264,False
1-BRSA-689-SE,307.8,RIACHU,TAQUAR,,False,False,False,False,FOLHELHO,CINZA,ESVERDEADO,,,8.5,9.700778007507324,1.2007780075073242,76.54014587402344,10.200105667114258,1.0086046708214216,72.04666137695312,2.563415765762329,-0.0016853809356689,0.1425316780805587,4.878780841827393,False
1-BRSA-689-SE,307.9,RIACHU,TAQUAR,,False,False,False,True,FOLHELHO,CINZA,ESVERDEADO,,,8.5,9.711524963378906,1.2115249633789062,74.94430160522461,10.513182640075684,1.0217342092523631,70.38579559326172,2.5597506761550903,-0.0024889707565307,0.1486953571438788,4.855811357498169,True
1-BRSA-689-SE,308.0,RIACHU,TAQUAR,,False,False,True,False,CALCILUTITO,CINZA,ESBRANQUICADO,,,8.5,9.722271919250488,1.2222719192504885,73.34845733642578,10.82625961303711,1.034478437234775,68.72492980957031,2.556085586547852,-0.0032925605773925,0.1548590362071991,4.832841873168945,False
