Poço,Profundidade,UnidadeF,UnidadeM,UnidadeC,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,GR,RESD,Log10_RESD,DT,RHOB,DRHO,NPHI,PE,interpolada,PE.1
1-BRSA-574-SE,249.8,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,9.426602363586426,0.9266023635864258,66.0102767944336,6.0694780349731445,0.7831513440772406,101.8647918701172,2.207782745361328,0.0006828819750808,0.273097276687622,2.981703758239746,False,
1-BRSA-574-SE,249.9,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.909706115722656,0.4097061157226562,66.53659057617188,6.156008243560791,0.7892991927271094,102.66786193847656,2.2104194164276123,0.0017834499012678,0.2655222713947296,2.967780351638794,False,
1-BRSA-574-SE,250.0,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.782468795776367,0.2824687957763672,66.68696594238281,6.602156162261963,0.8196857925793518,102.5709228515625,2.219519853591919,0.0039637289009988,0.2571295797824859,2.9588239192962646,False,
1-BRSA-574-SE,250.1,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.710898399353027,0.2108983993530273,66.40283966064453,6.987619876861572,0.8443292715439122,101.63316345214844,2.2194955348968506,0.00430488307029,0.2505057752132416,2.9299802780151367,False,
1-BRSA-574-SE,250.2,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.742709159851074,0.2427091598510742,67.15945434570312,7.028804779052734,0.8468814812085668,100.2852020263672,2.219956636428833,0.0067236497998237,0.2445330470800399,2.885339736938477,False,
1-BRSA-574-SE,250.3,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.75066089630127,0.2506608963012695,66.90223693847656,6.832450866699219,0.8345765172914263,98.9653091430664,2.2208755016326904,0.0098194470629096,0.2390701323747635,2.841450929641724,False,
1-BRSA-574-SE,250.4,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.75066089630127,0.2506608963012695,66.70437622070312,6.714783668518066,0.8270320254809401,98.09285736083984,2.2298502922058105,0.0133883086964488,0.234988585114479,2.811911106109619,False,
1-BRSA-574-SE,250.5,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.758612632751465,0.2586126327514648,66.28095245361328,6.791912078857422,0.8319920553404005,97.625,2.2357733249664307,0.0136899026110768,0.2340005040168762,2.8137786388397217,False,
1-BRSA-574-SE,250.6,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.734755516052246,0.2347555160522461,65.94538116455078,6.981199741363525,0.8439300639240271,97.25306701660156,2.234823226928711,0.0100700035691261,0.2313999980688095,2.837458610534668,False,
1-BRSA-574-SE,250.7,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.694994926452637,0.1949949264526367,66.74869537353516,7.20083475112915,0.8573828445973052,96.50408172607422,2.230685949325561,0.0055208690464496,0.2266219109296798,2.8838913440704346,False,
1-BRSA-574-SE,250.8,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.67909049987793,0.1790904998779297,67.89154052734375,7.556182861328125,0.8783024594013062,95.36888122558594,2.2341058254241943,0.0015296405181288,0.2201240211725235,2.938634157180786,False,
1-BRSA-574-SE,250.9,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.702946662902832,0.202946662902832,69.84561157226562,8.458691596984863,0.9273031909167048,94.14949035644533,2.253347873687744,-0.0001424651127308,0.2142151594161987,2.987703800201416,False,
1-BRSA-574-SE,251.0,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.710898399353027,0.2108983993530273,72.03678131103516,10.584758758544922,1.0246809642896146,93.43112182617188,2.2843291759490967,0.0012764232233166,0.2119621038436889,3.0155484676361084,False,
1-BRSA-574-SE,251.1,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.734755516052246,0.2347555160522461,74.54853820800781,13.388906478881836,1.126745108036597,93.82653045654295,2.308382987976074,0.0077129146084189,0.2135852426290512,3.00068473815918,False,
1-BRSA-574-SE,251.2,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.710898399353027,0.2108983993530273,76.01971435546875,14.073163986206056,1.1483917482714867,95.47550964355467,2.305283546447754,0.0172861889004707,0.22428759932518,2.932814359664917,False,
1-BRSA-574-SE,251.3,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.694994926452637,0.1949949264526367,76.3220443725586,13.14707374572754,1.1188290990230982,98.34796142578124,2.2692997455596924,0.0238826945424079,0.2403953969478607,2.831655979156494,False,
1-BRSA-574-SE,251.4,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.67909049987793,0.1790904998779297,76.4406509399414,11.96779441833496,1.07801412031404,101.93112182617188,2.2198681831359863,0.022458266466856,0.2566057741641998,2.736525297164917,False,
1-BRSA-574-SE,251.5,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.694994926452637,0.1949949264526367,75.05924224853516,10.014111518859863,1.0006124234675031,105.28826904296876,2.1834287643432617,0.0144602051004767,0.2643675208091736,2.667264938354492,False,
1-BRSA-574-SE,251.6,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.72680377960205,0.2268037796020507,73.66178131103516,8.572772026062012,0.9331212747777408,107.53214263916016,2.170442581176758,0.0050259875133633,0.2647888660430908,2.6304373741149902,False,
1-BRSA-574-SE,251.7,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.75066089630127,0.2506608963012695,72.23560333251953,7.809566497802734,0.8926269272399951,108.0290756225586,2.178956985473633,0.0002726267557591,0.2607034146785736,2.6207847595214844,False,
1-BRSA-574-SE,251.8,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.774517059326172,0.2745170593261719,70.6009292602539,7.487861156463623,0.8743577829067664,106.50714111328124,2.1947672367095947,5.4488060413859785e-05,0.2553894221782684,2.6241917610168457,False,
1-BRSA-574-SE,251.9,RIACHU,ANGICO,,False,False,False,False,ARENITO,CINZA,CLARO,GROSSEIRO,SUBANGULAR,8.5,8.75066089630127,0.2506608963012695,70.55654907226562,7.386550903320312,0.8684416950492989,103.7551040649414,2.216127634048462,0.0042783091776072,0.2476397156715393,2.652176141738892,False,
